area_code,area_name,geography,period,indicator,second_address_category,measure,unit,value
E05000819,Altrincham,Electoral ward,2021-03-21,Classification of usual residents by their use of a second address and whether that address is inside or outside the UK,No second address,Count,Persons,12311
E05000819,Altrincham,Electoral ward,2021-03-21,Classification of usual residents by their use of a second address and whether that address is inside or outside the UK,Second address is in the UK,Count,Persons,410
E05000819,Altrincham,Electoral ward,2021-03-21,Classification of usual residents by their use of a second address and whether that address is inside or outside the UK,Second address is outside the UK,Count,Persons,211
E05000820,Ashton upon Mersey,Electoral ward,2021-03-21,Classification of usual residents by their use of a second address and whether that address is inside or outside the UK,No second address,Count,Persons,9868
E05000820,Ashton upon Mersey,Electoral ward,2021-03-21,Classification of usual residents by their use of a second address and whether that address is inside or outside the UK,Second address is in the UK,Count,Persons,378
E05000820,Ashton upon Mersey,Electoral ward,2021-03-21,Classification of usual residents by their use of a second address and whether that address is inside or outside the UK,Second address is outside the UK,Count,Persons,102
E05000821,Bowdon,Electoral ward,2021-03-21,Classification of usual residents by their use of a second address and whether that address is inside or outside the UK,No second address,Count,Persons,8456
E05000821,Bowdon,Electoral ward,2021-03-21,Classification of usual residents by their use of a second address and whether that address is inside or outside the UK,Second address is in the UK,Count,Persons,432
E05000821,Bowdon,Electoral ward,2021-03-21,Classification of usual residents by their use of a second address and whether that address is inside or outside the UK,Second address is outside the UK,Count,Persons,245
E05000822,Broadheath,Electoral ward,2021-03-21,Classification of usual residents by their use of a second address and whether that address is inside or outside the UK,No second address,Count,Persons,13690
E05000822,Broadheath,Electoral ward,2021-03-21,Classification of usual residents by their use of a second address and whether that address is inside or outside the UK,Second address is in the UK,Count,Persons,433
E05000822,Broadheath,Electoral ward,2021-03-21,Classification of usual residents by their use of a second address and whether that address is inside or outside the UK,Second address is outside the UK,Count,Persons,161
E05000823,Brooklands,Electoral ward,2021-03-21,Classification of usual residents by their use of a second address and whether that address is inside or outside the UK,No second address,Count,Persons,10069
E05000823,Brooklands,Electoral ward,2021-03-21,Classification of usual residents by their use of a second address and whether that address is inside or outside the UK,Second address is in the UK,Count,Persons,343
E05000823,Brooklands,Electoral ward,2021-03-21,Classification of usual residents by their use of a second address and whether that address is inside or outside the UK,Second address is outside the UK,Count,Persons,112
E05000824,Bucklow-St Martins,Electoral ward,2021-03-21,Classification of usual residents by their use of a second address and whether that address is inside or outside the UK,No second address,Count,Persons,9810
E05000824,Bucklow-St Martins,Electoral ward,2021-03-21,Classification of usual residents by their use of a second address and whether that address is inside or outside the UK,Second address is in the UK,Count,Persons,275
E05000824,Bucklow-St Martins,Electoral ward,2021-03-21,Classification of usual residents by their use of a second address and whether that address is inside or outside the UK,Second address is outside the UK,Count,Persons,21
E05000825,Clifford,Electoral ward,2021-03-21,Classification of usual residents by their use of a second address and whether that address is inside or outside the UK,No second address,Count,Persons,12776
E05000825,Clifford,Electoral ward,2021-03-21,Classification of usual residents by their use of a second address and whether that address is inside or outside the UK,Second address is in the UK,Count,Persons,433
E05000825,Clifford,Electoral ward,2021-03-21,Classification of usual residents by their use of a second address and whether that address is inside or outside the UK,Second address is outside the UK,Count,Persons,164
E05000826,Davyhulme East,Electoral ward,2021-03-21,Classification of usual residents by their use of a second address and whether that address is inside or outside the UK,No second address,Count,Persons,9233
E05000826,Davyhulme East,Electoral ward,2021-03-21,Classification of usual residents by their use of a second address and whether that address is inside or outside the UK,Second address is in the UK,Count,Persons,302
E05000826,Davyhulme East,Electoral ward,2021-03-21,Classification of usual residents by their use of a second address and whether that address is inside or outside the UK,Second address is outside the UK,Count,Persons,49
E05000827,Davyhulme West,Electoral ward,2021-03-21,Classification of usual residents by their use of a second address and whether that address is inside or outside the UK,No second address,Count,Persons,9736
E05000827,Davyhulme West,Electoral ward,2021-03-21,Classification of usual residents by their use of a second address and whether that address is inside or outside the UK,Second address is in the UK,Count,Persons,364
E05000827,Davyhulme West,Electoral ward,2021-03-21,Classification of usual residents by their use of a second address and whether that address is inside or outside the UK,Second address is outside the UK,Count,Persons,63
E05000828,Flixton,Electoral ward,2021-03-21,Classification of usual residents by their use of a second address and whether that address is inside or outside the UK,No second address,Count,Persons,10303
E05000828,Flixton,Electoral ward,2021-03-21,Classification of usual residents by their use of a second address and whether that address is inside or outside the UK,Second address is in the UK,Count,Persons,382
E05000828,Flixton,Electoral ward,2021-03-21,Classification of usual residents by their use of a second address and whether that address is inside or outside the UK,Second address is outside the UK,Count,Persons,106
E05000829,Gorse Hill,Electoral ward,2021-03-21,Classification of usual residents by their use of a second address and whether that address is inside or outside the UK,No second address,Count,Persons,11836
E05000829,Gorse Hill,Electoral ward,2021-03-21,Classification of usual residents by their use of a second address and whether that address is inside or outside the UK,Second address is in the UK,Count,Persons,274
E05000829,Gorse Hill,Electoral ward,2021-03-21,Classification of usual residents by their use of a second address and whether that address is inside or outside the UK,Second address is outside the UK,Count,Persons,69
E05000830,Hale Barns,Electoral ward,2021-03-21,Classification of usual residents by their use of a second address and whether that address is inside or outside the UK,No second address,Count,Persons,9524
E05000830,Hale Barns,Electoral ward,2021-03-21,Classification of usual residents by their use of a second address and whether that address is inside or outside the UK,Second address is in the UK,Count,Persons,401
E05000830,Hale Barns,Electoral ward,2021-03-21,Classification of usual residents by their use of a second address and whether that address is inside or outside the UK,Second address is outside the UK,Count,Persons,207
E05000831,Hale Central,Electoral ward,2021-03-21,Classification of usual residents by their use of a second address and whether that address is inside or outside the UK,No second address,Count,Persons,9698
E05000831,Hale Central,Electoral ward,2021-03-21,Classification of usual residents by their use of a second address and whether that address is inside or outside the UK,Second address is in the UK,Count,Persons,528
E05000831,Hale Central,Electoral ward,2021-03-21,Classification of usual residents by their use of a second address and whether that address is inside or outside the UK,Second address is outside the UK,Count,Persons,211
E05000832,Longford,Electoral ward,2021-03-21,Classification of usual residents by their use of a second address and whether that address is inside or outside the UK,No second address,Count,Persons,12404
E05000832,Longford,Electoral ward,2021-03-21,Classification of usual residents by their use of a second address and whether that address is inside or outside the UK,Second address is in the UK,Count,Persons,351
E05000832,Longford,Electoral ward,2021-03-21,Classification of usual residents by their use of a second address and whether that address is inside or outside the UK,Second address is outside the UK,Count,Persons,141
E05000833,Priory,Electoral ward,2021-03-21,Classification of usual residents by their use of a second address and whether that address is inside or outside the UK,No second address,Count,Persons,10601
E05000833,Priory,Electoral ward,2021-03-21,Classification of usual residents by their use of a second address and whether that address is inside or outside the UK,Second address is in the UK,Count,Persons,410
E05000833,Priory,Electoral ward,2021-03-21,Classification of usual residents by their use of a second address and whether that address is inside or outside the UK,Second address is outside the UK,Count,Persons,157
E05000835,Sale Moor,Electoral ward,2021-03-21,Classification of usual residents by their use of a second address and whether that address is inside or outside the UK,No second address,Count,Persons,10216
E05000835,Sale Moor,Electoral ward,2021-03-21,Classification of usual residents by their use of a second address and whether that address is inside or outside the UK,Second address is in the UK,Count,Persons,343
E05000835,Sale Moor,Electoral ward,2021-03-21,Classification of usual residents by their use of a second address and whether that address is inside or outside the UK,Second address is outside the UK,Count,Persons,107
E05000834,St Mary's,Electoral ward,2021-03-21,Classification of usual residents by their use of a second address and whether that address is inside or outside the UK,No second address,Count,Persons,11320
E05000834,St Mary's,Electoral ward,2021-03-21,Classification of usual residents by their use of a second address and whether that address is inside or outside the UK,Second address is in the UK,Count,Persons,370
E05000834,St Mary's,Electoral ward,2021-03-21,Classification of usual residents by their use of a second address and whether that address is inside or outside the UK,Second address is outside the UK,Count,Persons,122
E05000836,Stretford,Electoral ward,2021-03-21,Classification of usual residents by their use of a second address and whether that address is inside or outside the UK,No second address,Count,Persons,11117
E05000836,Stretford,Electoral ward,2021-03-21,Classification of usual residents by their use of a second address and whether that address is inside or outside the UK,Second address is in the UK,Count,Persons,293
E05000836,Stretford,Electoral ward,2021-03-21,Classification of usual residents by their use of a second address and whether that address is inside or outside the UK,Second address is outside the UK,Count,Persons,65
E05000837,Timperley,Electoral ward,2021-03-21,Classification of usual residents by their use of a second address and whether that address is inside or outside the UK,No second address,Count,Persons,10849
E05000837,Timperley,Electoral ward,2021-03-21,Classification of usual residents by their use of a second address and whether that address is inside or outside the UK,Second address is in the UK,Count,Persons,366
E05000837,Timperley,Electoral ward,2021-03-21,Classification of usual residents by their use of a second address and whether that address is inside or outside the UK,Second address is outside the UK,Count,Persons,106
E05000838,Urmston,Electoral ward,2021-03-21,Classification of usual residents by their use of a second address and whether that address is inside or outside the UK,No second address,Count,Persons,10755
