area_code,area_name,geography,period,indicator,household_rooms,measure,unit,value
E02001259,Trafford 001,Middle-layer Super Output Area,2021-03-21,Number of rooms in household spaces with at least one usual resident (Valuation Office Agency definition),1 room,Count,Households,168
E02001259,Trafford 001,Middle-layer Super Output Area,2021-03-21,Number of rooms in household spaces with at least one usual resident (Valuation Office Agency definition),2 rooms,Count,Households,914
E02001259,Trafford 001,Middle-layer Super Output Area,2021-03-21,Number of rooms in household spaces with at least one usual resident (Valuation Office Agency definition),3 rooms,Count,Households,1305
E02001259,Trafford 001,Middle-layer Super Output Area,2021-03-21,Number of rooms in household spaces with at least one usual resident (Valuation Office Agency definition),4 rooms,Count,Households,891
E02001259,Trafford 001,Middle-layer Super Output Area,2021-03-21,Number of rooms in household spaces with at least one usual resident (Valuation Office Agency definition),5 rooms,Count,Households,1012
E02001259,Trafford 001,Middle-layer Super Output Area,2021-03-21,Number of rooms in household spaces with at least one usual resident (Valuation Office Agency definition),6 rooms,Count,Households,309
E02001259,Trafford 001,Middle-layer Super Output Area,2021-03-21,Number of rooms in household spaces with at least one usual resident (Valuation Office Agency definition),7 rooms,Count,Households,100
E02001259,Trafford 001,Middle-layer Super Output Area,2021-03-21,Number of rooms in household spaces with at least one usual resident (Valuation Office Agency definition),8 rooms,Count,Households,52
E02001259,Trafford 001,Middle-layer Super Output Area,2021-03-21,Number of rooms in household spaces with at least one usual resident (Valuation Office Agency definition),9 or more rooms,Count,Households,13
E02001260,Trafford 002,Middle-layer Super Output Area,2021-03-21,Number of rooms in household spaces with at least one usual resident (Valuation Office Agency definition),1 room,Count,Households,3
E02001260,Trafford 002,Middle-layer Super Output Area,2021-03-21,Number of rooms in household spaces with at least one usual resident (Valuation Office Agency definition),2 rooms,Count,Households,114
E02001260,Trafford 002,Middle-layer Super Output Area,2021-03-21,Number of rooms in household spaces with at least one usual resident (Valuation Office Agency definition),3 rooms,Count,Households,270
E02001260,Trafford 002,Middle-layer Super Output Area,2021-03-21,Number of rooms in household spaces with at least one usual resident (Valuation Office Agency definition),4 rooms,Count,Households,830
E02001260,Trafford 002,Middle-layer Super Output Area,2021-03-21,Number of rooms in household spaces with at least one usual resident (Valuation Office Agency definition),5 rooms,Count,Households,1359
E02001260,Trafford 002,Middle-layer Super Output Area,2021-03-21,Number of rooms in household spaces with at least one usual resident (Valuation Office Agency definition),6 rooms,Count,Households,400
E02001260,Trafford 002,Middle-layer Super Output Area,2021-03-21,Number of rooms in household spaces with at least one usual resident (Valuation Office Agency definition),7 rooms,Count,Households,68
E02001260,Trafford 002,Middle-layer Super Output Area,2021-03-21,Number of rooms in household spaces with at least one usual resident (Valuation Office Agency definition),8 rooms,Count,Households,20
E02001260,Trafford 002,Middle-layer Super Output Area,2021-03-21,Number of rooms in household spaces with at least one usual resident (Valuation Office Agency definition),9 or more rooms,Count,Households,11
E02001261,Trafford 003,Middle-layer Super Output Area,2021-03-21,Number of rooms in household spaces with at least one usual resident (Valuation Office Agency definition),1 room,Count,Households,67
E02001261,Trafford 003,Middle-layer Super Output Area,2021-03-21,Number of rooms in household spaces with at least one usual resident (Valuation Office Agency definition),2 rooms,Count,Households,244
E02001261,Trafford 003,Middle-layer Super Output Area,2021-03-21,Number of rooms in household spaces with at least one usual resident (Valuation Office Agency definition),3 rooms,Count,Households,836
E02001261,Trafford 003,Middle-layer Super Output Area,2021-03-21,Number of rooms in household spaces with at least one usual resident (Valuation Office Agency definition),4 rooms,Count,Households,813
E02001261,Trafford 003,Middle-layer Super Output Area,2021-03-21,Number of rooms in household spaces with at least one usual resident (Valuation Office Agency definition),5 rooms,Count,Households,1486
E02001261,Trafford 003,Middle-layer Super Output Area,2021-03-21,Number of rooms in household spaces with at least one usual resident (Valuation Office Agency definition),6 rooms,Count,Households,183
E02001261,Trafford 003,Middle-layer Super Output Area,2021-03-21,Number of rooms in household spaces with at least one usual resident (Valuation Office Agency definition),7 rooms,Count,Households,17
E02001261,Trafford 003,Middle-layer Super Output Area,2021-03-21,Number of rooms in household spaces with at least one usual resident (Valuation Office Agency definition),8 rooms,Count,Households,10
E02001261,Trafford 003,Middle-layer Super Output Area,2021-03-21,Number of rooms in household spaces with at least one usual resident (Valuation Office Agency definition),9 or more rooms,Count,Households,6
E02001262,Trafford 004,Middle-layer Super Output Area,2021-03-21,Number of rooms in household spaces with at least one usual resident (Valuation Office Agency definition),1 room,Count,Households,51
E02001262,Trafford 004,Middle-layer Super Output Area,2021-03-21,Number of rooms in household spaces with at least one usual resident (Valuation Office Agency definition),2 rooms,Count,Households,342
E02001262,Trafford 004,Middle-layer Super Output Area,2021-03-21,Number of rooms in household spaces with at least one usual resident (Valuation Office Agency definition),3 rooms,Count,Households,230
E02001262,Trafford 004,Middle-layer Super Output Area,2021-03-21,Number of rooms in household spaces with at least one usual resident (Valuation Office Agency definition),4 rooms,Count,Households,224
E02001262,Trafford 004,Middle-layer Super Output Area,2021-03-21,Number of rooms in household spaces with at least one usual resident (Valuation Office Agency definition),5 rooms,Count,Households,1704
E02001262,Trafford 004,Middle-layer Super Output Area,2021-03-21,Number of rooms in household spaces with at least one usual resident (Valuation Office Agency definition),6 rooms,Count,Households,412
E02001262,Trafford 004,Middle-layer Super Output Area,2021-03-21,Number of rooms in household spaces with at least one usual resident (Valuation Office Agency definition),7 rooms,Count,Households,90
E02001262,Trafford 004,Middle-layer Super Output Area,2021-03-21,Number of rooms in household spaces with at least one usual resident (Valuation Office Agency definition),8 rooms,Count,Households,17
E02001262,Trafford 004,Middle-layer Super Output Area,2021-03-21,Number of rooms in household spaces with at least one usual resident (Valuation Office Agency definition),9 or more rooms,Count,Households,15
E02001263,Trafford 005,Middle-layer Super Output Area,2021-03-21,Number of rooms in household spaces with at least one usual resident (Valuation Office Agency definition),1 room,Count,Households,6
E02001263,Trafford 005,Middle-layer Super Output Area,2021-03-21,Number of rooms in household spaces with at least one usual resident (Valuation Office Agency definition),2 rooms,Count,Households,137
E02001263,Trafford 005,Middle-layer Super Output Area,2021-03-21,Number of rooms in household spaces with at least one usual resident (Valuation Office Agency definition),3 rooms,Count,Households,477
E02001263,Trafford 005,Middle-layer Super Output Area,2021-03-21,Number of rooms in household spaces with at least one usual resident (Valuation Office Agency definition),4 rooms,Count,Households,685
E02001263,Trafford 005,Middle-layer Super Output Area,2021-03-21,Number of rooms in household spaces with at least one usual resident (Valuation Office Agency definition),5 rooms,Count,Households,1491
E02001263,Trafford 005,Middle-layer Super Output Area,2021-03-21,Number of rooms in household spaces with at least one usual resident (Valuation Office Agency definition),6 rooms,Count,Households,388
E02001263,Trafford 005,Middle-layer Super Output Area,2021-03-21,Number of rooms in household spaces with at least one usual resident (Valuation Office Agency definition),7 rooms,Count,Households,167
E02001263,Trafford 005,Middle-layer Super Output Area,2021-03-21,Number of rooms in household spaces with at least one usual resident (Valuation Office Agency definition),8 rooms,Count,Households,47
E02001263,Trafford 005,Middle-layer Super Output Area,2021-03-21,Number of rooms in household spaces with at least one usual resident (Valuation Office Agency definition),9 or more rooms,Count,Households,15
E02001264,Trafford 006,Middle-layer Super Output Area,2021-03-21,Number of rooms in household spaces with at least one usual resident (Valuation Office Agency definition),1 room,Count,Households,7
E02001264,Trafford 006,Middle-layer Super Output Area,2021-03-21,Number of rooms in household spaces with at least one usual resident (Valuation Office Agency definition),2 rooms,Count,Households,141
E02001264,Trafford 006,Middle-layer Super Output Area,2021-03-21,Number of rooms in household spaces with at least one usual resident (Valuation Office Agency definition),3 rooms,Count,Households,411
E02001264,Trafford 006,Middle-layer Super Output Area,2021-03-21,Number of rooms in household spaces with at least one usual resident (Valuation Office Agency definition),4 rooms,Count,Households,1162
E02001264,Trafford 006,Middle-layer Super Output Area,2021-03-21,Number of rooms in household spaces with at least one usual resident (Valuation Office Agency definition),5 rooms,Count,Households,1393
E02001264,Trafford 006,Middle-layer Super Output Area,2021-03-21,Number of rooms in household spaces with at least one usual resident (Valuation Office Agency definition),6 rooms,Count,Households,135
E02001264,Trafford 006,Middle-layer Super Output Area,2021-03-21,Number of rooms in household spaces with at least one usual resident (Valuation Office Agency definition),7 rooms,Count,Households,36
E02001264,Trafford 006,Middle-layer Super Output Area,2021-03-21,Number of rooms in household spaces with at least one usual resident (Valuation Office Agency definition),8 rooms,Count,Households,13
E02001264,Trafford 006,Middle-layer Super Output Area,2021-03-21,Number of rooms in household spaces with at least one usual resident (Valuation Office Agency definition),9 or more rooms,Count,Households,4
E02001265,Trafford 007,Middle-layer Super Output Area,2021-03-21,Number of rooms in household spaces with at least one usual resident (Valuation Office Agency definition),1 room,Count,Households,1
E02001265,Trafford 007,Middle-layer Super Output Area,2021-03-21,Number of rooms in household spaces with at least one usual resident (Valuation Office Agency definition),2 rooms,Count,Households,288
E02001265,Trafford 007,Middle-layer Super Output Area,2021-03-21,Number of rooms in household spaces with at least one usual resident (Valuation Office Agency definition),3 rooms,Count,Households,450
E02001265,Trafford 007,Middle-layer Super Output Area,2021-03-21,Number of rooms in household spaces with at least one usual resident (Valuation Office Agency definition),4 rooms,Count,Households,1304
E02001265,Trafford 007,Middle-layer Super Output Area,2021-03-21,Number of rooms in household spaces with at least one usual resident (Valuation Office Agency definition),5 rooms,Count,Households,1091
E02001265,Trafford 007,Middle-layer Super Output Area,2021-03-21,Number of rooms in household spaces with at least one usual resident (Valuation Office Agency definition),6 rooms,Count,Households,175
E02001265,Trafford 007,Middle-layer Super Output Area,2021-03-21,Number of rooms in household spaces with at least one usual resident (Valuation Office Agency definition),7 rooms,Count,Households,55
E02001265,Trafford 007,Middle-layer Super Output Area,2021-03-21,Number of rooms in household spaces with at least one usual resident (Valuation Office Agency definition),8 rooms,Count,Households,11
E02001265,Trafford 007,Middle-layer Super Output Area,2021-03-21,Number of rooms in household spaces with at least one usual resident (Valuation Office Agency definition),9 or more rooms,Count,Households,15
E02001266,Trafford 008,Middle-layer Super Output Area,2021-03-21,Number of rooms in household spaces with at least one usual resident (Valuation Office Agency definition),1 room,Count,Households,31
E02001266,Trafford 008,Middle-layer Super Output Area,2021-03-21,Number of rooms in household spaces with at least one usual resident (Valuation Office Agency definition),2 rooms,Count,Households,386
E02001266,Trafford 008,Middle-layer Super Output Area,2021-03-21,Number of rooms in household spaces with at least one usual resident (Valuation Office Agency definition),3 rooms,Count,Households,1000
E02001266,Trafford 008,Middle-layer Super Output Area,2021-03-21,Number of rooms in household spaces with at least one usual resident (Valuation Office Agency definition),4 rooms,Count,Households,633
E02001266,Trafford 008,Middle-layer Super Output Area,2021-03-21,Number of rooms in household spaces with at least one usual resident (Valuation Office Agency definition),5 rooms,Count,Households,725
E02001266,Trafford 008,Middle-layer Super Output Area,2021-03-21,Number of rooms in household spaces with at least one usual resident (Valuation Office Agency definition),6 rooms,Count,Households,219
E02001266,Trafford 008,Middle-layer Super Output Area,2021-03-21,Number of rooms in household spaces with at least one usual resident (Valuation Office Agency definition),7 rooms,Count,Households,64
E02001266,Trafford 008,Middle-layer Super Output Area,2021-03-21,Number of rooms in household spaces with at least one usual resident (Valuation Office Agency definition),8 rooms,Count,Households,23
E02001266,Trafford 008,Middle-layer Super Output Area,2021-03-21,Number of rooms in household spaces with at least one usual resident (Valuation Office Agency definition),9 or more rooms,Count,Households,8
E02001267,Trafford 009,Middle-layer Super Output Area,2021-03-21,Number of rooms in household spaces with at least one usual resident (Valuation Office Agency definition),1 room,Count,Households,177
E02001267,Trafford 009,Middle-layer Super Output Area,2021-03-21,Number of rooms in household spaces with at least one usual resident (Valuation Office Agency definition),2 rooms,Count,Households,498
E02001267,Trafford 009,Middle-layer Super Output Area,2021-03-21,Number of rooms in household spaces with at least one usual resident (Valuation Office Agency definition),3 rooms,Count,Households,702
E02001267,Trafford 009,Middle-layer Super Output Area,2021-03-21,Number of rooms in household spaces with at least one usual resident (Valuation Office Agency definition),4 rooms,Count,Households,720
E02001267,Trafford 009,Middle-layer Super Output Area,2021-03-21,Number of rooms in household spaces with at least one usual resident (Valuation Office Agency definition),5 rooms,Count,Households,808
E02001267,Trafford 009,Middle-layer Super Output Area,2021-03-21,Number of rooms in household spaces with at least one usual resident (Valuation Office Agency definition),6 rooms,Count,Households,286
