area_code,area_name,geography,period,indicator,establishment_type,measure,unit,value
E02001259,Trafford 001,Middle-layer Super Output Area,2021-03-21,Communal establishment residents by establishment management and type,Establishment not stated,Count,Persons,5
E02001259,Trafford 001,Middle-layer Super Output Area,2021-03-21,Communal establishment residents by establishment management and type,Medical and care establishment: NHS: General hospital,Count,Persons,0
E02001259,Trafford 001,Middle-layer Super Output Area,2021-03-21,Communal establishment residents by establishment management and type,Medical and care establishment: NHS: Mental health hospital or unit (including secure units),Count,Persons,0
E02001259,Trafford 001,Middle-layer Super Output Area,2021-03-21,Communal establishment residents by establishment management and type,Medical and care establishment: NHS: Other hospital,Count,Persons,0
E02001259,Trafford 001,Middle-layer Super Output Area,2021-03-21,Communal establishment residents by establishment management and type,Medical and care establishment: Local Authority: Children's home (including secure units),Count,Persons,0
E02001259,Trafford 001,Middle-layer Super Output Area,2021-03-21,Communal establishment residents by establishment management and type,Medical and care establishment: Local Authority: Care home with nursing,Count,Persons,0
E02001259,Trafford 001,Middle-layer Super Output Area,2021-03-21,Communal establishment residents by establishment management and type,Medical and care establishment: Local Authority: Care home without nursing,Count,Persons,0
E02001259,Trafford 001,Middle-layer Super Output Area,2021-03-21,Communal establishment residents by establishment management and type,Medical and care establishment: Local Authority: Other home,Count,Persons,0
E02001259,Trafford 001,Middle-layer Super Output Area,2021-03-21,Communal establishment residents by establishment management and type,Medical and care establishment: Registered Social Landlord or Housing Association: Home or hostel,Count,Persons,0
E02001259,Trafford 001,Middle-layer Super Output Area,2021-03-21,Communal establishment residents by establishment management and type,Medical and care establishment: Other: Care home with nursing,Count,Persons,40
E02001259,Trafford 001,Middle-layer Super Output Area,2021-03-21,Communal establishment residents by establishment management and type,Medical and care establishment: Other: Care home without nursing,Count,Persons,8
E02001259,Trafford 001,Middle-layer Super Output Area,2021-03-21,Communal establishment residents by establishment management and type,Medical and care establishment: Other: Children's home (including secure units),Count,Persons,0
E02001259,Trafford 001,Middle-layer Super Output Area,2021-03-21,Communal establishment residents by establishment management and type,Medical and care establishment: Other: Mental health hospital or unit (including secure units),Count,Persons,0
