area_code,area_name,geography,period,indicator,household_rooms,measure,unit,value
E01006109,Trafford 001A,Lower-layer Super Output Area,2021-03-21,Number of rooms in household spaces with at least one usual resident (Valuation Office Agency definition),1 room,Count,Households,1
E01006109,Trafford 001A,Lower-layer Super Output Area,2021-03-21,Number of rooms in household spaces with at least one usual resident (Valuation Office Agency definition),2 rooms,Count,Households,140
E01006109,Trafford 001A,Lower-layer Super Output Area,2021-03-21,Number of rooms in household spaces with at least one usual resident (Valuation Office Agency definition),3 rooms,Count,Households,251
E01006109,Trafford 001A,Lower-layer Super Output Area,2021-03-21,Number of rooms in household spaces with at least one usual resident (Valuation Office Agency definition),4 rooms,Count,Households,60
E01006109,Trafford 001A,Lower-layer Super Output Area,2021-03-21,Number of rooms in household spaces with at least one usual resident (Valuation Office Agency definition),5 rooms,Count,Households,62
E01006109,Trafford 001A,Lower-layer Super Output Area,2021-03-21,Number of rooms in household spaces with at least one usual resident (Valuation Office Agency definition),6 rooms,Count,Households,6
E01006109,Trafford 001A,Lower-layer Super Output Area,2021-03-21,Number of rooms in household spaces with at least one usual resident (Valuation Office Agency definition),7 rooms,Count,Households,4
E01006109,Trafford 001A,Lower-layer Super Output Area,2021-03-21,Number of rooms in household spaces with at least one usual resident (Valuation Office Agency definition),8 rooms,Count,Households,7
E01006109,Trafford 001A,Lower-layer Super Output Area,2021-03-21,Number of rooms in household spaces with at least one usual resident (Valuation Office Agency definition),9 or more rooms,Count,Households,1
E01006110,Trafford 001B,Lower-layer Super Output Area,2021-03-21,Number of rooms in household spaces with at least one usual resident (Valuation Office Agency definition),1 room,Count,Households,1
E01006110,Trafford 001B,Lower-layer Super Output Area,2021-03-21,Number of rooms in household spaces with at least one usual resident (Valuation Office Agency definition),2 rooms,Count,Households,7
E01006110,Trafford 001B,Lower-layer Super Output Area,2021-03-21,Number of rooms in household spaces with at least one usual resident (Valuation Office Agency definition),3 rooms,Count,Households,17
E01006110,Trafford 001B,Lower-layer Super Output Area,2021-03-21,Number of rooms in household spaces with at least one usual resident (Valuation Office Agency definition),4 rooms,Count,Households,268
E01006110,Trafford 001B,Lower-layer Super Output Area,2021-03-21,Number of rooms in household spaces with at least one usual resident (Valuation Office Agency definition),5 rooms,Count,Households,301
E01006110,Trafford 001B,Lower-layer Super Output Area,2021-03-21,Number of rooms in household spaces with at least one usual resident (Valuation Office Agency definition),6 rooms,Count,Households,50
E01006110,Trafford 001B,Lower-layer Super Output Area,2021-03-21,Number of rooms in household spaces with at least one usual resident (Valuation Office Agency definition),7 rooms,Count,Households,7
E01006110,Trafford 001B,Lower-layer Super Output Area,2021-03-21,Number of rooms in household spaces with at least one usual resident (Valuation Office Agency definition),8 rooms,Count,Households,3
E01006110,Trafford 001B,Lower-layer Super Output Area,2021-03-21,Number of rooms in household spaces with at least one usual resident (Valuation Office Agency definition),9 or more rooms,Count,Households,2
E01006111,Trafford 001C,Lower-layer Super Output Area,2021-03-21,Number of rooms in household spaces with at least one usual resident (Valuation Office Agency definition),1 room,Count,Households,2
E01006111,Trafford 001C,Lower-layer Super Output Area,2021-03-21,Number of rooms in household spaces with at least one usual resident (Valuation Office Agency definition),2 rooms,Count,Households,30
E01006111,Trafford 001C,Lower-layer Super Output Area,2021-03-21,Number of rooms in household spaces with at least one usual resident (Valuation Office Agency definition),3 rooms,Count,Households,77
E01006111,Trafford 001C,Lower-layer Super Output Area,2021-03-21,Number of rooms in household spaces with at least one usual resident (Valuation Office Agency definition),4 rooms,Count,Households,173
E01006111,Trafford 001C,Lower-layer Super Output Area,2021-03-21,Number of rooms in household spaces with at least one usual resident (Valuation Office Agency definition),5 rooms,Count,Households,149
E01006111,Trafford 001C,Lower-layer Super Output Area,2021-03-21,Number of rooms in household spaces with at least one usual resident (Valuation Office Agency definition),6 rooms,Count,Households,87
E01006111,Trafford 001C,Lower-layer Super Output Area,2021-03-21,Number of rooms in household spaces with at least one usual resident (Valuation Office Agency definition),7 rooms,Count,Households,31
E01006111,Trafford 001C,Lower-layer Super Output Area,2021-03-21,Number of rooms in household spaces with at least one usual resident (Valuation Office Agency definition),8 rooms,Count,Households,5
E01006111,Trafford 001C,Lower-layer Super Output Area,2021-03-21,Number of rooms in household spaces with at least one usual resident (Valuation Office Agency definition),9 or more rooms,Count,Households,1
E01006112,Trafford 001D,Lower-layer Super Output Area,2021-03-21,Number of rooms in household spaces with at least one usual resident (Valuation Office Agency definition),1 room,Count,Households,7
E01006112,Trafford 001D,Lower-layer Super Output Area,2021-03-21,Number of rooms in household spaces with at least one usual resident (Valuation Office Agency definition),2 rooms,Count,Households,74
E01006112,Trafford 001D,Lower-layer Super Output Area,2021-03-21,Number of rooms in household spaces with at least one usual resident (Valuation Office Agency definition),3 rooms,Count,Households,161
E01006112,Trafford 001D,Lower-layer Super Output Area,2021-03-21,Number of rooms in household spaces with at least one usual resident (Valuation Office Agency definition),4 rooms,Count,Households,133
E01006112,Trafford 001D,Lower-layer Super Output Area,2021-03-21,Number of rooms in household spaces with at least one usual resident (Valuation Office Agency definition),5 rooms,Count,Households,210
E01006112,Trafford 001D,Lower-layer Super Output Area,2021-03-21,Number of rooms in household spaces with at least one usual resident (Valuation Office Agency definition),6 rooms,Count,Households,72
E01006112,Trafford 001D,Lower-layer Super Output Area,2021-03-21,Number of rooms in household spaces with at least one usual resident (Valuation Office Agency definition),7 rooms,Count,Households,26
E01006112,Trafford 001D,Lower-layer Super Output Area,2021-03-21,Number of rooms in household spaces with at least one usual resident (Valuation Office Agency definition),8 rooms,Count,Households,15
E01006112,Trafford 001D,Lower-layer Super Output Area,2021-03-21,Number of rooms in household spaces with at least one usual resident (Valuation Office Agency definition),9 or more rooms,Count,Households,2
E01006188,Trafford 001F,Lower-layer Super Output Area,2021-03-21,Number of rooms in household spaces with at least one usual resident (Valuation Office Agency definition),1 room,Count,Households,30
E01006188,Trafford 001F,Lower-layer Super Output Area,2021-03-21,Number of rooms in household spaces with at least one usual resident (Valuation Office Agency definition),2 rooms,Count,Households,155
E01006188,Trafford 001F,Lower-layer Super Output Area,2021-03-21,Number of rooms in household spaces with at least one usual resident (Valuation Office Agency definition),3 rooms,Count,Households,204
E01006188,Trafford 001F,Lower-layer Super Output Area,2021-03-21,Number of rooms in household spaces with at least one usual resident (Valuation Office Agency definition),4 rooms,Count,Households,107
E01006188,Trafford 001F,Lower-layer Super Output Area,2021-03-21,Number of rooms in household spaces with at least one usual resident (Valuation Office Agency definition),5 rooms,Count,Households,220
E01006188,Trafford 001F,Lower-layer Super Output Area,2021-03-21,Number of rooms in household spaces with at least one usual resident (Valuation Office Agency definition),6 rooms,Count,Households,45
E01006188,Trafford 001F,Lower-layer Super Output Area,2021-03-21,Number of rooms in household spaces with at least one usual resident (Valuation Office Agency definition),7 rooms,Count,Households,17
E01006188,Trafford 001F,Lower-layer Super Output Area,2021-03-21,Number of rooms in household spaces with at least one usual resident (Valuation Office Agency definition),8 rooms,Count,Households,4
E01006188,Trafford 001F,Lower-layer Super Output Area,2021-03-21,Number of rooms in household spaces with at least one usual resident (Valuation Office Agency definition),9 or more rooms,Count,Households,3
E01034000,Trafford 001G,Lower-layer Super Output Area,2021-03-21,Number of rooms in household spaces with at least one usual resident (Valuation Office Agency definition),1 room,Count,Households,99
E01034000,Trafford 001G,Lower-layer Super Output Area,2021-03-21,Number of rooms in household spaces with at least one usual resident (Valuation Office Agency definition),2 rooms,Count,Households,311
E01034000,Trafford 001G,Lower-layer Super Output Area,2021-03-21,Number of rooms in household spaces with at least one usual resident (Valuation Office Agency definition),3 rooms,Count,Households,307
E01034000,Trafford 001G,Lower-layer Super Output Area,2021-03-21,Number of rooms in household spaces with at least one usual resident (Valuation Office Agency definition),4 rooms,Count,Households,27
E01034000,Trafford 001G,Lower-layer Super Output Area,2021-03-21,Number of rooms in household spaces with at least one usual resident (Valuation Office Agency definition),5 rooms,Count,Households,4
E01034000,Trafford 001G,Lower-layer Super Output Area,2021-03-21,Number of rooms in household spaces with at least one usual resident (Valuation Office Agency definition),6 rooms,Count,Households,0
E01034000,Trafford 001G,Lower-layer Super Output Area,2021-03-21,Number of rooms in household spaces with at least one usual resident (Valuation Office Agency definition),7 rooms,Count,Households,1
E01034000,Trafford 001G,Lower-layer Super Output Area,2021-03-21,Number of rooms in household spaces with at least one usual resident (Valuation Office Agency definition),8 rooms,Count,Households,0
E01034000,Trafford 001G,Lower-layer Super Output Area,2021-03-21,Number of rooms in household spaces with at least one usual resident (Valuation Office Agency definition),9 or more rooms,Count,Households,2
