area_code,area_name,geography,period,indicator,second_address_category,measure,unit,value
E08000001,Bolton,Local authority,2021-03-21,Classification of usual residents by their use of a second address and whether that address is inside or outside the UK,No second address,Count,Persons,285759
E08000001,Bolton,Local authority,2021-03-21,Classification of usual residents by their use of a second address and whether that address is inside or outside the UK,Second address is in the UK,Count,Persons,8032
E08000001,Bolton,Local authority,2021-03-21,Classification of usual residents by their use of a second address and whether that address is inside or outside the UK,Second address is outside the UK,Count,Persons,2172
E08000002,Bury,Local authority,2021-03-21,Classification of usual residents by their use of a second address and whether that address is inside or outside the UK,No second address,Count,Persons,186509
E08000002,Bury,Local authority,2021-03-21,Classification of usual residents by their use of a second address and whether that address is inside or outside the UK,Second address is in the UK,Count,Persons,5780
E08000002,Bury,Local authority,2021-03-21,Classification of usual residents by their use of a second address and whether that address is inside or outside the UK,Second address is outside the UK,Count,Persons,1562
E08000003,Manchester,Local authority,2021-03-21,Classification of usual residents by their use of a second address and whether that address is inside or outside the UK,No second address,Count,Persons,499818
E08000003,Manchester,Local authority,2021-03-21,Classification of usual residents by their use of a second address and whether that address is inside or outside the UK,Second address is in the UK,Count,Persons,40339
E08000003,Manchester,Local authority,2021-03-21,Classification of usual residents by their use of a second address and whether that address is inside or outside the UK,Second address is outside the UK,Count,Persons,11781
E08000004,Oldham,Local authority,2021-03-21,Classification of usual residents by their use of a second address and whether that address is inside or outside the UK,No second address,Count,Persons,235335
E08000004,Oldham,Local authority,2021-03-21,Classification of usual residents by their use of a second address and whether that address is inside or outside the UK,Second address is in the UK,Count,Persons,5345
E08000004,Oldham,Local authority,2021-03-21,Classification of usual residents by their use of a second address and whether that address is inside or outside the UK,Second address is outside the UK,Count,Persons,1408
E08000005,Rochdale,Local authority,2021-03-21,Classification of usual residents by their use of a second address and whether that address is inside or outside the UK,No second address,Count,Persons,216940
E08000005,Rochdale,Local authority,2021-03-21,Classification of usual residents by their use of a second address and whether that address is inside or outside the UK,Second address is in the UK,Count,Persons,5358
E08000005,Rochdale,Local authority,2021-03-21,Classification of usual residents by their use of a second address and whether that address is inside or outside the UK,Second address is outside the UK,Count,Persons,1475
E08000006,Salford,Local authority,2021-03-21,Classification of usual residents by their use of a second address and whether that address is inside or outside the UK,No second address,Count,Persons,253994
E08000006,Salford,Local authority,2021-03-21,Classification of usual residents by their use of a second address and whether that address is inside or outside the UK,Second address is in the UK,Count,Persons,12924
E08000006,Salford,Local authority,2021-03-21,Classification of usual residents by their use of a second address and whether that address is inside or outside the UK,Second address is outside the UK,Count,Persons,3004
E08000007,Stockport,Local authority,2021-03-21,Classification of usual residents by their use of a second address and whether that address is inside or outside the UK,No second address,Count,Persons,282780
E08000007,Stockport,Local authority,2021-03-21,Classification of usual residents by their use of a second address and whether that address is inside or outside the UK,Second address is in the UK,Count,Persons,9591
E08000007,Stockport,Local authority,2021-03-21,Classification of usual residents by their use of a second address and whether that address is inside or outside the UK,Second address is outside the UK,Count,Persons,2402
E08000008,Tameside,Local authority,2021-03-21,Classification of usual residents by their use of a second address and whether that address is inside or outside the UK,No second address,Count,Persons,223433
E08000008,Tameside,Local authority,2021-03-21,Classification of usual residents by their use of a second address and whether that address is inside or outside the UK,Second address is in the UK,Count,Persons,6338
E08000008,Tameside,Local authority,2021-03-21,Classification of usual residents by their use of a second address and whether that address is inside or outside the UK,Second address is outside the UK,Count,Persons,1299
E08000009,Trafford,Local authority,2021-03-21,Classification of usual residents by their use of a second address and whether that address is inside or outside the UK,No second address,Count,Persons,224661
E08000009,Trafford,Local authority,2021-03-21,Classification of usual residents by their use of a second address and whether that address is inside or outside the UK,Second address is in the UK,Count,Persons,7773
E08000009,Trafford,Local authority,2021-03-21,Classification of usual residents by their use of a second address and whether that address is inside or outside the UK,Second address is outside the UK,Count,Persons,2618
E08000010,Wigan,Local authority,2021-03-21,Classification of usual residents by their use of a second address and whether that address is inside or outside the UK,No second address,Count,Persons,317532
E08000010,Wigan,Local authority,2021-03-21,Classification of usual residents by their use of a second address and whether that address is inside or outside the UK,Second address is in the UK,Count,Persons,10051
E08000010,Wigan,Local authority,2021-03-21,Classification of usual residents by their use of a second address and whether that address is inside or outside the UK,Second address is outside the UK,Count,Persons,1747
