area_code,area_name,geography,period,indicator,second_address_category,measure,unit,value
E02001259,Trafford 001,Middle-layer Super Output Area,2021-03-21,Classification of usual residents by their use of a second address and whether that address is inside or outside the UK,No second address,Count,Persons,11171
E02001259,Trafford 001,Middle-layer Super Output Area,2021-03-21,Classification of usual residents by their use of a second address and whether that address is inside or outside the UK,Second address is in the UK,Count,Persons,391
E02001259,Trafford 001,Middle-layer Super Output Area,2021-03-21,Classification of usual residents by their use of a second address and whether that address is inside or outside the UK,Second address is outside the UK,Count,Persons,159
E02001260,Trafford 002,Middle-layer Super Output Area,2021-03-21,Classification of usual residents by their use of a second address and whether that address is inside or outside the UK,No second address,Count,Persons,7303
E02001260,Trafford 002,Middle-layer Super Output Area,2021-03-21,Classification of usual residents by their use of a second address and whether that address is inside or outside the UK,Second address is in the UK,Count,Persons,237
E02001260,Trafford 002,Middle-layer Super Output Area,2021-03-21,Classification of usual residents by their use of a second address and whether that address is inside or outside the UK,Second address is outside the UK,Count,Persons,41
E02001261,Trafford 003,Middle-layer Super Output Area,2021-03-21,Classification of usual residents by their use of a second address and whether that address is inside or outside the UK,No second address,Count,Persons,8574
E02001261,Trafford 003,Middle-layer Super Output Area,2021-03-21,Classification of usual residents by their use of a second address and whether that address is inside or outside the UK,Second address is in the UK,Count,Persons,236
E02001261,Trafford 003,Middle-layer Super Output Area,2021-03-21,Classification of usual residents by their use of a second address and whether that address is inside or outside the UK,Second address is outside the UK,Count,Persons,68
E02001262,Trafford 004,Middle-layer Super Output Area,2021-03-21,Classification of usual residents by their use of a second address and whether that address is inside or outside the UK,No second address,Count,Persons,8394
E02001262,Trafford 004,Middle-layer Super Output Area,2021-03-21,Classification of usual residents by their use of a second address and whether that address is inside or outside the UK,Second address is in the UK,Count,Persons,199
E02001262,Trafford 004,Middle-layer Super Output Area,2021-03-21,Classification of usual residents by their use of a second address and whether that address is inside or outside the UK,Second address is outside the UK,Count,Persons,83
E02001263,Trafford 005,Middle-layer Super Output Area,2021-03-21,Classification of usual residents by their use of a second address and whether that address is inside or outside the UK,No second address,Count,Persons,8006
E02001263,Trafford 005,Middle-layer Super Output Area,2021-03-21,Classification of usual residents by their use of a second address and whether that address is inside or outside the UK,Second address is in the UK,Count,Persons,304
E02001263,Trafford 005,Middle-layer Super Output Area,2021-03-21,Classification of usual residents by their use of a second address and whether that address is inside or outside the UK,Second address is outside the UK,Count,Persons,83
E02001264,Trafford 006,Middle-layer Super Output Area,2021-03-21,Classification of usual residents by their use of a second address and whether that address is inside or outside the UK,No second address,Count,Persons,8402
E02001264,Trafford 006,Middle-layer Super Output Area,2021-03-21,Classification of usual residents by their use of a second address and whether that address is inside or outside the UK,Second address is in the UK,Count,Persons,185
E02001264,Trafford 006,Middle-layer Super Output Area,2021-03-21,Classification of usual residents by their use of a second address and whether that address is inside or outside the UK,Second address is outside the UK,Count,Persons,68
E02001265,Trafford 007,Middle-layer Super Output Area,2021-03-21,Classification of usual residents by their use of a second address and whether that address is inside or outside the UK,No second address,Count,Persons,7860
E02001265,Trafford 007,Middle-layer Super Output Area,2021-03-21,Classification of usual residents by their use of a second address and whether that address is inside or outside the UK,Second address is in the UK,Count,Persons,290
E02001265,Trafford 007,Middle-layer Super Output Area,2021-03-21,Classification of usual residents by their use of a second address and whether that address is inside or outside the UK,Second address is outside the UK,Count,Persons,43
E02001266,Trafford 008,Middle-layer Super Output Area,2021-03-21,Classification of usual residents by their use of a second address and whether that address is inside or outside the UK,No second address,Count,Persons,6732
E02001266,Trafford 008,Middle-layer Super Output Area,2021-03-21,Classification of usual residents by their use of a second address and whether that address is inside or outside the UK,Second address is in the UK,Count,Persons,153
E02001266,Trafford 008,Middle-layer Super Output Area,2021-03-21,Classification of usual residents by their use of a second address and whether that address is inside or outside the UK,Second address is outside the UK,Count,Persons,39
E02001267,Trafford 009,Middle-layer Super Output Area,2021-03-21,Classification of usual residents by their use of a second address and whether that address is inside or outside the UK,No second address,Count,Persons,6957
E02001267,Trafford 009,Middle-layer Super Output Area,2021-03-21,Classification of usual residents by their use of a second address and whether that address is inside or outside the UK,Second address is in the UK,Count,Persons,241
E02001267,Trafford 009,Middle-layer Super Output Area,2021-03-21,Classification of usual residents by their use of a second address and whether that address is inside or outside the UK,Second address is outside the UK,Count,Persons,49
E02001268,Trafford 010,Middle-layer Super Output Area,2021-03-21,Classification of usual residents by their use of a second address and whether that address is inside or outside the UK,No second address,Count,Persons,6731
E02001268,Trafford 010,Middle-layer Super Output Area,2021-03-21,Classification of usual residents by their use of a second address and whether that address is inside or outside the UK,Second address is in the UK,Count,Persons,243
E02001268,Trafford 010,Middle-layer Super Output Area,2021-03-21,Classification of usual residents by their use of a second address and whether that address is inside or outside the UK,Second address is outside the UK,Count,Persons,66
E02001269,Trafford 011,Middle-layer Super Output Area,2021-03-21,Classification of usual residents by their use of a second address and whether that address is inside or outside the UK,No second address,Count,Persons,8029
E02001269,Trafford 011,Middle-layer Super Output Area,2021-03-21,Classification of usual residents by their use of a second address and whether that address is inside or outside the UK,Second address is in the UK,Count,Persons,274
E02001269,Trafford 011,Middle-layer Super Output Area,2021-03-21,Classification of usual residents by their use of a second address and whether that address is inside or outside the UK,Second address is outside the UK,Count,Persons,53
E02001270,Trafford 012,Middle-layer Super Output Area,2021-03-21,Classification of usual residents by their use of a second address and whether that address is inside or outside the UK,No second address,Count,Persons,8159
E02001270,Trafford 012,Middle-layer Super Output Area,2021-03-21,Classification of usual residents by their use of a second address and whether that address is inside or outside the UK,Second address is in the UK,Count,Persons,297
E02001270,Trafford 012,Middle-layer Super Output Area,2021-03-21,Classification of usual residents by their use of a second address and whether that address is inside or outside the UK,Second address is outside the UK,Count,Persons,93
E02001271,Trafford 013,Middle-layer Super Output Area,2021-03-21,Classification of usual residents by their use of a second address and whether that address is inside or outside the UK,No second address,Count,Persons,6361
E02001271,Trafford 013,Middle-layer Super Output Area,2021-03-21,Classification of usual residents by their use of a second address and whether that address is inside or outside the UK,Second address is in the UK,Count,Persons,218
E02001271,Trafford 013,Middle-layer Super Output Area,2021-03-21,Classification of usual residents by their use of a second address and whether that address is inside or outside the UK,Second address is outside the UK,Count,Persons,66
E02001272,Trafford 014,Middle-layer Super Output Area,2021-03-21,Classification of usual residents by their use of a second address and whether that address is inside or outside the UK,No second address,Count,Persons,7648
E02001272,Trafford 014,Middle-layer Super Output Area,2021-03-21,Classification of usual residents by their use of a second address and whether that address is inside or outside the UK,Second address is in the UK,Count,Persons,291
E02001272,Trafford 014,Middle-layer Super Output Area,2021-03-21,Classification of usual residents by their use of a second address and whether that address is inside or outside the UK,Second address is outside the UK,Count,Persons,85
E02001273,Trafford 015,Middle-layer Super Output Area,2021-03-21,Classification of usual residents by their use of a second address and whether that address is inside or outside the UK,No second address,Count,Persons,9031
E02001273,Trafford 015,Middle-layer Super Output Area,2021-03-21,Classification of usual residents by their use of a second address and whether that address is inside or outside the UK,Second address is in the UK,Count,Persons,367
E02001273,Trafford 015,Middle-layer Super Output Area,2021-03-21,Classification of usual residents by their use of a second address and whether that address is inside or outside the UK,Second address is outside the UK,Count,Persons,137
E02001274,Trafford 016,Middle-layer Super Output Area,2021-03-21,Classification of usual residents by their use of a second address and whether that address is inside or outside the UK,No second address,Count,Persons,7695
E02001274,Trafford 016,Middle-layer Super Output Area,2021-03-21,Classification of usual residents by their use of a second address and whether that address is inside or outside the UK,Second address is in the UK,Count,Persons,281
E02001274,Trafford 016,Middle-layer Super Output Area,2021-03-21,Classification of usual residents by their use of a second address and whether that address is inside or outside the UK,Second address is outside the UK,Count,Persons,83
E02001275,Trafford 017,Middle-layer Super Output Area,2021-03-21,Classification of usual residents by their use of a second address and whether that address is inside or outside the UK,No second address,Count,Persons,7967
E02001275,Trafford 017,Middle-layer Super Output Area,2021-03-21,Classification of usual residents by their use of a second address and whether that address is inside or outside the UK,Second address is in the UK,Count,Persons,213
E02001275,Trafford 017,Middle-layer Super Output Area,2021-03-21,Classification of usual residents by their use of a second address and whether that address is inside or outside the UK,Second address is outside the UK,Count,Persons,8
E02001276,Trafford 018,Middle-layer Super Output Area,2021-03-21,Classification of usual residents by their use of a second address and whether that address is inside or outside the UK,No second address,Count,Persons,7799
E02001276,Trafford 018,Middle-layer Super Output Area,2021-03-21,Classification of usual residents by their use of a second address and whether that address is inside or outside the UK,Second address is in the UK,Count,Persons,243
E02001276,Trafford 018,Middle-layer Super Output Area,2021-03-21,Classification of usual residents by their use of a second address and whether that address is inside or outside the UK,Second address is outside the UK,Count,Persons,74
E02001277,Trafford 019,Middle-layer Super Output Area,2021-03-21,Classification of usual residents by their use of a second address and whether that address is inside or outside the UK,No second address,Count,Persons,8981
E02001277,Trafford 019,Middle-layer Super Output Area,2021-03-21,Classification of usual residents by their use of a second address and whether that address is inside or outside the UK,Second address is in the UK,Count,Persons,266
E02001277,Trafford 019,Middle-layer Super Output Area,2021-03-21,Classification of usual residents by their use of a second address and whether that address is inside or outside the UK,Second address is outside the UK,Count,Persons,105
E02001278,Trafford 020,Middle-layer Super Output Area,2021-03-21,Classification of usual residents by their use of a second address and whether that address is inside or outside the UK,No second address,Count,Persons,8342
E02001278,Trafford 020,Middle-layer Super Output Area,2021-03-21,Classification of usual residents by their use of a second address and whether that address is inside or outside the UK,Second address is in the UK,Count,Persons,245
E02001278,Trafford 020,Middle-layer Super Output Area,2021-03-21,Classification of usual residents by their use of a second address and whether that address is inside or outside the UK,Second address is outside the UK,Count,Persons,107
E02001279,Trafford 021,Middle-layer Super Output Area,2021-03-21,Classification of usual residents by their use of a second address and whether that address is inside or outside the UK,No second address,Count,Persons,7974
E02001279,Trafford 021,Middle-layer Super Output Area,2021-03-21,Classification of usual residents by their use of a second address and whether that address is inside or outside the UK,Second address is in the UK,Count,Persons,240
E02001279,Trafford 021,Middle-layer Super Output Area,2021-03-21,Classification of usual residents by their use of a second address and whether that address is inside or outside the UK,Second address is outside the UK,Count,Persons,72
E02001280,Trafford 022,Middle-layer Super Output Area,2021-03-21,Classification of usual residents by their use of a second address and whether that address is inside or outside the UK,No second address,Count,Persons,8041
E02001280,Trafford 022,Middle-layer Super Output Area,2021-03-21,Classification of usual residents by their use of a second address and whether that address is inside or outside the UK,Second address is in the UK,Count,Persons,275
E02001280,Trafford 022,Middle-layer Super Output Area,2021-03-21,Classification of usual residents by their use of a second address and whether that address is inside or outside the UK,Second address is outside the UK,Count,Persons,85
E02001281,Trafford 023,Middle-layer Super Output Area,2021-03-21,Classification of usual residents by their use of a second address and whether that address is inside or outside the UK,No second address,Count,Persons,7389
E02001281,Trafford 023,Middle-layer Super Output Area,2021-03-21,Classification of usual residents by their use of a second address and whether that address is inside or outside the UK,Second address is in the UK,Count,Persons,273
E02001281,Trafford 023,Middle-layer Super Output Area,2021-03-21,Classification of usual residents by their use of a second address and whether that address is inside or outside the UK,Second address is outside the UK,Count,Persons,73
E02001282,Trafford 024,Middle-layer Super Output Area,2021-03-21,Classification of usual residents by their use of a second address and whether that address is inside or outside the UK,No second address,Count,Persons,9605
E02001282,Trafford 024,Middle-layer Super Output Area,2021-03-21,Classification of usual residents by their use of a second address and whether that address is inside or outside the UK,Second address is in the UK,Count,Persons,376
E02001282,Trafford 024,Middle-layer Super Output Area,2021-03-21,Classification of usual residents by their use of a second address and whether that address is inside or outside the UK,Second address is outside the UK,Count,Persons,124
E02001283,Trafford 025,Middle-layer Super Output Area,2021-03-21,Classification of usual residents by their use of a second address and whether that address is inside or outside the UK,No second address,Count,Persons,9015
E02001283,Trafford 025,Middle-layer Super Output Area,2021-03-21,Classification of usual residents by their use of a second address and whether that address is inside or outside the UK,Second address is in the UK,Count,Persons,297
E02001283,Trafford 025,Middle-layer Super Output Area,2021-03-21,Classification of usual residents by their use of a second address and whether that address is inside or outside the UK,Second address is outside the UK,Count,Persons,202
E02001284,Trafford 026,Middle-layer Super Output Area,2021-03-21,Classification of usual residents by their use of a second address and whether that address is inside or outside the UK,No second address,Count,Persons,7612
E02001284,Trafford 026,Middle-layer Super Output Area,2021-03-21,Classification of usual residents by their use of a second address and whether that address is inside or outside the UK,Second address is in the UK,Count,Persons,387
E02001284,Trafford 026,Middle-layer Super Output Area,2021-03-21,Classification of usual residents by their use of a second address and whether that address is inside or outside the UK,Second address is outside the UK,Count,Persons,154
E02001285,Trafford 027,Middle-layer Super Output Area,2021-03-21,Classification of usual residents by their use of a second address and whether that address is inside or outside the UK,No second address,Count,Persons,7120
E02001285,Trafford 027,Middle-layer Super Output Area,2021-03-21,Classification of usual residents by their use of a second address and whether that address is inside or outside the UK,Second address is in the UK,Count,Persons,421
E02001285,Trafford 027,Middle-layer Super Output Area,2021-03-21,Classification of usual residents by their use of a second address and whether that address is inside or outside the UK,Second address is outside the UK,Count,Persons,215
E02001286,Trafford 028,Middle-layer Super Output Area,2021-03-21,Classification of usual residents by their use of a second address and whether that address is inside or outside the UK,No second address,Count,Persons,7763
E02001286,Trafford 028,Middle-layer Super Output Area,2021-03-21,Classification of usual residents by their use of a second address and whether that address is inside or outside the UK,Second address is in the UK,Count,Persons,329
E02001286,Trafford 028,Middle-layer Super Output Area,2021-03-21,Classification of usual residents by their use of a second address and whether that address is inside or outside the UK,Second address is outside the UK,Count,Persons,186
