area_code,area_name,geography,period,indicator,central_heating_type,measure,unit,value
E05000819,Altrincham,Electoral ward,2021-03-21,The type of central heating present in occupied household spaces,No central heating,Count,Households,55
E05000819,Altrincham,Electoral ward,2021-03-21,The type of central heating present in occupied household spaces,Mains gas only,Count,Households,4287
E05000819,Altrincham,Electoral ward,2021-03-21,The type of central heating present in occupied household spaces,Tank or bottled gas only,Count,Households,12
E05000819,Altrincham,Electoral ward,2021-03-21,The type of central heating present in occupied household spaces,Electric only,Count,Households,741
E05000819,Altrincham,Electoral ward,2021-03-21,The type of central heating present in occupied household spaces,Oil only,Count,Households,5
E05000819,Altrincham,Electoral ward,2021-03-21,The type of central heating present in occupied household spaces,Wood only,Count,Households,0
E05000819,Altrincham,Electoral ward,2021-03-21,The type of central heating present in occupied household spaces,Solid fuel only,Count,Households,0
E05000819,Altrincham,Electoral ward,2021-03-21,The type of central heating present in occupied household spaces,Renewable energy only,Count,Households,10
E05000819,Altrincham,Electoral ward,2021-03-21,The type of central heating present in occupied household spaces,District or communal heat networks only,Count,Households,77
E05000819,Altrincham,Electoral ward,2021-03-21,The type of central heating present in occupied household spaces,Other central heating only,Count,Households,31
E05000819,Altrincham,Electoral ward,2021-03-21,The type of central heating present in occupied household spaces,Two or more types of central heating (not including renewable energy),Count,Households,379
E05000819,Altrincham,Electoral ward,2021-03-21,The type of central heating present in occupied household spaces,Two or more types of central heating (including renewable energy),Count,Households,12
E05000820,Ashton upon Mersey,Electoral ward,2021-03-21,The type of central heating present in occupied household spaces,No central heating,Count,Households,49
E05000820,Ashton upon Mersey,Electoral ward,2021-03-21,The type of central heating present in occupied household spaces,Mains gas only,Count,Households,3497
E05000820,Ashton upon Mersey,Electoral ward,2021-03-21,The type of central heating present in occupied household spaces,Tank or bottled gas only,Count,Households,7
E05000820,Ashton upon Mersey,Electoral ward,2021-03-21,The type of central heating present in occupied household spaces,Electric only,Count,Households,450
E05000820,Ashton upon Mersey,Electoral ward,2021-03-21,The type of central heating present in occupied household spaces,Oil only,Count,Households,2
E05000820,Ashton upon Mersey,Electoral ward,2021-03-21,The type of central heating present in occupied household spaces,Wood only,Count,Households,0
E05000820,Ashton upon Mersey,Electoral ward,2021-03-21,The type of central heating present in occupied household spaces,Solid fuel only,Count,Households,0
E05000820,Ashton upon Mersey,Electoral ward,2021-03-21,The type of central heating present in occupied household spaces,Renewable energy only,Count,Households,3
E05000820,Ashton upon Mersey,Electoral ward,2021-03-21,The type of central heating present in occupied household spaces,District or communal heat networks only,Count,Households,37
E05000820,Ashton upon Mersey,Electoral ward,2021-03-21,The type of central heating present in occupied household spaces,Other central heating only,Count,Households,20
