area_code,area_name,geography,period,indicator,room_occupancy,measure,unit,value
E01006109,Trafford 001A,Lower-layer Super Output Area,2021-03-21,"Occupancy rating based on the number of rooms in the household (Valuation Office Agency definition). -1 or less implies overcrowding, +1 or more implies under-occupancy and 0 suggests the household has an ideal number of rooms",Occupancy rating of rooms: +2 or more,Count,Households,75
E01006109,Trafford 001A,Lower-layer Super Output Area,2021-03-21,"Occupancy rating based on the number of rooms in the household (Valuation Office Agency definition). -1 or less implies overcrowding, +1 or more implies under-occupancy and 0 suggests the household has an ideal number of rooms",Occupancy rating of rooms: +1,Count,Households,185
E01006109,Trafford 001A,Lower-layer Super Output Area,2021-03-21,"Occupancy rating based on the number of rooms in the household (Valuation Office Agency definition). -1 or less implies overcrowding, +1 or more implies under-occupancy and 0 suggests the household has an ideal number of rooms",Occupancy rating of rooms: 0,Count,Households,211
E01006109,Trafford 001A,Lower-layer Super Output Area,2021-03-21,"Occupancy rating based on the number of rooms in the household (Valuation Office Agency definition). -1 or less implies overcrowding, +1 or more implies under-occupancy and 0 suggests the household has an ideal number of rooms",Occupancy rating of rooms: -1,Count,Households,48
E01006109,Trafford 001A,Lower-layer Super Output Area,2021-03-21,"Occupancy rating based on the number of rooms in the household (Valuation Office Agency definition). -1 or less implies overcrowding, +1 or more implies under-occupancy and 0 suggests the household has an ideal number of rooms",Occupancy rating of rooms: -2 or less,Count,Households,14
E01006110,Trafford 001B,Lower-layer Super Output Area,2021-03-21,"Occupancy rating based on the number of rooms in the household (Valuation Office Agency definition). -1 or less implies overcrowding, +1 or more implies under-occupancy and 0 suggests the household has an ideal number of rooms",Occupancy rating of rooms: +2 or more,Count,Households,352
E01006110,Trafford 001B,Lower-layer Super Output Area,2021-03-21,"Occupancy rating based on the number of rooms in the household (Valuation Office Agency definition). -1 or less implies overcrowding, +1 or more implies under-occupancy and 0 suggests the household has an ideal number of rooms",Occupancy rating of rooms: +1,Count,Households,158
E01006110,Trafford 001B,Lower-layer Super Output Area,2021-03-21,"Occupancy rating based on the number of rooms in the household (Valuation Office Agency definition). -1 or less implies overcrowding, +1 or more implies under-occupancy and 0 suggests the household has an ideal number of rooms",Occupancy rating of rooms: 0,Count,Households,98
E01006110,Trafford 001B,Lower-layer Super Output Area,2021-03-21,"Occupancy rating based on the number of rooms in the household (Valuation Office Agency definition). -1 or less implies overcrowding, +1 or more implies under-occupancy and 0 suggests the household has an ideal number of rooms",Occupancy rating of rooms: -1,Count,Households,34
E01006110,Trafford 001B,Lower-layer Super Output Area,2021-03-21,"Occupancy rating based on the number of rooms in the household (Valuation Office Agency definition). -1 or less implies overcrowding, +1 or more implies under-occupancy and 0 suggests the household has an ideal number of rooms",Occupancy rating of rooms: -2 or less,Count,Households,15
E01006111,Trafford 001C,Lower-layer Super Output Area,2021-03-21,"Occupancy rating based on the number of rooms in the household (Valuation Office Agency definition). -1 or less implies overcrowding, +1 or more implies under-occupancy and 0 suggests the household has an ideal number of rooms",Occupancy rating of rooms: +2 or more,Count,Households,223
E01006111,Trafford 001C,Lower-layer Super Output Area,2021-03-21,"Occupancy rating based on the number of rooms in the household (Valuation Office Agency definition). -1 or less implies overcrowding, +1 or more implies under-occupancy and 0 suggests the household has an ideal number of rooms",Occupancy rating of rooms: +1,Count,Households,144
E01006111,Trafford 001C,Lower-layer Super Output Area,2021-03-21,"Occupancy rating based on the number of rooms in the household (Valuation Office Agency definition). -1 or less implies overcrowding, +1 or more implies under-occupancy and 0 suggests the household has an ideal number of rooms",Occupancy rating of rooms: 0,Count,Households,109
E01006111,Trafford 001C,Lower-layer Super Output Area,2021-03-21,"Occupancy rating based on the number of rooms in the household (Valuation Office Agency definition). -1 or less implies overcrowding, +1 or more implies under-occupancy and 0 suggests the household has an ideal number of rooms",Occupancy rating of rooms: -1,Count,Households,53
E01006111,Trafford 001C,Lower-layer Super Output Area,2021-03-21,"Occupancy rating based on the number of rooms in the household (Valuation Office Agency definition). -1 or less implies overcrowding, +1 or more implies under-occupancy and 0 suggests the household has an ideal number of rooms",Occupancy rating of rooms: -2 or less,Count,Households,26
E01006112,Trafford 001D,Lower-layer Super Output Area,2021-03-21,"Occupancy rating based on the number of rooms in the household (Valuation Office Agency definition). -1 or less implies overcrowding, +1 or more implies under-occupancy and 0 suggests the household has an ideal number of rooms",Occupancy rating of rooms: +2 or more,Count,Households,228
E01006112,Trafford 001D,Lower-layer Super Output Area,2021-03-21,"Occupancy rating based on the number of rooms in the household (Valuation Office Agency definition). -1 or less implies overcrowding, +1 or more implies under-occupancy and 0 suggests the household has an ideal number of rooms",Occupancy rating of rooms: +1,Count,Households,187
E01006112,Trafford 001D,Lower-layer Super Output Area,2021-03-21,"Occupancy rating based on the number of rooms in the household (Valuation Office Agency definition). -1 or less implies overcrowding, +1 or more implies under-occupancy and 0 suggests the household has an ideal number of rooms",Occupancy rating of rooms: 0,Count,Households,194
