area_code,area_name,geography,period,indicator,resident_category,measure,unit,value
E05000819,Altrincham,Electoral ward,2021-03-21,Communal establishment residents by age and sex,Resident: Male: Aged 0 to 15 years,Count,Persons,0
E05000819,Altrincham,Electoral ward,2021-03-21,Communal establishment residents by age and sex,Resident: Male: Aged 16 to 24 years,Count,Persons,0
E05000819,Altrincham,Electoral ward,2021-03-21,Communal establishment residents by age and sex,Resident: Male: Aged 25 to 34 years,Count,Persons,0
E05000819,Altrincham,Electoral ward,2021-03-21,Communal establishment residents by age and sex,Resident: Male: Aged 35 to 49 years,Count,Persons,2
E05000819,Altrincham,Electoral ward,2021-03-21,Communal establishment residents by age and sex,Resident: Male: Aged 50 to 64 years,Count,Persons,0
E05000819,Altrincham,Electoral ward,2021-03-21,Communal establishment residents by age and sex,Resident: Male: Aged 65 to 74 years,Count,Persons,1
E05000819,Altrincham,Electoral ward,2021-03-21,Communal establishment residents by age and sex,Resident: Male: Aged 75 to 84 years,Count,Persons,2
E05000819,Altrincham,Electoral ward,2021-03-21,Communal establishment residents by age and sex,Resident: Male: Aged 85 years and over,Count,Persons,5
E05000819,Altrincham,Electoral ward,2021-03-21,Communal establishment residents by age and sex,Resident: Female: Aged 0 to 15 years,Count,Persons,0
E05000819,Altrincham,Electoral ward,2021-03-21,Communal establishment residents by age and sex,Resident: Female: Aged 16 to 24 years,Count,Persons,0
E05000819,Altrincham,Electoral ward,2021-03-21,Communal establishment residents by age and sex,Resident: Female: Aged 25 to 34 years,Count,Persons,0
E05000819,Altrincham,Electoral ward,2021-03-21,Communal establishment residents by age and sex,Resident: Female: Aged 35 to 49 years,Count,Persons,0
E05000819,Altrincham,Electoral ward,2021-03-21,Communal establishment residents by age and sex,Resident: Female: Aged 50 to 64 years,Count,Persons,2
E05000819,Altrincham,Electoral ward,2021-03-21,Communal establishment residents by age and sex,Resident: Female: Aged 65 to 74 years,Count,Persons,0
E05000819,Altrincham,Electoral ward,2021-03-21,Communal establishment residents by age and sex,Resident: Female: Aged 75 to 84 years,Count,Persons,3
E05000819,Altrincham,Electoral ward,2021-03-21,Communal establishment residents by age and sex,Resident: Female: Aged 85 years and over,Count,Persons,19
E05000819,Altrincham,Electoral ward,2021-03-21,Communal establishment residents by age and sex,Staff or owner,Count,Persons,1
