Name,Referral method,Opening times,Address,Postcode,Contact,Website,Area name,Area code,marker-color,marker-size
BRASS Bolton,Not known,Wednesday 10am - 4pm,"The Lodge, Green Lane, Bolton",BL3 2HP,admin@brass-bolton.org.uk,http://brassbolton.org/index.php/en/,Bolton,E08000001,#fc6721,medium
Salvation Army Bolton Citadel,Not known,Wednesday 9:30am - 12noon,"102 St George's Road, Bolton",BL1 2BZ,bolton.citadel@salvationarmy.org.uk,http://www.salvationarmy.org.uk/Bolton-Citadel,Bolton,E08000001,#fc6721,medium
Salvation Army Farnworth,Not known,NA,"54 - 56 Brackley Street, Farnworth, Bolton",BL4 9DR,farnworth@salvationarmy.org.uk,http://www.salvationarmy.org.uk/farnworth,Bolton,E08000001,#fc6721,medium
Trussell Trust,Foodbank Voucher,Monday 12noon - 2pm,"Our Lady of Lourdes Parish Centre, 275 Plodder Lane, Farnworth, Bolton",BL4 0BR,info@farnworthkearsley.foodbank.org.uk,http://farnworthkearsley.foodbank.org.uk/,Bolton,E08000001,#fc6721,medium
Trussell Trust,Foodbank Voucher,Tuesday - Friday 12noon - 2pm,"The Well, Trafford Street, Farnworth, Bolton",BL4 7PQ,info@farnworthkearsley.foodbank.org.uk,http://farnworthkearsley.foodbank.org.uk/,Bolton,E08000001,#fc6721,medium
Urban Outreach,Referral,One morning per week,"Environ House, Salop Street, Bolton",BL2 1DZ,01204 385 848,http://www.urbanoutreach.co.uk/ ,Bolton,E08000001,#fc6721,medium
New Bury UCAN Food Pantry,"£2.50 membership for £10 basket of food including fresh produce, bread, tinned food, meat, cheese",Thursday 10.30am - 12.30pm,53 George St New Bury,BL4 9PU,01204 329786,http://www.boltonathome.org.uk/ucan,Bolton,E08000001,#fc6721,medium
Bolton at Home Hope Centre UCAN ,"Please visit or call the Johnson Fold UCAN at 5 Johnson fold Ave, BL1 5SF.  (Open Tues 9:30-12:30 1:30-4:00pm.) for possible referral to the Hope Centre Food Pantry which is mainly for people on this estate or on Mossbank Way and is open on Thursday as shown",Thursday 1.30 - 3.30pm,"29 Tattersall Ave, Johnson Fold, Bolton",BL1 5TE,01204 329704,http://www.boltonathome.org.uk/ucan,Bolton,E08000001,#fc6721,medium
Porch Boxes,We deliver to agencies /workers who ask for food for their service users/clients but will always try and help in special cases,Not relevant,"14 Kenmor Avenue, Bury",BL8 2DY,0161 761 5908 or 07724113035,http://www.porchboxes.org.uk/,Bury,E08000002,#fc6721,medium
Salvation Army Bury,Not known,Sunday 3pm - 6:30pm,"18 Brookshaw Street, Bury",BL9 6EB,bury@salvationarmy.org.uk,http://www.salvationarmy.org.uk/Bury,Bury,E08000002,#fc6721,medium
