name,referral_method,opening_times,contact,website,address,post_code,lat,lon
4CT Limited,We have been told that this foodbank is no longer open. We are checking for confirmation.,,v.keelan.4ct@btconnect.com,http://www.4ct.org.uk/index.php/Section76.html,"Grange Community Resource Centre, Pilgrim Drive.Beswick, Manchester",M11 3TQ,53.4926697,-2.0875478
Ashton Central Mosque,Not known,Not known,Not known,http://ashtoncentralmosque.com/index.php/services/tameside-food-bank/,"Hillgate Street, Ashton-under-Lyne",OL6 9JA,53.3941418,-2.2859178
Baguley SureStart Centre,For families with young children,Monday - Friday 8am - 4pm. Please ring.,0161 227 3477 / baguley.sscc@manchester.gov.uk,https://hsm.manchester.gov.uk/kb5/manchester/directory/service.page?id=cym_FYfIik8&directorychannel=1-2-4,"Ackworth Drive, Baguley, Manchester",M23 1LB,53.476896399999994,-2.2380339999999994
Barnabus,Not known,5 days and 5 evenings per week,admin@barnabusmanchester.co.uk,http://www.barnabus-manchester.org.uk/what_we_do.html,"45 Bloom Street, Manchester",M1 3LY,53.4865882,-2.2276444999999994
Boaz Trust,Food parcel or £10/week,Not known,info@boaztrust.org.uk,www.boaztrust.org.uk,"First Floor, 110 Oldham Road, Manchester",M4 6AG,53.4865882,-2.2276444999999994
Booth Centre,Meals only,Food served daily 9am - 1:30pm,admin@boothcentre.org.uk,http://www.boothcentre.org.uk/,"Edward Holt House, Pimblett Street, Manchester",M3 1FU,53.56034520000001,-2.4180017000000005
BRASS Bolton,Not known,Wednesday 10am - 4pm,admin@brass-bolton.org.uk,http://brassbolton.org/index.php/en/,"The Lodge, Green Lane, Bolton",BL3 2HP,53.402462,-2.3088204
Brooklands SureStart Children's Centre,First come first served,Not known,nikki.somerville@barnardos.org.uk,https://hsm.manchester.gov.uk/kb5/manchester/directory/service.page?id=ZvxLzyU_ihk,"Sandilands School, Wendover Road, Brooklands, Manchester",M23 9JX,53.461116399999995,-2.2406566999999993
Caritas Diocese of Salford,Food & drink available,Monday - Friday 10:30am - 4pm,Not known,http://www.cornerstonecds.org.uk/,"104b Denmark Road, Manchester",M15 6JS,53.4977415,-2.2236493
"Lalley Centre, part of Caritas Diocese of Salford","Self referral for food bank (assessment of circumstances will be made)
Referral by agencies for emergency food parcels","Food Bank – Wednesdays 10am – 12 noon
Emergency Food Parcels – most days via phone when staff are available.",lalleycentre@caritassalford.org.uk,http://www.caritassalford.org.uk/community-resource-centres/lalley-community-centre,"Lalley Centre, Basement of St Malachy's RC Primary School, Eggington Street, Collyhurst, Manchester",M40 7RG,53.5478324,-2.1347039999999997
