pharmacy_name,address,postcode,opening_hours_monday,opening_hours_tuesday,opening_hours_wednesday,opening_hours_thursday,opening_hours_friday,opening_hours_saturday,opening_hours_sunday,organisation_data_service_code,health_and_wellbeing_board,ward_code,ward_name,la_code,la_name
Allied Pharmacy Davyhulme Medical Centre,"Davyhulme Medical Centre, 130 Broadway, Davyhulme, Manchester",M41 7WJ,09:00-18:00,09:00-18:00,09:00-18:00,09:00-18:00,09:00-18:00,CLOSED,CLOSED,FKJ04,Trafford,E05015245,Davyhulme,E08000009,Trafford
Alphabet Pharmacy,"226 Derbyshire Lane West, Stretford, Manchester",M32 9LD,09:00-17:00,09:00-17:00,09:00-17:00,09:00-17:00,09:00-17:00,CLOSED,CLOSED,FGE02,Trafford,E05015251,Lostock & Barton,E08000009,Trafford
Asda Pharmacy,"Asda Superstore, Barton Dock Road, Trafford Park, Manchester",M41 7ZA,"09:00-12:30,13:00-16:30,17:00-21:00","09:00-12:30,13:00-16:30,17:00-21:00","09:00-12:30,13:00-16:30,17:00-21:00","09:00-12:30,13:00-16:30,17:00-21:00","09:00-12:30,13:00-16:30,17:00-21:00","09:00-12:30,13:00-16:30,17:00-21:00",10:30-16:30,FK429,Trafford,E05015251,Lostock & Barton,E08000009,Trafford
Barry Bladon,"219 Ashley Road, Hale, Altrincham, Cheshire",WA15 9SZ,09:00-18:00,09:00-18:00,09:00-18:00,09:00-18:00,09:00-18:00,09:00-18:00,CLOSED,FR189,Trafford,E05015248,Hale,E08000009,Trafford
Boots,"2 The Mall, Sale, Cheshire",M33 7XZ,09:00-17:30,09:00-17:30,09:00-17:30,09:00-17:30,09:00-17:30,09:00-17:00,CLOSED,FC707,Trafford,E05015254,Sale Central,E08000009,Trafford
Boots,"Unit 8a, Trafford Retail Park, Urmston, Manchester",M41 7FN,09:30-18:00,09:30-18:00,09:30-18:00,09:30-18:00,09:30-18:00,09:00-18:00,11:00-17:00,FD770,Trafford,E05015245,Davyhulme,E08000009,Trafford
Boots,"Unit 4, Eden Square Shopping Ctr, Urmston, Manchester",M41 0NA,09:00-18:00,09:00-18:00,09:00-18:00,09:00-18:00,09:00-18:00,09:00-17:00,CLOSED,FEX33,Trafford,E05015259,Urmston,E08000009,Trafford
Boots,"10 Peel Avenue, Trafford Centre, Manchester",M17 8BD,10:00-22:00,10:00-22:00,10:00-22:00,10:00-22:00,10:00-22:00,09:30-21:00,12:00-18:00,FHE74,Trafford,E05015251,Lostock & Barton,E08000009,Trafford
Boots,"1 Stamford Quarter, George Street, Altrincham, Cheshire",WA14 1RH,09:30-17:30,09:30-17:30,09:30-17:30,09:30-17:30,09:30-17:30,09:00-17:30,11:00-15:00,FPM98,Trafford,E05015239,Altrincham,E08000009,Trafford
Boots,"Unit 8b, Altrincham Retail Park, George Richards Way, Altrincham, Cheshire",WA14 5GR,09:30-20:00,09:30-20:00,09:30-20:00,09:30-20:00,09:30-20:00,09:30-18:00,11:00-15:00,FTP38,Trafford,E05015242,Broadheath,E08000009,Trafford
