name,type,address,postcode,telephone,website,area_name,area_code,lon,lat
The Foothills,Residential homes,"9 The Foothills, Rochdale",OL16 2AY,7976848608,NA,Rochdale,E0800005,-2.142585,53.624754
Neville House Residential Home,Residential homes,"Neville Street, Chadderton, Oldham",OL9 6LD,1616275874,NA,Oldham,E0800004,-2.13315,53.543922
Higher Tunshill Farm,Residential homes,"Tunshill Lane, Milnrow, Rochdale",OL16 3TS,1706843777,http://www.nestlingscare.com,Rochdale,E0800005,-2.085094,53.614301
House Martins Care Limited Number Two,Residential homes,"2 Rivington Road, Salford",M6 8GQ,1617368057,http://www.housemartinscare.co.uk,Salford,E0800006,-2.311377,53.492934
House Martins Care Limited Number One,Residential homes,"1 Sumner Road, Salford",M6 7QH,1706602404,NA,Salford,E0800006,-2.308515,53.497364
The Grange,Residential homes,"154 Reddish Road, Stockport",SK5 7HZ,1614760702,NA,Stockport,E0800007,-2.153808,53.42651
Bourne House,Residential homes,"12 Taunton Road, Ashton Under Lyne",OL7 9DR,1613307911,NA,Tameside,E0800008,-2.10288,53.493934
Claremont Lodge,Residential homes,"66 Claremont Road, Salford",M6 7GP,1617370864,NA,Salford,E0800006,-2.309772,53.498097
Cherryfield House,Residential homes,"Petersburg Road, Edgeley, Stockport",SK3 9QZ,1614741787,http://www.swanvale.com,Stockport,E0800007,-2.171714,53.396033
Anbridge Care Home,Residential homes,"1 Herbert Street, Oldham",OL4 2QU,1616652232,http://www.anbridgecarehome.co.uk,Oldham,E0800004,-2.083596,53.552391
Thicketford Place,Residential homes,"132 Thicketford Road, Bolton",BL2 2LU,1204392043,NA,Bolton,E0800001,-2.407275,53.58937
The White House,Residential homes,"84 Wythenshawe Road, Northenden, Manchester",M23 0DF,1619987632,NA,Manchester,E0800003,-2.271165,53.408153
Sunnyside Residential Home,Residential homes,"Adelaide Street, Bolton",BL3 3NY,1204653694,http://www.sunnysideresidentialhome.com,Bolton,E0800001,-2.445532,53.564039
Bickham House,Residential homes,"Green Walk, Bowdon, Altrincham",WA14 2SN,1619282514,NA,Trafford,E0800009,-2.371445,53.381196
Lyngate Care Home,Residential homes,"236 Wigan Road, Bolton",BL3 5QE,120462150,NA,Bolton,E0800001,-2.460819,53.568942
Park House Residential Care Home,Residential homes,"77 Queens Road, Oldham",OL8 2BA,1616260802,NA,Oldham,E0800004,-2.100384,53.534689
Charnley House,Residential homes,"Albert Road, Hyde",SK14 1DH,1613684664,http://www.charnleyhouse.co.uk,Tameside,E0800008,-2.082667,53.447452
Cheddle Lodge,Residential homes|Supported living,"29 Ashfield Road, Cheadle, Stockport",SK8 1BB,1614285189,http://www.stockportcp.co.uk,Stockport,E0800007,-2.21303,53.39406
Polebank Hall Residential Care Home,Residential homes,"Stockport Road, Gee Cross, Hyde",SK14 5EZ,1613682171,http://www.polebankhall.co.uk,Tameside,E0800008,-2.081409,53.435633
Order of The Sisters of St Joseph of The Apparition,Nursing homes,"Lady of the Vale Nursing Home, Grange Road, Bowdon, Altrincham",WA14 3HA,1619282567,http://www.ladyofthevale.co.uk,Trafford,E0800009,-2.35257,53.371033
Lime Tree House,Residential homes,"264 Washway Road, Sale",M33 4RZ,1619737956,http://www.limetreehouse.org.uk,Trafford,E0800009,-2.335899,53.416537
The Lakes Care Centre,Nursing homes,"Off Boyds Walk, Dukinfield",SK16 4TX,1613302444,http://www.lakescare.co.uk,Tameside,E0800008,-2.089028,53.472768
Headonhey,Residential homes,"34 Harboro Road, Sale",M33 5AH,1619693527,http://www.stockdales.org.uk,Trafford,E0800009,-2.337812,53.422473
Hayling Road,Residential homes,"34 Hayling Road, Sale",M33 6GW,1619734306,http://www.stockdales.org.uk,Trafford,E0800009,-2.341116,53.425394
Ashton Lane,Residential homes,"47 Ashton Lane, Sale",M33 5PA,1619620978,http://www.stockdales.org.uk,Trafford,E0800009,-2.332693,53.425957
Park Hills Nursing Home,Nursing homes|Homecare agencies,"199 Chamber Road, Coppice, Oldham",OL8 4DJ,1616246671,NA,Oldham,E0800004,-2.125681,53.528275
Abbey Grove Residential Home,Residential homes,"2-4 Abbey Grove, Eccles, Manchester",M30 9QN,1617890425,NA,Salford,E0800006,-2.341489,53.486955
Hope Manor Residential Home,Residential homes,"220 Eccles Old Road, Salford",M6 8AL,1617887121,NA,Salford,E0800006,-2.318633,53.489778
Lynmere Nursing Home,Nursing homes,"278 Buxton Road, Great Moor, Stockport",SK2 7AN,1614562634,NA,Stockport,E0800007,-2.139765,53.389279
The Old Vicarage,Residential homes,"Ivy Bank Road, Bolton",BL1 7EQ,1204594736,http://www.macdonaldcare.co.uk,Bolton,E0800001,-2.433837,53.605959
The Broughtons,Residential homes,"2 Moss Street, Salford",M7 1NF,1617089033,http://www.wellbeingresidential.co.uk,Salford,E0800006,-2.261017,53.497522
Pearce Lodge Care Home,Residential homes,"9 Dorchester Road, Hazel Grove, Stockport",SK7 5HE,1614835442,http://www.togethertrust.org.uk,Stockport,E0800007,-2.140071,53.372578
Abbey Hey Care Home,Residential homes,"Delamere Street, Oldham",OL8 2BY,1616244115,NA,Oldham,E0800004,-2.097844,53.532705
Victoria Nursing Home,Nursing homes,"9 Anson Road, Victoria Park, Manchester",M14 5BY,1612240302,NA,Manchester,E0800003,-2.218728,53.458264
Abbeywood Tottington Limited,Residential homes,"104 Market Street, Tottington, Bury",BL8 3LS,1204882370,http://www.abbeywood-bury.co.uk,Bury,E0800002,-2.339272,53.611199
Barley Brook,Residential homes,"Elmfield Road, Wigan",WN1 2RG,1942497114,NA,Wigan,E08000010,-2.639103,53.56894
Chaffinch Residential Care Home,Residential homes,"36 Chaffinch Drive, Bury",BL9 6JU,1617634579,NA,Bury,E0800002,-2.271451,53.601521
Maybank House,Residential homes,"588 Altrincham Road, Brooklands, Manchester",M23 9JH,1619986566,NA,Manchester,E0800003,-2.304253,53.400982
Abafields Residential Home,Residential homes,"3-9 Bromwich Street, Bolton",BL2 1JF,1204399414,NA,Bolton,E0800001,-2.41735,53.57543
Ashley House Residential Home,Residential homes,"155 Barlow Moor Road, Manchester",M20 2YA,1614453776,NA,Manchester,E0800003,-2.252229,53.423853
Little Heaton Care Home,Residential homes,"81 Walker Street, Middleton, Manchester",M24 4QF,1616554223,NA,Rochdale,E0800005,-2.228462,53.543366
Drakelow House Residential Home,Residential homes,"64 Parsonage Road, Heaton Moor, Stockport",SK4 4JR,1614324033,NA,Stockport,E0800007,-2.181216,53.420297
Wyncourt Nursing Home,Nursing homes,"162 Park Road, Timperley, Altrincham",WA15 6QH,1619621290,http://www.wyncourtnursinghome.co.uk,Trafford,E0800009,-2.331149,53.401593
Fairleigh House,Residential homes,"34 Wellington Road, Whalley Range, Manchester",M16 8EX,1612264550,http://www.citycarepartnership.co.uk,Manchester,E0800003,-2.25576,53.450586
Rivington View Nursing Home,Nursing homes,"Rivington View, Albert Street, Horwich, Bolton",BL6 7AW,1204694325,http://www.rivingtonview.com,Bolton,E0800001,-2.547552,53.601681
"Woodlands Atherton, Dementia Care Home and Services",Residential homes|Homecare agencies,"22 Woodlands Drive, Atherton, Manchester",M46 9HH,1942875054,http://www.woodlandscaregrp.com,Bolton,E0800001,-2.474272,53.533799
Heathside Retirement Home,Residential homes,"74 Barrington Road, Altrincham",WA14 1JB,1619413622,NA,Trafford,E0800009,-2.35098,53.395191
Leighton House Retirement Home Limited,Residential homes,"170-172 Milkstone Road, Deeplish, Rochdale",OL11 1NA,1706352075,NA,Rochdale,E0800005,-2.151044,53.605751
FieldHouse Care Home Limited,Residential homes|Rehabilitation (illness/injury),"Spinners Green, Fieldhouse, Rochdale",OL12 6EJ,1706632555,NA,Rochdale,E0800005,-2.157272,53.630569
