area_code,area_name,geography,period,indicator,household_language,measure,unit,value
E08000001,Bolton,Local authority,2021-03-21,Combination of adults and children within a household that have English as a main language,All adults in household have English as a main language,Count,Households,104196
E08000001,Bolton,Local authority,2021-03-21,Combination of adults and children within a household that have English as a main language,At least one but not all adults in household have English as a main language,Count,Households,6204
E08000001,Bolton,Local authority,2021-03-21,Combination of adults and children within a household that have English as a main language,"No adults in household, but at least one person aged 3 to 15 years has English as a main language",Count,Households,2017
E08000001,Bolton,Local authority,2021-03-21,Combination of adults and children within a household that have English as a main language,No people in household have English as a main language,Count,Households,6373
E08000002,Bury,Local authority,2021-03-21,Combination of adults and children within a household that have English as a main language,All adults in household have English as a main language,Count,Households,74419
E08000002,Bury,Local authority,2021-03-21,Combination of adults and children within a household that have English as a main language,At least one but not all adults in household have English as a main language,Count,Households,2805
E08000002,Bury,Local authority,2021-03-21,Combination of adults and children within a household that have English as a main language,"No adults in household, but at least one person aged 3 to 15 years has English as a main language",Count,Households,816
E08000002,Bury,Local authority,2021-03-21,Combination of adults and children within a household that have English as a main language,No people in household have English as a main language,Count,Households,2654
E08000003,Manchester,Local authority,2021-03-21,Combination of adults and children within a household that have English as a main language,All adults in household have English as a main language,Count,Households,167940
E08000003,Manchester,Local authority,2021-03-21,Combination of adults and children within a household that have English as a main language,At least one but not all adults in household have English as a main language,Count,Households,17459
E08000003,Manchester,Local authority,2021-03-21,Combination of adults and children within a household that have English as a main language,"No adults in household, but at least one person aged 3 to 15 years has English as a main language",Count,Households,6351
E08000003,Manchester,Local authority,2021-03-21,Combination of adults and children within a household that have English as a main language,No people in household have English as a main language,Count,Households,22982
E08000004,Oldham,Local authority,2021-03-21,Combination of adults and children within a household that have English as a main language,All adults in household have English as a main language,Count,Households,80697
E08000004,Oldham,Local authority,2021-03-21,Combination of adults and children within a household that have English as a main language,At least one but not all adults in household have English as a main language,Count,Households,6683
E08000004,Oldham,Local authority,2021-03-21,Combination of adults and children within a household that have English as a main language,"No adults in household, but at least one person aged 3 to 15 years has English as a main language",Count,Households,1554
E08000004,Oldham,Local authority,2021-03-21,Combination of adults and children within a household that have English as a main language,No people in household have English as a main language,Count,Households,4206
E08000005,Rochdale,Local authority,2021-03-21,Combination of adults and children within a household that have English as a main language,All adults in household have English as a main language,Count,Households,79557
E08000005,Rochdale,Local authority,2021-03-21,Combination of adults and children within a household that have English as a main language,At least one but not all adults in household have English as a main language,Count,Households,5140
E08000005,Rochdale,Local authority,2021-03-21,Combination of adults and children within a household that have English as a main language,"No adults in household, but at least one person aged 3 to 15 years has English as a main language",Count,Households,1437
E08000005,Rochdale,Local authority,2021-03-21,Combination of adults and children within a household that have English as a main language,No people in household have English as a main language,Count,Households,4091
E08000006,Salford,Local authority,2021-03-21,Combination of adults and children within a household that have English as a main language,All adults in household have English as a main language,Count,Households,100184
E08000006,Salford,Local authority,2021-03-21,Combination of adults and children within a household that have English as a main language,At least one but not all adults in household have English as a main language,Count,Households,4275
E08000006,Salford,Local authority,2021-03-21,Combination of adults and children within a household that have English as a main language,"No adults in household, but at least one person aged 3 to 15 years has English as a main language",Count,Households,1698
E08000006,Salford,Local authority,2021-03-21,Combination of adults and children within a household that have English as a main language,No people in household have English as a main language,Count,Households,8959
E08000007,Stockport,Local authority,2021-03-21,Combination of adults and children within a household that have English as a main language,All adults in household have English as a main language,Count,Households,119692
E08000007,Stockport,Local authority,2021-03-21,Combination of adults and children within a household that have English as a main language,At least one but not all adults in household have English as a main language,Count,Households,3155
E08000007,Stockport,Local authority,2021-03-21,Combination of adults and children within a household that have English as a main language,"No adults in household, but at least one person aged 3 to 15 years has English as a main language",Count,Households,897
E08000007,Stockport,Local authority,2021-03-21,Combination of adults and children within a household that have English as a main language,No people in household have English as a main language,Count,Households,2904
E08000008,Tameside,Local authority,2021-03-21,Combination of adults and children within a household that have English as a main language,All adults in household have English as a main language,Count,Households,92756
E08000008,Tameside,Local authority,2021-03-21,Combination of adults and children within a household that have English as a main language,At least one but not all adults in household have English as a main language,Count,Households,2851
E08000008,Tameside,Local authority,2021-03-21,Combination of adults and children within a household that have English as a main language,"No adults in household, but at least one person aged 3 to 15 years has English as a main language",Count,Households,900
E08000008,Tameside,Local authority,2021-03-21,Combination of adults and children within a household that have English as a main language,No people in household have English as a main language,Count,Households,3020
E08000009,Trafford,Local authority,2021-03-21,Combination of adults and children within a household that have English as a main language,All adults in household have English as a main language,Count,Households,87666
E08000009,Trafford,Local authority,2021-03-21,Combination of adults and children within a household that have English as a main language,At least one but not all adults in household have English as a main language,Count,Households,3918
E08000009,Trafford,Local authority,2021-03-21,Combination of adults and children within a household that have English as a main language,"No adults in household, but at least one person aged 3 to 15 years has English as a main language",Count,Households,1397
E08000009,Trafford,Local authority,2021-03-21,Combination of adults and children within a household that have English as a main language,No people in household have English as a main language,Count,Households,3287
E08000010,Wigan,Local authority,2021-03-21,Combination of adults and children within a household that have English as a main language,All adults in household have English as a main language,Count,Households,137357
E08000010,Wigan,Local authority,2021-03-21,Combination of adults and children within a household that have English as a main language,At least one but not all adults in household have English as a main language,Count,Households,1744
E08000010,Wigan,Local authority,2021-03-21,Combination of adults and children within a household that have English as a main language,"No adults in household, but at least one person aged 3 to 15 years has English as a main language",Count,Households,834
E08000010,Wigan,Local authority,2021-03-21,Combination of adults and children within a household that have English as a main language,No people in household have English as a main language,Count,Households,3170
