area_code,area_name,geography,period,indicator,general_health,measure,unit,value
E08000001,Bolton,Local authority,2021-03-21,"Estimates that classify usual residents by their own assessment of the general state of their health from very good to very bad. This assessment is not based on a person's health over any specified period of time. Age-standardisation allows for comparisons between populations that may contain proportions of different ages, represented as a percentage.",Very good health,Percentage,Persons,45.5
E08000001,Bolton,Local authority,2021-03-21,"Estimates that classify usual residents by their own assessment of the general state of their health from very good to very bad. This assessment is not based on a person's health over any specified period of time. Age-standardisation allows for comparisons between populations that may contain proportions of different ages, represented as a percentage.",Good health,Percentage,Persons,33.7
E08000001,Bolton,Local authority,2021-03-21,"Estimates that classify usual residents by their own assessment of the general state of their health from very good to very bad. This assessment is not based on a person's health over any specified period of time. Age-standardisation allows for comparisons between populations that may contain proportions of different ages, represented as a percentage.",Fair health,Percentage,Persons,14.1
E08000001,Bolton,Local authority,2021-03-21,"Estimates that classify usual residents by their own assessment of the general state of their health from very good to very bad. This assessment is not based on a person's health over any specified period of time. Age-standardisation allows for comparisons between populations that may contain proportions of different ages, represented as a percentage.",Bad health,Percentage,Persons,5.1
E08000001,Bolton,Local authority,2021-03-21,"Estimates that classify usual residents by their own assessment of the general state of their health from very good to very bad. This assessment is not based on a person's health over any specified period of time. Age-standardisation allows for comparisons between populations that may contain proportions of different ages, represented as a percentage.",Very bad health,Percentage,Persons,1.6
E08000002,Bury,Local authority,2021-03-21,"Estimates that classify usual residents by their own assessment of the general state of their health from very good to very bad. This assessment is not based on a person's health over any specified period of time. Age-standardisation allows for comparisons between populations that may contain proportions of different ages, represented as a percentage.",Very good health,Percentage,Persons,46.9
E08000002,Bury,Local authority,2021-03-21,"Estimates that classify usual residents by their own assessment of the general state of their health from very good to very bad. This assessment is not based on a person's health over any specified period of time. Age-standardisation allows for comparisons between populations that may contain proportions of different ages, represented as a percentage.",Good health,Percentage,Persons,33.6
E08000002,Bury,Local authority,2021-03-21,"Estimates that classify usual residents by their own assessment of the general state of their health from very good to very bad. This assessment is not based on a person's health over any specified period of time. Age-standardisation allows for comparisons between populations that may contain proportions of different ages, represented as a percentage.",Fair health,Percentage,Persons,13.7
E08000002,Bury,Local authority,2021-03-21,"Estimates that classify usual residents by their own assessment of the general state of their health from very good to very bad. This assessment is not based on a person's health over any specified period of time. Age-standardisation allows for comparisons between populations that may contain proportions of different ages, represented as a percentage.",Bad health,Percentage,Persons,4.5
E08000002,Bury,Local authority,2021-03-21,"Estimates that classify usual residents by their own assessment of the general state of their health from very good to very bad. This assessment is not based on a person's health over any specified period of time. Age-standardisation allows for comparisons between populations that may contain proportions of different ages, represented as a percentage.",Very bad health,Percentage,Persons,1.3
E08000003,Manchester,Local authority,2021-03-21,"Estimates that classify usual residents by their own assessment of the general state of their health from very good to very bad. This assessment is not based on a person's health over any specified period of time. Age-standardisation allows for comparisons between populations that may contain proportions of different ages, represented as a percentage.",Very good health,Percentage,Persons,43.2
E08000003,Manchester,Local authority,2021-03-21,"Estimates that classify usual residents by their own assessment of the general state of their health from very good to very bad. This assessment is not based on a person's health over any specified period of time. Age-standardisation allows for comparisons between populations that may contain proportions of different ages, represented as a percentage.",Good health,Percentage,Persons,32.3
E08000003,Manchester,Local authority,2021-03-21,"Estimates that classify usual residents by their own assessment of the general state of their health from very good to very bad. This assessment is not based on a person's health over any specified period of time. Age-standardisation allows for comparisons between populations that may contain proportions of different ages, represented as a percentage.",Fair health,Percentage,Persons,15.8
E08000003,Manchester,Local authority,2021-03-21,"Estimates that classify usual residents by their own assessment of the general state of their health from very good to very bad. This assessment is not based on a person's health over any specified period of time. Age-standardisation allows for comparisons between populations that may contain proportions of different ages, represented as a percentage.",Bad health,Percentage,Persons,6.6
E08000003,Manchester,Local authority,2021-03-21,"Estimates that classify usual residents by their own assessment of the general state of their health from very good to very bad. This assessment is not based on a person's health over any specified period of time. Age-standardisation allows for comparisons between populations that may contain proportions of different ages, represented as a percentage.",Very bad health,Percentage,Persons,2.2
E08000004,Oldham,Local authority,2021-03-21,"Estimates that classify usual residents by their own assessment of the general state of their health from very good to very bad. This assessment is not based on a person's health over any specified period of time. Age-standardisation allows for comparisons between populations that may contain proportions of different ages, represented as a percentage.",Very good health,Percentage,Persons,43.4
E08000004,Oldham,Local authority,2021-03-21,"Estimates that classify usual residents by their own assessment of the general state of their health from very good to very bad. This assessment is not based on a person's health over any specified period of time. Age-standardisation allows for comparisons between populations that may contain proportions of different ages, represented as a percentage.",Good health,Percentage,Persons,34
E08000004,Oldham,Local authority,2021-03-21,"Estimates that classify usual residents by their own assessment of the general state of their health from very good to very bad. This assessment is not based on a person's health over any specified period of time. Age-standardisation allows for comparisons between populations that may contain proportions of different ages, represented as a percentage.",Fair health,Percentage,Persons,15.5
E08000004,Oldham,Local authority,2021-03-21,"Estimates that classify usual residents by their own assessment of the general state of their health from very good to very bad. This assessment is not based on a person's health over any specified period of time. Age-standardisation allows for comparisons between populations that may contain proportions of different ages, represented as a percentage.",Bad health,Percentage,Persons,5.5
E08000004,Oldham,Local authority,2021-03-21,"Estimates that classify usual residents by their own assessment of the general state of their health from very good to very bad. This assessment is not based on a person's health over any specified period of time. Age-standardisation allows for comparisons between populations that may contain proportions of different ages, represented as a percentage.",Very bad health,Percentage,Persons,1.6
E08000005,Rochdale,Local authority,2021-03-21,"Estimates that classify usual residents by their own assessment of the general state of their health from very good to very bad. This assessment is not based on a person's health over any specified period of time. Age-standardisation allows for comparisons between populations that may contain proportions of different ages, represented as a percentage.",Very good health,Percentage,Persons,44.1
E08000005,Rochdale,Local authority,2021-03-21,"Estimates that classify usual residents by their own assessment of the general state of their health from very good to very bad. This assessment is not based on a person's health over any specified period of time. Age-standardisation allows for comparisons between populations that may contain proportions of different ages, represented as a percentage.",Good health,Percentage,Persons,33.8
E08000005,Rochdale,Local authority,2021-03-21,"Estimates that classify usual residents by their own assessment of the general state of their health from very good to very bad. This assessment is not based on a person's health over any specified period of time. Age-standardisation allows for comparisons between populations that may contain proportions of different ages, represented as a percentage.",Fair health,Percentage,Persons,15
E08000005,Rochdale,Local authority,2021-03-21,"Estimates that classify usual residents by their own assessment of the general state of their health from very good to very bad. This assessment is not based on a person's health over any specified period of time. Age-standardisation allows for comparisons between populations that may contain proportions of different ages, represented as a percentage.",Bad health,Percentage,Persons,5.5
E08000005,Rochdale,Local authority,2021-03-21,"Estimates that classify usual residents by their own assessment of the general state of their health from very good to very bad. This assessment is not based on a person's health over any specified period of time. Age-standardisation allows for comparisons between populations that may contain proportions of different ages, represented as a percentage.",Very bad health,Percentage,Persons,1.5
E08000006,Salford,Local authority,2021-03-21,"Estimates that classify usual residents by their own assessment of the general state of their health from very good to very bad. This assessment is not based on a person's health over any specified period of time. Age-standardisation allows for comparisons between populations that may contain proportions of different ages, represented as a percentage.",Very good health,Percentage,Persons,45.1
E08000006,Salford,Local authority,2021-03-21,"Estimates that classify usual residents by their own assessment of the general state of their health from very good to very bad. This assessment is not based on a person's health over any specified period of time. Age-standardisation allows for comparisons between populations that may contain proportions of different ages, represented as a percentage.",Good health,Percentage,Persons,32.9
E08000006,Salford,Local authority,2021-03-21,"Estimates that classify usual residents by their own assessment of the general state of their health from very good to very bad. This assessment is not based on a person's health over any specified period of time. Age-standardisation allows for comparisons between populations that may contain proportions of different ages, represented as a percentage.",Fair health,Percentage,Persons,14.6
E08000006,Salford,Local authority,2021-03-21,"Estimates that classify usual residents by their own assessment of the general state of their health from very good to very bad. This assessment is not based on a person's health over any specified period of time. Age-standardisation allows for comparisons between populations that may contain proportions of different ages, represented as a percentage.",Bad health,Percentage,Persons,5.7
E08000006,Salford,Local authority,2021-03-21,"Estimates that classify usual residents by their own assessment of the general state of their health from very good to very bad. This assessment is not based on a person's health over any specified period of time. Age-standardisation allows for comparisons between populations that may contain proportions of different ages, represented as a percentage.",Very bad health,Percentage,Persons,1.7
E08000007,Stockport,Local authority,2021-03-21,"Estimates that classify usual residents by their own assessment of the general state of their health from very good to very bad. This assessment is not based on a person's health over any specified period of time. Age-standardisation allows for comparisons between populations that may contain proportions of different ages, represented as a percentage.",Very good health,Percentage,Persons,49.3
E08000007,Stockport,Local authority,2021-03-21,"Estimates that classify usual residents by their own assessment of the general state of their health from very good to very bad. This assessment is not based on a person's health over any specified period of time. Age-standardisation allows for comparisons between populations that may contain proportions of different ages, represented as a percentage.",Good health,Percentage,Persons,32.9
E08000007,Stockport,Local authority,2021-03-21,"Estimates that classify usual residents by their own assessment of the general state of their health from very good to very bad. This assessment is not based on a person's health over any specified period of time. Age-standardisation allows for comparisons between populations that may contain proportions of different ages, represented as a percentage.",Fair health,Percentage,Persons,12.5
E08000007,Stockport,Local authority,2021-03-21,"Estimates that classify usual residents by their own assessment of the general state of their health from very good to very bad. This assessment is not based on a person's health over any specified period of time. Age-standardisation allows for comparisons between populations that may contain proportions of different ages, represented as a percentage.",Bad health,Percentage,Persons,4
E08000007,Stockport,Local authority,2021-03-21,"Estimates that classify usual residents by their own assessment of the general state of their health from very good to very bad. This assessment is not based on a person's health over any specified period of time. Age-standardisation allows for comparisons between populations that may contain proportions of different ages, represented as a percentage.",Very bad health,Percentage,Persons,1.2
E08000008,Tameside,Local authority,2021-03-21,"Estimates that classify usual residents by their own assessment of the general state of their health from very good to very bad. This assessment is not based on a person's health over any specified period of time. Age-standardisation allows for comparisons between populations that may contain proportions of different ages, represented as a percentage.",Very good health,Percentage,Persons,43.8
E08000008,Tameside,Local authority,2021-03-21,"Estimates that classify usual residents by their own assessment of the general state of their health from very good to very bad. This assessment is not based on a person's health over any specified period of time. Age-standardisation allows for comparisons between populations that may contain proportions of different ages, represented as a percentage.",Good health,Percentage,Persons,34.2
E08000008,Tameside,Local authority,2021-03-21,"Estimates that classify usual residents by their own assessment of the general state of their health from very good to very bad. This assessment is not based on a person's health over any specified period of time. Age-standardisation allows for comparisons between populations that may contain proportions of different ages, represented as a percentage.",Fair health,Percentage,Persons,15.1
E08000008,Tameside,Local authority,2021-03-21,"Estimates that classify usual residents by their own assessment of the general state of their health from very good to very bad. This assessment is not based on a person's health over any specified period of time. Age-standardisation allows for comparisons between populations that may contain proportions of different ages, represented as a percentage.",Bad health,Percentage,Persons,5.4
E08000008,Tameside,Local authority,2021-03-21,"Estimates that classify usual residents by their own assessment of the general state of their health from very good to very bad. This assessment is not based on a person's health over any specified period of time. Age-standardisation allows for comparisons between populations that may contain proportions of different ages, represented as a percentage.",Very bad health,Percentage,Persons,1.6
E08000009,Trafford,Local authority,2021-03-21,"Estimates that classify usual residents by their own assessment of the general state of their health from very good to very bad. This assessment is not based on a person's health over any specified period of time. Age-standardisation allows for comparisons between populations that may contain proportions of different ages, represented as a percentage.",Very good health,Percentage,Persons,51.5
E08000009,Trafford,Local authority,2021-03-21,"Estimates that classify usual residents by their own assessment of the general state of their health from very good to very bad. This assessment is not based on a person's health over any specified period of time. Age-standardisation allows for comparisons between populations that may contain proportions of different ages, represented as a percentage.",Good health,Percentage,Persons,31.8
E08000009,Trafford,Local authority,2021-03-21,"Estimates that classify usual residents by their own assessment of the general state of their health from very good to very bad. This assessment is not based on a person's health over any specified period of time. Age-standardisation allows for comparisons between populations that may contain proportions of different ages, represented as a percentage.",Fair health,Percentage,Persons,11.8
E08000009,Trafford,Local authority,2021-03-21,"Estimates that classify usual residents by their own assessment of the general state of their health from very good to very bad. This assessment is not based on a person's health over any specified period of time. Age-standardisation allows for comparisons between populations that may contain proportions of different ages, represented as a percentage.",Bad health,Percentage,Persons,3.7
E08000009,Trafford,Local authority,2021-03-21,"Estimates that classify usual residents by their own assessment of the general state of their health from very good to very bad. This assessment is not based on a person's health over any specified period of time. Age-standardisation allows for comparisons between populations that may contain proportions of different ages, represented as a percentage.",Very bad health,Percentage,Persons,1.1
E08000010,Wigan,Local authority,2021-03-21,"Estimates that classify usual residents by their own assessment of the general state of their health from very good to very bad. This assessment is not based on a person's health over any specified period of time. Age-standardisation allows for comparisons between populations that may contain proportions of different ages, represented as a percentage.",Very good health,Percentage,Persons,45.9
E08000010,Wigan,Local authority,2021-03-21,"Estimates that classify usual residents by their own assessment of the general state of their health from very good to very bad. This assessment is not based on a person's health over any specified period of time. Age-standardisation allows for comparisons between populations that may contain proportions of different ages, represented as a percentage.",Good health,Percentage,Persons,33.6
E08000010,Wigan,Local authority,2021-03-21,"Estimates that classify usual residents by their own assessment of the general state of their health from very good to very bad. This assessment is not based on a person's health over any specified period of time. Age-standardisation allows for comparisons between populations that may contain proportions of different ages, represented as a percentage.",Fair health,Percentage,Persons,14.2
E08000010,Wigan,Local authority,2021-03-21,"Estimates that classify usual residents by their own assessment of the general state of their health from very good to very bad. This assessment is not based on a person's health over any specified period of time. Age-standardisation allows for comparisons between populations that may contain proportions of different ages, represented as a percentage.",Bad health,Percentage,Persons,4.9
E08000010,Wigan,Local authority,2021-03-21,"Estimates that classify usual residents by their own assessment of the general state of their health from very good to very bad. This assessment is not based on a person's health over any specified period of time. Age-standardisation allows for comparisons between populations that may contain proportions of different ages, represented as a percentage.",Very bad health,Percentage,Persons,1.4
