area_code,area_name,geography,period,indicator,unpaid_care,measure,unit,value
E08000001,Bolton,Local authority,2021-03-21,"Estimates that classify usual residents by the number of hours of unpaid care they provide. Age-standardisation allows for comparisons between populations that may contain proportions of different ages, represented as a percentage.",Provides no unpaid care,Percentage,Persons,90.2
E08000001,Bolton,Local authority,2021-03-21,"Estimates that classify usual residents by the number of hours of unpaid care they provide. Age-standardisation allows for comparisons between populations that may contain proportions of different ages, represented as a percentage.",Provides 19 or less hours unpaid care a week,Percentage,Persons,4.3
E08000001,Bolton,Local authority,2021-03-21,"Estimates that classify usual residents by the number of hours of unpaid care they provide. Age-standardisation allows for comparisons between populations that may contain proportions of different ages, represented as a percentage.",Provides 20 to 49 hours unpaid care a week,Percentage,Persons,2.2
E08000001,Bolton,Local authority,2021-03-21,"Estimates that classify usual residents by the number of hours of unpaid care they provide. Age-standardisation allows for comparisons between populations that may contain proportions of different ages, represented as a percentage.",Provides 50 or more hours unpaid care a week,Percentage,Persons,3.3
E08000002,Bury,Local authority,2021-03-21,"Estimates that classify usual residents by the number of hours of unpaid care they provide. Age-standardisation allows for comparisons between populations that may contain proportions of different ages, represented as a percentage.",Provides no unpaid care,Percentage,Persons,90.6
E08000002,Bury,Local authority,2021-03-21,"Estimates that classify usual residents by the number of hours of unpaid care they provide. Age-standardisation allows for comparisons between populations that may contain proportions of different ages, represented as a percentage.",Provides 19 or less hours unpaid care a week,Percentage,Persons,4.5
E08000002,Bury,Local authority,2021-03-21,"Estimates that classify usual residents by the number of hours of unpaid care they provide. Age-standardisation allows for comparisons between populations that may contain proportions of different ages, represented as a percentage.",Provides 20 to 49 hours unpaid care a week,Percentage,Persons,2
E08000002,Bury,Local authority,2021-03-21,"Estimates that classify usual residents by the number of hours of unpaid care they provide. Age-standardisation allows for comparisons between populations that may contain proportions of different ages, represented as a percentage.",Provides 50 or more hours unpaid care a week,Percentage,Persons,2.9
E08000003,Manchester,Local authority,2021-03-21,"Estimates that classify usual residents by the number of hours of unpaid care they provide. Age-standardisation allows for comparisons between populations that may contain proportions of different ages, represented as a percentage.",Provides no unpaid care,Percentage,Persons,91.3
E08000003,Manchester,Local authority,2021-03-21,"Estimates that classify usual residents by the number of hours of unpaid care they provide. Age-standardisation allows for comparisons between populations that may contain proportions of different ages, represented as a percentage.",Provides 19 or less hours unpaid care a week,Percentage,Persons,3.4
E08000003,Manchester,Local authority,2021-03-21,"Estimates that classify usual residents by the number of hours of unpaid care they provide. Age-standardisation allows for comparisons between populations that may contain proportions of different ages, represented as a percentage.",Provides 20 to 49 hours unpaid care a week,Percentage,Persons,2.2
E08000003,Manchester,Local authority,2021-03-21,"Estimates that classify usual residents by the number of hours of unpaid care they provide. Age-standardisation allows for comparisons between populations that may contain proportions of different ages, represented as a percentage.",Provides 50 or more hours unpaid care a week,Percentage,Persons,3.1
E08000004,Oldham,Local authority,2021-03-21,"Estimates that classify usual residents by the number of hours of unpaid care they provide. Age-standardisation allows for comparisons between populations that may contain proportions of different ages, represented as a percentage.",Provides no unpaid care,Percentage,Persons,90.2
E08000004,Oldham,Local authority,2021-03-21,"Estimates that classify usual residents by the number of hours of unpaid care they provide. Age-standardisation allows for comparisons between populations that may contain proportions of different ages, represented as a percentage.",Provides 19 or less hours unpaid care a week,Percentage,Persons,4.1
E08000004,Oldham,Local authority,2021-03-21,"Estimates that classify usual residents by the number of hours of unpaid care they provide. Age-standardisation allows for comparisons between populations that may contain proportions of different ages, represented as a percentage.",Provides 20 to 49 hours unpaid care a week,Percentage,Persons,2.4
E08000004,Oldham,Local authority,2021-03-21,"Estimates that classify usual residents by the number of hours of unpaid care they provide. Age-standardisation allows for comparisons between populations that may contain proportions of different ages, represented as a percentage.",Provides 50 or more hours unpaid care a week,Percentage,Persons,3.3
E08000005,Rochdale,Local authority,2021-03-21,"Estimates that classify usual residents by the number of hours of unpaid care they provide. Age-standardisation allows for comparisons between populations that may contain proportions of different ages, represented as a percentage.",Provides no unpaid care,Percentage,Persons,90.3
E08000005,Rochdale,Local authority,2021-03-21,"Estimates that classify usual residents by the number of hours of unpaid care they provide. Age-standardisation allows for comparisons between populations that may contain proportions of different ages, represented as a percentage.",Provides 19 or less hours unpaid care a week,Percentage,Persons,4.1
E08000005,Rochdale,Local authority,2021-03-21,"Estimates that classify usual residents by the number of hours of unpaid care they provide. Age-standardisation allows for comparisons between populations that may contain proportions of different ages, represented as a percentage.",Provides 20 to 49 hours unpaid care a week,Percentage,Persons,2.3
E08000005,Rochdale,Local authority,2021-03-21,"Estimates that classify usual residents by the number of hours of unpaid care they provide. Age-standardisation allows for comparisons between populations that may contain proportions of different ages, represented as a percentage.",Provides 50 or more hours unpaid care a week,Percentage,Persons,3.3
E08000006,Salford,Local authority,2021-03-21,"Estimates that classify usual residents by the number of hours of unpaid care they provide. Age-standardisation allows for comparisons between populations that may contain proportions of different ages, represented as a percentage.",Provides no unpaid care,Percentage,Persons,90.8
E08000006,Salford,Local authority,2021-03-21,"Estimates that classify usual residents by the number of hours of unpaid care they provide. Age-standardisation allows for comparisons between populations that may contain proportions of different ages, represented as a percentage.",Provides 19 or less hours unpaid care a week,Percentage,Persons,3.8
