area_code,area_name,geography,period,indicator,general_health,measure,unit,value
E05000819,Altrincham,Electoral ward,2021-03-21,Estimates that classify usual residents by their own assessment of the general state of their health from very good to very bad. This assessment is not based on a person's health over any specified period of time.,Very good health,Count,Persons,7484
E05000819,Altrincham,Electoral ward,2021-03-21,Estimates that classify usual residents by their own assessment of the general state of their health from very good to very bad. This assessment is not based on a person's health over any specified period of time.,Good health,Count,Persons,3897
E05000819,Altrincham,Electoral ward,2021-03-21,Estimates that classify usual residents by their own assessment of the general state of their health from very good to very bad. This assessment is not based on a person's health over any specified period of time.,Fair health,Count,Persons,1142
E05000819,Altrincham,Electoral ward,2021-03-21,Estimates that classify usual residents by their own assessment of the general state of their health from very good to very bad. This assessment is not based on a person's health over any specified period of time.,Bad health,Count,Persons,318
E05000819,Altrincham,Electoral ward,2021-03-21,Estimates that classify usual residents by their own assessment of the general state of their health from very good to very bad. This assessment is not based on a person's health over any specified period of time.,Very bad health,Count,Persons,90
E05000820,Ashton upon Mersey,Electoral ward,2021-03-21,Estimates that classify usual residents by their own assessment of the general state of their health from very good to very bad. This assessment is not based on a person's health over any specified period of time.,Very good health,Count,Persons,5736
E05000820,Ashton upon Mersey,Electoral ward,2021-03-21,Estimates that classify usual residents by their own assessment of the general state of their health from very good to very bad. This assessment is not based on a person's health over any specified period of time.,Good health,Count,Persons,3076
E05000820,Ashton upon Mersey,Electoral ward,2021-03-21,Estimates that classify usual residents by their own assessment of the general state of their health from very good to very bad. This assessment is not based on a person's health over any specified period of time.,Fair health,Count,Persons,1075
E05000820,Ashton upon Mersey,Electoral ward,2021-03-21,Estimates that classify usual residents by their own assessment of the general state of their health from very good to very bad. This assessment is not based on a person's health over any specified period of time.,Bad health,Count,Persons,358
E05000820,Ashton upon Mersey,Electoral ward,2021-03-21,Estimates that classify usual residents by their own assessment of the general state of their health from very good to very bad. This assessment is not based on a person's health over any specified period of time.,Very bad health,Count,Persons,102
E05000821,Bowdon,Electoral ward,2021-03-21,Estimates that classify usual residents by their own assessment of the general state of their health from very good to very bad. This assessment is not based on a person's health over any specified period of time.,Very good health,Count,Persons,5250
E05000821,Bowdon,Electoral ward,2021-03-21,Estimates that classify usual residents by their own assessment of the general state of their health from very good to very bad. This assessment is not based on a person's health over any specified period of time.,Good health,Count,Persons,2603
E05000821,Bowdon,Electoral ward,2021-03-21,Estimates that classify usual residents by their own assessment of the general state of their health from very good to very bad. This assessment is not based on a person's health over any specified period of time.,Fair health,Count,Persons,934
E05000821,Bowdon,Electoral ward,2021-03-21,Estimates that classify usual residents by their own assessment of the general state of their health from very good to very bad. This assessment is not based on a person's health over any specified period of time.,Bad health,Count,Persons,276
E05000821,Bowdon,Electoral ward,2021-03-21,Estimates that classify usual residents by their own assessment of the general state of their health from very good to very bad. This assessment is not based on a person's health over any specified period of time.,Very bad health,Count,Persons,70
E05000822,Broadheath,Electoral ward,2021-03-21,Estimates that classify usual residents by their own assessment of the general state of their health from very good to very bad. This assessment is not based on a person's health over any specified period of time.,Very good health,Count,Persons,8115
