area_code,area_name,geography,period,indicator,disabled_household_members,measure,unit,value
E01006109,Trafford 001A,Lower-layer Super Output Area,2021-03-21,The number of people in a household who assessed their day-to-day activities as limited by long-term physical or mental health conditions or illnesses and are considered disabled. This definition of a disabled person meets the harmonised standard for measuring disability and is in line with the Equality Act (2010).,No people disabled under the Equality Act in household,Count,Households,339
E01006109,Trafford 001A,Lower-layer Super Output Area,2021-03-21,The number of people in a household who assessed their day-to-day activities as limited by long-term physical or mental health conditions or illnesses and are considered disabled. This definition of a disabled person meets the harmonised standard for measuring disability and is in line with the Equality Act (2010).,1 person disabled under the Equality Act in household,Count,Households,169
E01006109,Trafford 001A,Lower-layer Super Output Area,2021-03-21,The number of people in a household who assessed their day-to-day activities as limited by long-term physical or mental health conditions or illnesses and are considered disabled. This definition of a disabled person meets the harmonised standard for measuring disability and is in line with the Equality Act (2010).,2 or more people disabled under the Equality Act in household,Count,Households,22
E01006110,Trafford 001B,Lower-layer Super Output Area,2021-03-21,The number of people in a household who assessed their day-to-day activities as limited by long-term physical or mental health conditions or illnesses and are considered disabled. This definition of a disabled person meets the harmonised standard for measuring disability and is in line with the Equality Act (2010).,No people disabled under the Equality Act in household,Count,Households,425
E01006110,Trafford 001B,Lower-layer Super Output Area,2021-03-21,The number of people in a household who assessed their day-to-day activities as limited by long-term physical or mental health conditions or illnesses and are considered disabled. This definition of a disabled person meets the harmonised standard for measuring disability and is in line with the Equality Act (2010).,1 person disabled under the Equality Act in household,Count,Households,178
E01006110,Trafford 001B,Lower-layer Super Output Area,2021-03-21,The number of people in a household who assessed their day-to-day activities as limited by long-term physical or mental health conditions or illnesses and are considered disabled. This definition of a disabled person meets the harmonised standard for measuring disability and is in line with the Equality Act (2010).,2 or more people disabled under the Equality Act in household,Count,Households,54
E01006111,Trafford 001C,Lower-layer Super Output Area,2021-03-21,The number of people in a household who assessed their day-to-day activities as limited by long-term physical or mental health conditions or illnesses and are considered disabled. This definition of a disabled person meets the harmonised standard for measuring disability and is in line with the Equality Act (2010).,No people disabled under the Equality Act in household,Count,Households,346
E01006111,Trafford 001C,Lower-layer Super Output Area,2021-03-21,The number of people in a household who assessed their day-to-day activities as limited by long-term physical or mental health conditions or illnesses and are considered disabled. This definition of a disabled person meets the harmonised standard for measuring disability and is in line with the Equality Act (2010).,1 person disabled under the Equality Act in household,Count,Households,157
E01006111,Trafford 001C,Lower-layer Super Output Area,2021-03-21,The number of people in a household who assessed their day-to-day activities as limited by long-term physical or mental health conditions or illnesses and are considered disabled. This definition of a disabled person meets the harmonised standard for measuring disability and is in line with the Equality Act (2010).,2 or more people disabled under the Equality Act in household,Count,Households,52
E01006112,Trafford 001D,Lower-layer Super Output Area,2021-03-21,The number of people in a household who assessed their day-to-day activities as limited by long-term physical or mental health conditions or illnesses and are considered disabled. This definition of a disabled person meets the harmonised standard for measuring disability and is in line with the Equality Act (2010).,No people disabled under the Equality Act in household,Count,Households,398
E01006112,Trafford 001D,Lower-layer Super Output Area,2021-03-21,The number of people in a household who assessed their day-to-day activities as limited by long-term physical or mental health conditions or illnesses and are considered disabled. This definition of a disabled person meets the harmonised standard for measuring disability and is in line with the Equality Act (2010).,1 person disabled under the Equality Act in household,Count,Households,230
E01006112,Trafford 001D,Lower-layer Super Output Area,2021-03-21,The number of people in a household who assessed their day-to-day activities as limited by long-term physical or mental health conditions or illnesses and are considered disabled. This definition of a disabled person meets the harmonised standard for measuring disability and is in line with the Equality Act (2010).,2 or more people disabled under the Equality Act in household,Count,Households,73
E01006188,Trafford 001F,Lower-layer Super Output Area,2021-03-21,The number of people in a household who assessed their day-to-day activities as limited by long-term physical or mental health conditions or illnesses and are considered disabled. This definition of a disabled person meets the harmonised standard for measuring disability and is in line with the Equality Act (2010).,No people disabled under the Equality Act in household,Count,Households,568
E01006188,Trafford 001F,Lower-layer Super Output Area,2021-03-21,The number of people in a household who assessed their day-to-day activities as limited by long-term physical or mental health conditions or illnesses and are considered disabled. This definition of a disabled person meets the harmonised standard for measuring disability and is in line with the Equality Act (2010).,1 person disabled under the Equality Act in household,Count,Households,179
E01006188,Trafford 001F,Lower-layer Super Output Area,2021-03-21,The number of people in a household who assessed their day-to-day activities as limited by long-term physical or mental health conditions or illnesses and are considered disabled. This definition of a disabled person meets the harmonised standard for measuring disability and is in line with the Equality Act (2010).,2 or more people disabled under the Equality Act in household,Count,Households,39
E01034000,Trafford 001G,Lower-layer Super Output Area,2021-03-21,The number of people in a household who assessed their day-to-day activities as limited by long-term physical or mental health conditions or illnesses and are considered disabled. This definition of a disabled person meets the harmonised standard for measuring disability and is in line with the Equality Act (2010).,No people disabled under the Equality Act in household,Count,Households,597
E01034000,Trafford 001G,Lower-layer Super Output Area,2021-03-21,The number of people in a household who assessed their day-to-day activities as limited by long-term physical or mental health conditions or illnesses and are considered disabled. This definition of a disabled person meets the harmonised standard for measuring disability and is in line with the Equality Act (2010).,1 person disabled under the Equality Act in household,Count,Households,138
E01034000,Trafford 001G,Lower-layer Super Output Area,2021-03-21,The number of people in a household who assessed their day-to-day activities as limited by long-term physical or mental health conditions or illnesses and are considered disabled. This definition of a disabled person meets the harmonised standard for measuring disability and is in line with the Equality Act (2010).,2 or more people disabled under the Equality Act in household,Count,Households,17
E01034001,Trafford 001H,Lower-layer Super Output Area,2021-03-21,The number of people in a household who assessed their day-to-day activities as limited by long-term physical or mental health conditions or illnesses and are considered disabled. This definition of a disabled person meets the harmonised standard for measuring disability and is in line with the Equality Act (2010).,No people disabled under the Equality Act in household,Count,Households,534
E01034001,Trafford 001H,Lower-layer Super Output Area,2021-03-21,The number of people in a household who assessed their day-to-day activities as limited by long-term physical or mental health conditions or illnesses and are considered disabled. This definition of a disabled person meets the harmonised standard for measuring disability and is in line with the Equality Act (2010).,1 person disabled under the Equality Act in household,Count,Households,209
E01034001,Trafford 001H,Lower-layer Super Output Area,2021-03-21,The number of people in a household who assessed their day-to-day activities as limited by long-term physical or mental health conditions or illnesses and are considered disabled. This definition of a disabled person meets the harmonised standard for measuring disability and is in line with the Equality Act (2010).,2 or more people disabled under the Equality Act in household,Count,Households,36
E01006116,Trafford 002A,Lower-layer Super Output Area,2021-03-21,The number of people in a household who assessed their day-to-day activities as limited by long-term physical or mental health conditions or illnesses and are considered disabled. This definition of a disabled person meets the harmonised standard for measuring disability and is in line with the Equality Act (2010).,No people disabled under the Equality Act in household,Count,Households,380
E01006116,Trafford 002A,Lower-layer Super Output Area,2021-03-21,The number of people in a household who assessed their day-to-day activities as limited by long-term physical or mental health conditions or illnesses and are considered disabled. This definition of a disabled person meets the harmonised standard for measuring disability and is in line with the Equality Act (2010).,1 person disabled under the Equality Act in household,Count,Households,125
E01006116,Trafford 002A,Lower-layer Super Output Area,2021-03-21,The number of people in a household who assessed their day-to-day activities as limited by long-term physical or mental health conditions or illnesses and are considered disabled. This definition of a disabled person meets the harmonised standard for measuring disability and is in line with the Equality Act (2010).,2 or more people disabled under the Equality Act in household,Count,Households,32
