area_code,area_name,geography,period,indicator,disabled_household_members,measure,unit,value
E05000819,Altrincham,Electoral ward,2021-03-21,The number of people in a household who assessed their day-to-day activities as limited by long-term physical or mental health conditions or illnesses and are considered disabled. This definition of a disabled person meets the harmonised standard for measuring disability and is in line with the Equality Act (2010).,No people disabled under the Equality Act in household,Count,Households,4272
E05000819,Altrincham,Electoral ward,2021-03-21,The number of people in a household who assessed their day-to-day activities as limited by long-term physical or mental health conditions or illnesses and are considered disabled. This definition of a disabled person meets the harmonised standard for measuring disability and is in line with the Equality Act (2010).,1 person disabled under the Equality Act in household,Count,Households,1124
E05000819,Altrincham,Electoral ward,2021-03-21,The number of people in a household who assessed their day-to-day activities as limited by long-term physical or mental health conditions or illnesses and are considered disabled. This definition of a disabled person meets the harmonised standard for measuring disability and is in line with the Equality Act (2010).,2 or more people disabled under the Equality Act in household,Count,Households,212
E05000820,Ashton upon Mersey,Electoral ward,2021-03-21,The number of people in a household who assessed their day-to-day activities as limited by long-term physical or mental health conditions or illnesses and are considered disabled. This definition of a disabled person meets the harmonised standard for measuring disability and is in line with the Equality Act (2010).,No people disabled under the Equality Act in household,Count,Households,3124
E05000820,Ashton upon Mersey,Electoral ward,2021-03-21,The number of people in a household who assessed their day-to-day activities as limited by long-term physical or mental health conditions or illnesses and are considered disabled. This definition of a disabled person meets the harmonised standard for measuring disability and is in line with the Equality Act (2010).,1 person disabled under the Equality Act in household,Count,Households,1001
E05000820,Ashton upon Mersey,Electoral ward,2021-03-21,The number of people in a household who assessed their day-to-day activities as limited by long-term physical or mental health conditions or illnesses and are considered disabled. This definition of a disabled person meets the harmonised standard for measuring disability and is in line with the Equality Act (2010).,2 or more people disabled under the Equality Act in household,Count,Households,203
E05000821,Bowdon,Electoral ward,2021-03-21,The number of people in a household who assessed their day-to-day activities as limited by long-term physical or mental health conditions or illnesses and are considered disabled. This definition of a disabled person meets the harmonised standard for measuring disability and is in line with the Equality Act (2010).,No people disabled under the Equality Act in household,Count,Households,2743
E05000821,Bowdon,Electoral ward,2021-03-21,The number of people in a household who assessed their day-to-day activities as limited by long-term physical or mental health conditions or illnesses and are considered disabled. This definition of a disabled person meets the harmonised standard for measuring disability and is in line with the Equality Act (2010).,1 person disabled under the Equality Act in household,Count,Households,815
E05000821,Bowdon,Electoral ward,2021-03-21,The number of people in a household who assessed their day-to-day activities as limited by long-term physical or mental health conditions or illnesses and are considered disabled. This definition of a disabled person meets the harmonised standard for measuring disability and is in line with the Equality Act (2010).,2 or more people disabled under the Equality Act in household,Count,Households,178
E05000822,Broadheath,Electoral ward,2021-03-21,The number of people in a household who assessed their day-to-day activities as limited by long-term physical or mental health conditions or illnesses and are considered disabled. This definition of a disabled person meets the harmonised standard for measuring disability and is in line with the Equality Act (2010).,No people disabled under the Equality Act in household,Count,Households,4166
E05000822,Broadheath,Electoral ward,2021-03-21,The number of people in a household who assessed their day-to-day activities as limited by long-term physical or mental health conditions or illnesses and are considered disabled. This definition of a disabled person meets the harmonised standard for measuring disability and is in line with the Equality Act (2010).,1 person disabled under the Equality Act in household,Count,Households,1120
E05000822,Broadheath,Electoral ward,2021-03-21,The number of people in a household who assessed their day-to-day activities as limited by long-term physical or mental health conditions or illnesses and are considered disabled. This definition of a disabled person meets the harmonised standard for measuring disability and is in line with the Equality Act (2010).,2 or more people disabled under the Equality Act in household,Count,Households,286
E05000823,Brooklands,Electoral ward,2021-03-21,The number of people in a household who assessed their day-to-day activities as limited by long-term physical or mental health conditions or illnesses and are considered disabled. This definition of a disabled person meets the harmonised standard for measuring disability and is in line with the Equality Act (2010).,No people disabled under the Equality Act in household,Count,Households,3110
E05000823,Brooklands,Electoral ward,2021-03-21,The number of people in a household who assessed their day-to-day activities as limited by long-term physical or mental health conditions or illnesses and are considered disabled. This definition of a disabled person meets the harmonised standard for measuring disability and is in line with the Equality Act (2010).,1 person disabled under the Equality Act in household,Count,Households,880
E05000823,Brooklands,Electoral ward,2021-03-21,The number of people in a household who assessed their day-to-day activities as limited by long-term physical or mental health conditions or illnesses and are considered disabled. This definition of a disabled person meets the harmonised standard for measuring disability and is in line with the Equality Act (2010).,2 or more people disabled under the Equality Act in household,Count,Households,213
E05000824,Bucklow-St Martins,Electoral ward,2021-03-21,The number of people in a household who assessed their day-to-day activities as limited by long-term physical or mental health conditions or illnesses and are considered disabled. This definition of a disabled person meets the harmonised standard for measuring disability and is in line with the Equality Act (2010).,No people disabled under the Equality Act in household,Count,Households,2394
