area_code,area_name,category,year,quarter,effective_date,vehicle_count
E08000009,Trafford,All licensed ultra low emission vehicles (ULEV),2021,2,2021-06-30,1358
E08000009,Trafford,All licensed ultra low emission vehicles (ULEV),2021,1,2021-03-31,1169
E08000009,Trafford,All licensed ultra low emission vehicles (ULEV),2020,4,2020-12-31,1042
E08000009,Trafford,All licensed ultra low emission vehicles (ULEV),2020,3,2020-09-30,895
E08000009,Trafford,All licensed ultra low emission vehicles (ULEV),2020,2,2020-06-30,771
E08000009,Trafford,All licensed ultra low emission vehicles (ULEV),2020,1,2020-03-31,754
E08000009,Trafford,All licensed ultra low emission vehicles (ULEV),2019,4,2019-12-31,684
E08000009,Trafford,All licensed ultra low emission vehicles (ULEV),2019,3,2019-09-30,630
E08000009,Trafford,All licensed ultra low emission vehicles (ULEV),2019,2,2019-06-30,549
E08000009,Trafford,All licensed ultra low emission vehicles (ULEV),2019,1,2019-03-31,510
E08000009,Trafford,All licensed ultra low emission vehicles (ULEV),2018,4,2018-12-31,476
E08000009,Trafford,All licensed ultra low emission vehicles (ULEV),2018,3,2018-09-30,458
E08000009,Trafford,All licensed ultra low emission vehicles (ULEV),2018,2,2018-06-30,412
E08000009,Trafford,All licensed ultra low emission vehicles (ULEV),2018,1,2018-03-31,368
E08000009,Trafford,All licensed ultra low emission vehicles (ULEV),2017,4,2017-12-31,341
E08000009,Trafford,All licensed ultra low emission vehicles (ULEV),2017,3,2017-09-30,319
E08000009,Trafford,All licensed ultra low emission vehicles (ULEV),2017,2,2017-06-30,282
E08000009,Trafford,All licensed ultra low emission vehicles (ULEV),2017,1,2017-03-31,255
E08000009,Trafford,All licensed ultra low emission vehicles (ULEV),2016,4,2016-12-31,218
E08000009,Trafford,All licensed ultra low emission vehicles (ULEV),2016,3,2016-09-30,202
E08000009,Trafford,All licensed ultra low emission vehicles (ULEV),2016,2,2016-06-30,221
E08000009,Trafford,All licensed ultra low emission vehicles (ULEV),2016,1,2016-03-31,196
E08000009,Trafford,All licensed ultra low emission vehicles (ULEV),2015,4,2015-12-31,159
E08000009,Trafford,All licensed ultra low emission vehicles (ULEV),2015,3,2015-09-30,133
E08000009,Trafford,All licensed ultra low emission vehicles (ULEV),2015,2,2015-06-30,112
E08000009,Trafford,All licensed ultra low emission vehicles (ULEV),2015,1,2015-03-31,88
E08000009,Trafford,All licensed ultra low emission vehicles (ULEV),2014,4,2014-12-31,69
E08000009,Trafford,All licensed ultra low emission vehicles (ULEV),2014,3,2014-09-30,52
E08000009,Trafford,All licensed ultra low emission vehicles (ULEV),2014,2,2014-06-30,47
E08000009,Trafford,All licensed ultra low emission vehicles (ULEV),2014,1,2014-03-31,42
E08000009,Trafford,All licensed ultra low emission vehicles (ULEV),2013,4,2013-12-31,36
