area_code,area_name,category,year,quarter,effective_date,vehicle_count
E08000001,Bolton,All licensed ultra low emission vehicles (ULEV),2021,2,2021-06-30,925
E08000001,Bolton,All licensed ultra low emission vehicles (ULEV),2021,1,2021-03-31,787
E08000001,Bolton,All licensed ultra low emission vehicles (ULEV),2020,4,2020-12-31,705
E08000001,Bolton,All licensed ultra low emission vehicles (ULEV),2020,3,2020-09-30,631
E08000001,Bolton,All licensed ultra low emission vehicles (ULEV),2020,2,2020-06-30,517
E08000001,Bolton,All licensed ultra low emission vehicles (ULEV),2020,1,2020-03-31,484
E08000001,Bolton,All licensed ultra low emission vehicles (ULEV),2019,4,2019-12-31,429
E08000001,Bolton,All licensed ultra low emission vehicles (ULEV),2019,3,2019-09-30,387
E08000001,Bolton,All licensed ultra low emission vehicles (ULEV),2019,2,2019-06-30,362
E08000001,Bolton,All licensed ultra low emission vehicles (ULEV),2019,1,2019-03-31,342
E08000001,Bolton,All licensed ultra low emission vehicles (ULEV),2018,4,2018-12-31,317
E08000001,Bolton,All licensed ultra low emission vehicles (ULEV),2018,3,2018-09-30,299
E08000001,Bolton,All licensed ultra low emission vehicles (ULEV),2018,2,2018-06-30,286
E08000001,Bolton,All licensed ultra low emission vehicles (ULEV),2018,1,2018-03-31,272
E08000001,Bolton,All licensed ultra low emission vehicles (ULEV),2017,4,2017-12-31,230
E08000001,Bolton,All licensed ultra low emission vehicles (ULEV),2017,3,2017-09-30,216
E08000001,Bolton,All licensed ultra low emission vehicles (ULEV),2017,2,2017-06-30,201
E08000001,Bolton,All licensed ultra low emission vehicles (ULEV),2017,1,2017-03-31,196
E08000001,Bolton,All licensed ultra low emission vehicles (ULEV),2016,4,2016-12-31,167
E08000001,Bolton,All licensed ultra low emission vehicles (ULEV),2016,3,2016-09-30,149
E08000001,Bolton,All licensed ultra low emission vehicles (ULEV),2016,2,2016-06-30,138
E08000001,Bolton,All licensed ultra low emission vehicles (ULEV),2016,1,2016-03-31,131
E08000001,Bolton,All licensed ultra low emission vehicles (ULEV),2015,4,2015-12-31,108
E08000001,Bolton,All licensed ultra low emission vehicles (ULEV),2015,3,2015-09-30,86
E08000001,Bolton,All licensed ultra low emission vehicles (ULEV),2015,2,2015-06-30,70
E08000001,Bolton,All licensed ultra low emission vehicles (ULEV),2015,1,2015-03-31,57
E08000001,Bolton,All licensed ultra low emission vehicles (ULEV),2014,4,2014-12-31,49
E08000001,Bolton,All licensed ultra low emission vehicles (ULEV),2014,3,2014-09-30,46
E08000001,Bolton,All licensed ultra low emission vehicles (ULEV),2014,2,2014-06-30,40
E08000001,Bolton,All licensed ultra low emission vehicles (ULEV),2014,1,2014-03-31,32
E08000001,Bolton,All licensed ultra low emission vehicles (ULEV),2013,4,2013-12-31,28
E08000001,Bolton,All licensed ultra low emission vehicles (ULEV),2013,3,2013-09-30,26
E08000001,Bolton,All licensed ultra low emission vehicles (ULEV),2013,2,2013-06-30,22
E08000001,Bolton,All licensed ultra low emission vehicles (ULEV),2013,1,2013-03-31,16
E08000001,Bolton,All licensed ultra low emission vehicles (ULEV),2012,4,2012-12-31,13
E08000001,Bolton,All licensed ultra low emission vehicles (ULEV),2012,3,2012-09-30,14
E08000001,Bolton,All licensed ultra low emission vehicles (ULEV),2012,2,2012-06-30,13
E08000001,Bolton,All licensed ultra low emission vehicles (ULEV),2012,1,2012-03-31,10
E08000001,Bolton,All licensed ultra low emission vehicles (ULEV),2011,4,2011-12-31,13
E08000002,Bury,All licensed ultra low emission vehicles (ULEV),2021,2,2021-06-30,1150
E08000002,Bury,All licensed ultra low emission vehicles (ULEV),2021,1,2021-03-31,969
E08000002,Bury,All licensed ultra low emission vehicles (ULEV),2020,4,2020-12-31,793
E08000002,Bury,All licensed ultra low emission vehicles (ULEV),2020,3,2020-09-30,614
E08000002,Bury,All licensed ultra low emission vehicles (ULEV),2020,2,2020-06-30,475
E08000002,Bury,All licensed ultra low emission vehicles (ULEV),2020,1,2020-03-31,485
E08000002,Bury,All licensed ultra low emission vehicles (ULEV),2019,4,2019-12-31,436
E08000002,Bury,All licensed ultra low emission vehicles (ULEV),2019,3,2019-09-30,415
E08000002,Bury,All licensed ultra low emission vehicles (ULEV),2019,2,2019-06-30,360
E08000002,Bury,All licensed ultra low emission vehicles (ULEV),2019,1,2019-03-31,331
E08000002,Bury,All licensed ultra low emission vehicles (ULEV),2018,4,2018-12-31,299
E08000002,Bury,All licensed ultra low emission vehicles (ULEV),2018,3,2018-09-30,257
E08000002,Bury,All licensed ultra low emission vehicles (ULEV),2018,2,2018-06-30,238
E08000002,Bury,All licensed ultra low emission vehicles (ULEV),2018,1,2018-03-31,277
E08000002,Bury,All licensed ultra low emission vehicles (ULEV),2017,4,2017-12-31,369
E08000002,Bury,All licensed ultra low emission vehicles (ULEV),2017,3,2017-09-30,344
E08000002,Bury,All licensed ultra low emission vehicles (ULEV),2017,2,2017-06-30,269
