name,type,address,postcode,telephone,website,area_name,area_code,lon,lat
Smile Creator Dental Surgery,Dentist,"332-334 Norris Road, Sale",M33 2UG,1619699907,NA,Trafford,E0800009,-2.2994,53.414594
Poppies Dental Care,Dentist,"24 Urmston Lane, Stretford, Manchester",M32 9BP,1618651633,NA,Trafford,E0800009,-2.315487,53.445617
Revive Dental Care - Circle OOH,Dentist,"10 Davyhulme Circle, Urmston, Manchester",M41 0SS,1617469029,http://www.revivedentalcare.co.uk,Trafford,E0800009,-2.356522,53.457445
Crescent Dental Care,Dentist,"2 Crescent Road, Hale, Altrincham",WA15 9NA,1619298111,http://www.crescentdentalcare-hale.co.uk,Trafford,E0800009,-2.343866,53.374573
Ash Villa Dental Practice,Dentist,"2 Harboro Way, Sale",M33 6QX,1619736890,http://www.ashvilladental.com,Trafford,E0800009,-2.3339,53.420586
Calm Dental Care,Dentist,"132c Flixton Road, Urmston, Manchester",M41 5BG,1617476841,http://www.calmdentalcare.co.uk,Trafford,E0800009,-2.362664,53.448267
Lotus Orthodontics,Dentist,"12a Market Street, Altrincham",WA14 1QB,NA,http://www.lotusorthodontics.com,Trafford,E0800009,-2.351254,53.388420000000004
Circle Dental,Dentist,"16a The Circle, Barton Road, Stretford, Manchester",M32 9TR,1617482605,http://www.circledental.com,Trafford,E0800009,-2.336501,53.456569
Simkins Dental Care,Dentist,"7 Lostock Road, Davyhulme, Manchester",M41 0SU,1617483378,NA,Trafford,E0800009,-2.35454,53.458028
Hale Family Dental Centre,Dentist,"1a Cambridge Road, Hale, Altrincham",WA15 9SY,1619281380,http://www.halefamilydental.co.uk,Trafford,E0800009,-2.342935,53.376518
Gary Knowles Dental Practice,Dentist,"Partington Health Centre, Central Road, Partington, Manchester",M31 4FL,1617759053,NA,Trafford,E0800009,-2.425053,53.417437
The Square Advanced Dental Care,Dentist,"2 Hollins House, 327 Hale Road, Hale Barns, Altrincham",WA15 8TS,7921040842,http://www.thesquaredental.com,Trafford,E0800009,-2.312745,53.369473
Grays Dental Care,Dentist,"62 Manchester Road, Altrincham",WA14 4PJ,1619281813,http://www.graysdental.co.uk,Trafford,E0800009,-2.35188,53.394981
Mr C Carre BDS Dental Practice,Dentist,"Upper Unit 43, Stretford Mall, Manchester",M32 9BB,1618652431,NA,Trafford,E0800009,-2.310817,53.445206
KS Dental Sale Manchester,Dentist,"331 Washway Road, Sale",M33 4EE,1619732753,NA,Trafford,E0800009,-2.337966,53.413385
Dental Practice - Manchester Road,Dentist,"63 Manchester Road, Altrincham",WA14 4RH,1619282886,NA,Trafford,E0800009,-2.352566,53.396022
Greenwood Dental Practice,Dentist,"16 Greenwood Street, Altrincham",WA14 1RZ,1612330610,http://www.greenwooddental.co.uk,Trafford,E0800009,-2.352158,53.38672
The Dental Treatment Centre,Dentist,"436 Flixton Road, Flixton, Manchester",M41 6QT,1617482490,http://www.clickdentist.co.uk,Trafford,E0800009,-2.384388,53.44448
Regent Dental Centre,Dentist,"22 Regent Road, Altrincham",WA14 1RP,1619412143,http://www.regentdentalcentre.co.uk,Trafford,E0800009,-2.352258,53.386045
"Bupa - Stockport Road, Timperley",Dentist,"415 Stockport Road, Timperley, Altrincham",WA15 7XR,1619808010,NA,Trafford,E0800009,-2.315515,53.398597
"Bupa - Washway Road, Sale",Dentist,"23 Washway Road, Sale",M33 7AD,1619695513,http://www.haddonlodgedental.co.uk,Trafford,E0800009,-2.325507,53.424941
Firswood Dental Practice,Dentist,"90-92 Warwick Road South, Firswood, Manchester",M16 0HU,NA,NA,Trafford,E0800009,-2.281641,53.452335
Sale Moor Dental Practice,Dentist,"15 Marsland Road, Sale",M33 3HP,1619629990,NA,Trafford,E0800009,-2.304805,53.41929
Green Lane Dental Practice,Dentist,"46 Green Lane, Ashton-on-Mersey, Sale",M33 5PP,1619733802,NA,Trafford,E0800009,-2.341857,53.429643
Butterfly Dental Care Limited - Altrincham,Dentist,"17 Barrington Road, Altrincham",WA14 1HP,1619412048,NA,Trafford,E0800009,-2.348577,53.391872
Ellesmere Dental Practice,Dentist,"70 Ellesmere Road, Altrincham",WA14 1JD,1619291009,NA,Trafford,E0800009,-2.349202,53.394746
Manchester Dental,Dentist,"154 Flixton Road, Urmston, Manchester",M41 5BG,1617482674,http://www.manchesterdental.co.uk,Trafford,E0800009,-2.362664,53.448267
"Bupa - Northenden Road, Sale Moor",Dentist,"116 Northenden Road, Sale",M33 3HD,1619736356,http://www.salemoordentist.co.uk,Trafford,E0800009,-2.306545,53.420551
DCO Dental Group - Sale,Dentist,"1 Hope Road, Sale",M33 3AB,1619627465,http://www.dcodental.co.uk,Trafford,E0800009,-2.319176,53.423511
DCO Dental Group - Timperley,Dentist,"The Lakes Medical Centre, 53C Mainwood Road, Timperley, Altrincham",WA15 7JW,1619806745,http://www.dcodental.co.uk,Trafford,E0800009,-2.312943,53.392375
Ayres Road Dental Surgery,Dentist,"151 Ayres Road, Old Trafford, Manchester",M16 9WR,1618721695,NA,Trafford,E0800009,-2.271872,53.457679
Ellesmere Endodontic Centre,Dentist,"70 Ellesmere Road, Altrincham",WA14 1JD,1619269535,NA,Trafford,E0800009,-2.349202,53.394746
Delahays Dental Practice,Dentist,"2 Delahays Drive, Hale, Altrincham",WA15 8DP,1619805019,NA,Trafford,E0800009,-2.323197,53.376312
Sale Dental Care,Dentist,"77 Washway Road, Sale",M33 7TQ,1619697432,http://www.saledentalspa.co.uk,Trafford,E0800009,-2.329303,53.42158
Hale Bowden Dental Practice,Dentist,"118 Ashley Road, Hale, Altrincham",WA14 2UN,NA,NA,Trafford,E0800009,-2.349039,53.378531
Turret Orthodontics Practice,Dentist,"258 Washway road, Sale",M33 4RZ,1619733501,NA,Trafford,E0800009,-2.335899,53.416537
Barrington Dental Care,Dentist,"23A Barrington Road, Altrincham",WA14 1HP,NA,NA,Trafford,E0800009,-2.348577,53.391872
KS Dental,Dentist,"55 Flixton Road, Urmston, Manchester",M41 5AN,1617484473,NA,Trafford,E0800009,-2.358598,53.44803
Kissdental Flixton,Dentist,"157 Woodsend Road, Flixton, Manchester",M41 8GN,1617485250,http://www.kissdental.co.uk,Trafford,E0800009,-2.393504,53.455039
Kissdental Altrincham,Dentist,"2 New Street, Altrincham",WA14 2QS,1619281628,http://www.kissdental.co.uk,Trafford,E0800009,-2.354115,53.385292
Timperley Village Dental Practice,Dentist,"273 Stockport Road, Timperley, Altrincham",WA15 7SP,1619803485,NA,Trafford,E0800009,-2.323207,53.395555
Manor Dental Practice,Dentist,"216 Washway Road, Sale",M33 4RA,1619733501,NA,Trafford,E0800009,-2.332836,53.419231
Claremont Dental Surgery,Dentist,"11 Claremont Road, Sale",M33 7DZ,1619690434,NA,Trafford,E0800009,-2.321359,53.425646
The Dental Team,Dentist,"858 Chester Road, Stretford, Manchester",M32 0QJ,7969333461,NA,Trafford,E0800009,-2.297611,53.455685
Brooklands Dental Surgery,Dentist,"203 Marsland Road, Sale",M33 3ND,1619620066,NA,Trafford,E0800009,-2.320468,53.417325
