area_code,area_name,geography,period,indicator,reference_person_veteran_status,measure,unit,value
E02001259,Trafford 001,Middle-layer Super Output Area,2021-03-21,Classifying households in England and Wales by whether or not the Household Reference Person has previously served in the UK armed forces.,Household reference person previously served in regular UK armed forces,Count,Households,56
E02001259,Trafford 001,Middle-layer Super Output Area,2021-03-21,Classifying households in England and Wales by whether or not the Household Reference Person has previously served in the UK armed forces.,Household reference person previously served in reserve UK armed forces,Count,Households,31
E02001259,Trafford 001,Middle-layer Super Output Area,2021-03-21,Classifying households in England and Wales by whether or not the Household Reference Person has previously served in the UK armed forces.,Household reference person previously served in both regular and reserve UK armed forces,Count,Households,5
E02001259,Trafford 001,Middle-layer Super Output Area,2021-03-21,Classifying households in England and Wales by whether or not the Household Reference Person has previously served in the UK armed forces.,Household reference person has not previously served in regular or reserve UK armed forces,Count,Households,4671
E02001260,Trafford 002,Middle-layer Super Output Area,2021-03-21,Classifying households in England and Wales by whether or not the Household Reference Person has previously served in the UK armed forces.,Household reference person previously served in regular UK armed forces,Count,Households,126
E02001260,Trafford 002,Middle-layer Super Output Area,2021-03-21,Classifying households in England and Wales by whether or not the Household Reference Person has previously served in the UK armed forces.,Household reference person previously served in reserve UK armed forces,Count,Households,42
E02001260,Trafford 002,Middle-layer Super Output Area,2021-03-21,Classifying households in England and Wales by whether or not the Household Reference Person has previously served in the UK armed forces.,Household reference person previously served in both regular and reserve UK armed forces,Count,Households,3
E02001260,Trafford 002,Middle-layer Super Output Area,2021-03-21,Classifying households in England and Wales by whether or not the Household Reference Person has previously served in the UK armed forces.,Household reference person has not previously served in regular or reserve UK armed forces,Count,Households,2903
E02001261,Trafford 003,Middle-layer Super Output Area,2021-03-21,Classifying households in England and Wales by whether or not the Household Reference Person has previously served in the UK armed forces.,Household reference person previously served in regular UK armed forces,Count,Households,77
E02001261,Trafford 003,Middle-layer Super Output Area,2021-03-21,Classifying households in England and Wales by whether or not the Household Reference Person has previously served in the UK armed forces.,Household reference person previously served in reserve UK armed forces,Count,Households,34
E02001261,Trafford 003,Middle-layer Super Output Area,2021-03-21,Classifying households in England and Wales by whether or not the Household Reference Person has previously served in the UK armed forces.,Household reference person previously served in both regular and reserve UK armed forces,Count,Households,2
E02001261,Trafford 003,Middle-layer Super Output Area,2021-03-21,Classifying households in England and Wales by whether or not the Household Reference Person has previously served in the UK armed forces.,Household reference person has not previously served in regular or reserve UK armed forces,Count,Households,3552
E02001262,Trafford 004,Middle-layer Super Output Area,2021-03-21,Classifying households in England and Wales by whether or not the Household Reference Person has previously served in the UK armed forces.,Household reference person previously served in regular UK armed forces,Count,Households,60
E02001262,Trafford 004,Middle-layer Super Output Area,2021-03-21,Classifying households in England and Wales by whether or not the Household Reference Person has previously served in the UK armed forces.,Household reference person previously served in reserve UK armed forces,Count,Households,22
E02001262,Trafford 004,Middle-layer Super Output Area,2021-03-21,Classifying households in England and Wales by whether or not the Household Reference Person has previously served in the UK armed forces.,Household reference person previously served in both regular and reserve UK armed forces,Count,Households,3
E02001262,Trafford 004,Middle-layer Super Output Area,2021-03-21,Classifying households in England and Wales by whether or not the Household Reference Person has previously served in the UK armed forces.,Household reference person has not previously served in regular or reserve UK armed forces,Count,Households,2999
E02001263,Trafford 005,Middle-layer Super Output Area,2021-03-21,Classifying households in England and Wales by whether or not the Household Reference Person has previously served in the UK armed forces.,Household reference person previously served in regular UK armed forces,Count,Households,145
E02001263,Trafford 005,Middle-layer Super Output Area,2021-03-21,Classifying households in England and Wales by whether or not the Household Reference Person has previously served in the UK armed forces.,Household reference person previously served in reserve UK armed forces,Count,Households,44
E02001263,Trafford 005,Middle-layer Super Output Area,2021-03-21,Classifying households in England and Wales by whether or not the Household Reference Person has previously served in the UK armed forces.,Household reference person previously served in both regular and reserve UK armed forces,Count,Households,5
E02001263,Trafford 005,Middle-layer Super Output Area,2021-03-21,Classifying households in England and Wales by whether or not the Household Reference Person has previously served in the UK armed forces.,Household reference person has not previously served in regular or reserve UK armed forces,Count,Households,3216
E02001264,Trafford 006,Middle-layer Super Output Area,2021-03-21,Classifying households in England and Wales by whether or not the Household Reference Person has previously served in the UK armed forces.,Household reference person previously served in regular UK armed forces,Count,Households,78
E02001264,Trafford 006,Middle-layer Super Output Area,2021-03-21,Classifying households in England and Wales by whether or not the Household Reference Person has previously served in the UK armed forces.,Household reference person previously served in reserve UK armed forces,Count,Households,20
E02001264,Trafford 006,Middle-layer Super Output Area,2021-03-21,Classifying households in England and Wales by whether or not the Household Reference Person has previously served in the UK armed forces.,Household reference person previously served in both regular and reserve UK armed forces,Count,Households,1
E02001264,Trafford 006,Middle-layer Super Output Area,2021-03-21,Classifying households in England and Wales by whether or not the Household Reference Person has previously served in the UK armed forces.,Household reference person has not previously served in regular or reserve UK armed forces,Count,Households,3201
E02001265,Trafford 007,Middle-layer Super Output Area,2021-03-21,Classifying households in England and Wales by whether or not the Household Reference Person has previously served in the UK armed forces.,Household reference person previously served in regular UK armed forces,Count,Households,126
E02001265,Trafford 007,Middle-layer Super Output Area,2021-03-21,Classifying households in England and Wales by whether or not the Household Reference Person has previously served in the UK armed forces.,Household reference person previously served in reserve UK armed forces,Count,Households,33
E02001265,Trafford 007,Middle-layer Super Output Area,2021-03-21,Classifying households in England and Wales by whether or not the Household Reference Person has previously served in the UK armed forces.,Household reference person previously served in both regular and reserve UK armed forces,Count,Households,12
E02001265,Trafford 007,Middle-layer Super Output Area,2021-03-21,Classifying households in England and Wales by whether or not the Household Reference Person has previously served in the UK armed forces.,Household reference person has not previously served in regular or reserve UK armed forces,Count,Households,3218
E02001266,Trafford 008,Middle-layer Super Output Area,2021-03-21,Classifying households in England and Wales by whether or not the Household Reference Person has previously served in the UK armed forces.,Household reference person previously served in regular UK armed forces,Count,Households,91
E02001266,Trafford 008,Middle-layer Super Output Area,2021-03-21,Classifying households in England and Wales by whether or not the Household Reference Person has previously served in the UK armed forces.,Household reference person previously served in reserve UK armed forces,Count,Households,28
E02001266,Trafford 008,Middle-layer Super Output Area,2021-03-21,Classifying households in England and Wales by whether or not the Household Reference Person has previously served in the UK armed forces.,Household reference person previously served in both regular and reserve UK armed forces,Count,Households,5
E02001266,Trafford 008,Middle-layer Super Output Area,2021-03-21,Classifying households in England and Wales by whether or not the Household Reference Person has previously served in the UK armed forces.,Household reference person has not previously served in regular or reserve UK armed forces,Count,Households,2970
E02001267,Trafford 009,Middle-layer Super Output Area,2021-03-21,Classifying households in England and Wales by whether or not the Household Reference Person has previously served in the UK armed forces.,Household reference person previously served in regular UK armed forces,Count,Households,118
E02001267,Trafford 009,Middle-layer Super Output Area,2021-03-21,Classifying households in England and Wales by whether or not the Household Reference Person has previously served in the UK armed forces.,Household reference person previously served in reserve UK armed forces,Count,Households,37
E02001267,Trafford 009,Middle-layer Super Output Area,2021-03-21,Classifying households in England and Wales by whether or not the Household Reference Person has previously served in the UK armed forces.,Household reference person previously served in both regular and reserve UK armed forces,Count,Households,9
E02001267,Trafford 009,Middle-layer Super Output Area,2021-03-21,Classifying households in England and Wales by whether or not the Household Reference Person has previously served in the UK armed forces.,Household reference person has not previously served in regular or reserve UK armed forces,Count,Households,3227
E02001268,Trafford 010,Middle-layer Super Output Area,2021-03-21,Classifying households in England and Wales by whether or not the Household Reference Person has previously served in the UK armed forces.,Household reference person previously served in regular UK armed forces,Count,Households,115
E02001268,Trafford 010,Middle-layer Super Output Area,2021-03-21,Classifying households in England and Wales by whether or not the Household Reference Person has previously served in the UK armed forces.,Household reference person previously served in reserve UK armed forces,Count,Households,24
E02001268,Trafford 010,Middle-layer Super Output Area,2021-03-21,Classifying households in England and Wales by whether or not the Household Reference Person has previously served in the UK armed forces.,Household reference person previously served in both regular and reserve UK armed forces,Count,Households,4
E02001268,Trafford 010,Middle-layer Super Output Area,2021-03-21,Classifying households in England and Wales by whether or not the Household Reference Person has previously served in the UK armed forces.,Household reference person has not previously served in regular or reserve UK armed forces,Count,Households,2814
E02001269,Trafford 011,Middle-layer Super Output Area,2021-03-21,Classifying households in England and Wales by whether or not the Household Reference Person has previously served in the UK armed forces.,Household reference person previously served in regular UK armed forces,Count,Households,89
E02001269,Trafford 011,Middle-layer Super Output Area,2021-03-21,Classifying households in England and Wales by whether or not the Household Reference Person has previously served in the UK armed forces.,Household reference person previously served in reserve UK armed forces,Count,Households,28
E02001269,Trafford 011,Middle-layer Super Output Area,2021-03-21,Classifying households in England and Wales by whether or not the Household Reference Person has previously served in the UK armed forces.,Household reference person previously served in both regular and reserve UK armed forces,Count,Households,2
E02001269,Trafford 011,Middle-layer Super Output Area,2021-03-21,Classifying households in England and Wales by whether or not the Household Reference Person has previously served in the UK armed forces.,Household reference person has not previously served in regular or reserve UK armed forces,Count,Households,3457
E02001270,Trafford 012,Middle-layer Super Output Area,2021-03-21,Classifying households in England and Wales by whether or not the Household Reference Person has previously served in the UK armed forces.,Household reference person previously served in regular UK armed forces,Count,Households,112
E02001270,Trafford 012,Middle-layer Super Output Area,2021-03-21,Classifying households in England and Wales by whether or not the Household Reference Person has previously served in the UK armed forces.,Household reference person previously served in reserve UK armed forces,Count,Households,34
E02001270,Trafford 012,Middle-layer Super Output Area,2021-03-21,Classifying households in England and Wales by whether or not the Household Reference Person has previously served in the UK armed forces.,Household reference person previously served in both regular and reserve UK armed forces,Count,Households,7
E02001270,Trafford 012,Middle-layer Super Output Area,2021-03-21,Classifying households in England and Wales by whether or not the Household Reference Person has previously served in the UK armed forces.,Household reference person has not previously served in regular or reserve UK armed forces,Count,Households,3500
E02001271,Trafford 013,Middle-layer Super Output Area,2021-03-21,Classifying households in England and Wales by whether or not the Household Reference Person has previously served in the UK armed forces.,Household reference person previously served in regular UK armed forces,Count,Households,99
E02001271,Trafford 013,Middle-layer Super Output Area,2021-03-21,Classifying households in England and Wales by whether or not the Household Reference Person has previously served in the UK armed forces.,Household reference person previously served in reserve UK armed forces,Count,Households,25
E02001271,Trafford 013,Middle-layer Super Output Area,2021-03-21,Classifying households in England and Wales by whether or not the Household Reference Person has previously served in the UK armed forces.,Household reference person previously served in both regular and reserve UK armed forces,Count,Households,0
E02001271,Trafford 013,Middle-layer Super Output Area,2021-03-21,Classifying households in England and Wales by whether or not the Household Reference Person has previously served in the UK armed forces.,Household reference person has not previously served in regular or reserve UK armed forces,Count,Households,2663
E02001272,Trafford 014,Middle-layer Super Output Area,2021-03-21,Classifying households in England and Wales by whether or not the Household Reference Person has previously served in the UK armed forces.,Household reference person previously served in regular UK armed forces,Count,Households,112
E02001272,Trafford 014,Middle-layer Super Output Area,2021-03-21,Classifying households in England and Wales by whether or not the Household Reference Person has previously served in the UK armed forces.,Household reference person previously served in reserve UK armed forces,Count,Households,38
E02001272,Trafford 014,Middle-layer Super Output Area,2021-03-21,Classifying households in England and Wales by whether or not the Household Reference Person has previously served in the UK armed forces.,Household reference person previously served in both regular and reserve UK armed forces,Count,Households,7
E02001272,Trafford 014,Middle-layer Super Output Area,2021-03-21,Classifying households in England and Wales by whether or not the Household Reference Person has previously served in the UK armed forces.,Household reference person has not previously served in regular or reserve UK armed forces,Count,Households,3211
E02001273,Trafford 015,Middle-layer Super Output Area,2021-03-21,Classifying households in England and Wales by whether or not the Household Reference Person has previously served in the UK armed forces.,Household reference person previously served in regular UK armed forces,Count,Households,124
E02001273,Trafford 015,Middle-layer Super Output Area,2021-03-21,Classifying households in England and Wales by whether or not the Household Reference Person has previously served in the UK armed forces.,Household reference person previously served in reserve UK armed forces,Count,Households,50
E02001273,Trafford 015,Middle-layer Super Output Area,2021-03-21,Classifying households in England and Wales by whether or not the Household Reference Person has previously served in the UK armed forces.,Household reference person previously served in both regular and reserve UK armed forces,Count,Households,4
E02001273,Trafford 015,Middle-layer Super Output Area,2021-03-21,Classifying households in England and Wales by whether or not the Household Reference Person has previously served in the UK armed forces.,Household reference person has not previously served in regular or reserve UK armed forces,Count,Households,4172
E02001274,Trafford 016,Middle-layer Super Output Area,2021-03-21,Classifying households in England and Wales by whether or not the Household Reference Person has previously served in the UK armed forces.,Household reference person previously served in regular UK armed forces,Count,Households,109
E02001274,Trafford 016,Middle-layer Super Output Area,2021-03-21,Classifying households in England and Wales by whether or not the Household Reference Person has previously served in the UK armed forces.,Household reference person previously served in reserve UK armed forces,Count,Households,41
E02001274,Trafford 016,Middle-layer Super Output Area,2021-03-21,Classifying households in England and Wales by whether or not the Household Reference Person has previously served in the UK armed forces.,Household reference person previously served in both regular and reserve UK armed forces,Count,Households,4
E02001274,Trafford 016,Middle-layer Super Output Area,2021-03-21,Classifying households in England and Wales by whether or not the Household Reference Person has previously served in the UK armed forces.,Household reference person has not previously served in regular or reserve UK armed forces,Count,Households,2990
E02001275,Trafford 017,Middle-layer Super Output Area,2021-03-21,Classifying households in England and Wales by whether or not the Household Reference Person has previously served in the UK armed forces.,Household reference person previously served in regular UK armed forces,Count,Households,138
E02001275,Trafford 017,Middle-layer Super Output Area,2021-03-21,Classifying households in England and Wales by whether or not the Household Reference Person has previously served in the UK armed forces.,Household reference person previously served in reserve UK armed forces,Count,Households,35
E02001275,Trafford 017,Middle-layer Super Output Area,2021-03-21,Classifying households in England and Wales by whether or not the Household Reference Person has previously served in the UK armed forces.,Household reference person previously served in both regular and reserve UK armed forces,Count,Households,11
