area_code,area_name,geography,period,indicator,residence_type,measure,unit,value
E05000819,Altrincham,Electoral ward,2021-03-21,Usual residents in England and Wales who have previously served in the UK armed forces by whether they reside in communal establishments and in households.,Lives in a household,Count,Persons,258
E05000819,Altrincham,Electoral ward,2021-03-21,Usual residents in England and Wales who have previously served in the UK armed forces by whether they reside in communal establishments and in households.,Lives in a communal establishment,Count,Persons,0
E05000820,Ashton upon Mersey,Electoral ward,2021-03-21,Usual residents in England and Wales who have previously served in the UK armed forces by whether they reside in communal establishments and in households.,Lives in a household,Count,Persons,244
E05000820,Ashton upon Mersey,Electoral ward,2021-03-21,Usual residents in England and Wales who have previously served in the UK armed forces by whether they reside in communal establishments and in households.,Lives in a communal establishment,Count,Persons,11
E05000821,Bowdon,Electoral ward,2021-03-21,Usual residents in England and Wales who have previously served in the UK armed forces by whether they reside in communal establishments and in households.,Lives in a household,Count,Persons,227
E05000821,Bowdon,Electoral ward,2021-03-21,Usual residents in England and Wales who have previously served in the UK armed forces by whether they reside in communal establishments and in households.,Lives in a communal establishment,Count,Persons,12
E05000822,Broadheath,Electoral ward,2021-03-21,Usual residents in England and Wales who have previously served in the UK armed forces by whether they reside in communal establishments and in households.,Lives in a household,Count,Persons,278
E05000822,Broadheath,Electoral ward,2021-03-21,Usual residents in England and Wales who have previously served in the UK armed forces by whether they reside in communal establishments and in households.,Lives in a communal establishment,Count,Persons,8
E05000823,Brooklands,Electoral ward,2021-03-21,Usual residents in England and Wales who have previously served in the UK armed forces by whether they reside in communal establishments and in households.,Lives in a household,Count,Persons,260
E05000823,Brooklands,Electoral ward,2021-03-21,Usual residents in England and Wales who have previously served in the UK armed forces by whether they reside in communal establishments and in households.,Lives in a communal establishment,Count,Persons,6
E05000824,Bucklow-St Martins,Electoral ward,2021-03-21,Usual residents in England and Wales who have previously served in the UK armed forces by whether they reside in communal establishments and in households.,Lives in a household,Count,Persons,301
E05000824,Bucklow-St Martins,Electoral ward,2021-03-21,Usual residents in England and Wales who have previously served in the UK armed forces by whether they reside in communal establishments and in households.,Lives in a communal establishment,Count,Persons,10
E05000825,Clifford,Electoral ward,2021-03-21,Usual residents in England and Wales who have previously served in the UK armed forces by whether they reside in communal establishments and in households.,Lives in a household,Count,Persons,123
E05000825,Clifford,Electoral ward,2021-03-21,Usual residents in England and Wales who have previously served in the UK armed forces by whether they reside in communal establishments and in households.,Lives in a communal establishment,Count,Persons,0
E05000826,Davyhulme East,Electoral ward,2021-03-21,Usual residents in England and Wales who have previously served in the UK armed forces by whether they reside in communal establishments and in households.,Lives in a household,Count,Persons,281
E05000826,Davyhulme East,Electoral ward,2021-03-21,Usual residents in England and Wales who have previously served in the UK armed forces by whether they reside in communal establishments and in households.,Lives in a communal establishment,Count,Persons,1
E05000827,Davyhulme West,Electoral ward,2021-03-21,Usual residents in England and Wales who have previously served in the UK armed forces by whether they reside in communal establishments and in households.,Lives in a household,Count,Persons,291
E05000827,Davyhulme West,Electoral ward,2021-03-21,Usual residents in England and Wales who have previously served in the UK armed forces by whether they reside in communal establishments and in households.,Lives in a communal establishment,Count,Persons,1
E05000828,Flixton,Electoral ward,2021-03-21,Usual residents in England and Wales who have previously served in the UK armed forces by whether they reside in communal establishments and in households.,Lives in a household,Count,Persons,315
E05000828,Flixton,Electoral ward,2021-03-21,Usual residents in England and Wales who have previously served in the UK armed forces by whether they reside in communal establishments and in households.,Lives in a communal establishment,Count,Persons,7
E05000829,Gorse Hill,Electoral ward,2021-03-21,Usual residents in England and Wales who have previously served in the UK armed forces by whether they reside in communal establishments and in households.,Lives in a household,Count,Persons,212
E05000829,Gorse Hill,Electoral ward,2021-03-21,Usual residents in England and Wales who have previously served in the UK armed forces by whether they reside in communal establishments and in households.,Lives in a communal establishment,Count,Persons,0
E05000830,Hale Barns,Electoral ward,2021-03-21,Usual residents in England and Wales who have previously served in the UK armed forces by whether they reside in communal establishments and in households.,Lives in a household,Count,Persons,228
E05000830,Hale Barns,Electoral ward,2021-03-21,Usual residents in England and Wales who have previously served in the UK armed forces by whether they reside in communal establishments and in households.,Lives in a communal establishment,Count,Persons,12
E05000831,Hale Central,Electoral ward,2021-03-21,Usual residents in England and Wales who have previously served in the UK armed forces by whether they reside in communal establishments and in households.,Lives in a household,Count,Persons,162
E05000831,Hale Central,Electoral ward,2021-03-21,Usual residents in England and Wales who have previously served in the UK armed forces by whether they reside in communal establishments and in households.,Lives in a communal establishment,Count,Persons,0
E05000832,Longford,Electoral ward,2021-03-21,Usual residents in England and Wales who have previously served in the UK armed forces by whether they reside in communal establishments and in households.,Lives in a household,Count,Persons,211
E05000832,Longford,Electoral ward,2021-03-21,Usual residents in England and Wales who have previously served in the UK armed forces by whether they reside in communal establishments and in households.,Lives in a communal establishment,Count,Persons,0
E05000833,Priory,Electoral ward,2021-03-21,Usual residents in England and Wales who have previously served in the UK armed forces by whether they reside in communal establishments and in households.,Lives in a household,Count,Persons,241
E05000833,Priory,Electoral ward,2021-03-21,Usual residents in England and Wales who have previously served in the UK armed forces by whether they reside in communal establishments and in households.,Lives in a communal establishment,Count,Persons,3
E05000835,Sale Moor,Electoral ward,2021-03-21,Usual residents in England and Wales who have previously served in the UK armed forces by whether they reside in communal establishments and in households.,Lives in a household,Count,Persons,265
E05000835,Sale Moor,Electoral ward,2021-03-21,Usual residents in England and Wales who have previously served in the UK armed forces by whether they reside in communal establishments and in households.,Lives in a communal establishment,Count,Persons,0
E05000834,St Mary's,Electoral ward,2021-03-21,Usual residents in England and Wales who have previously served in the UK armed forces by whether they reside in communal establishments and in households.,Lives in a household,Count,Persons,264
E05000834,St Mary's,Electoral ward,2021-03-21,Usual residents in England and Wales who have previously served in the UK armed forces by whether they reside in communal establishments and in households.,Lives in a communal establishment,Count,Persons,8
E05000836,Stretford,Electoral ward,2021-03-21,Usual residents in England and Wales who have previously served in the UK armed forces by whether they reside in communal establishments and in households.,Lives in a household,Count,Persons,222
E05000836,Stretford,Electoral ward,2021-03-21,Usual residents in England and Wales who have previously served in the UK armed forces by whether they reside in communal establishments and in households.,Lives in a communal establishment,Count,Persons,3
E05000837,Timperley,Electoral ward,2021-03-21,Usual residents in England and Wales who have previously served in the UK armed forces by whether they reside in communal establishments and in households.,Lives in a household,Count,Persons,284
E05000837,Timperley,Electoral ward,2021-03-21,Usual residents in England and Wales who have previously served in the UK armed forces by whether they reside in communal establishments and in households.,Lives in a communal establishment,Count,Persons,6
E05000838,Urmston,Electoral ward,2021-03-21,Usual residents in England and Wales who have previously served in the UK armed forces by whether they reside in communal establishments and in households.,Lives in a household,Count,Persons,285
E05000838,Urmston,Electoral ward,2021-03-21,Usual residents in England and Wales who have previously served in the UK armed forces by whether they reside in communal establishments and in households.,Lives in a communal establishment,Count,Persons,13
