area_code,area_name,geography,period,indicator,household_veterans,measure,unit,value
E05000819,Altrincham,Electoral ward,2021-03-21,"Number of people in the household who have previously served in the UK armed forces. This includes those who have served for at least one day in armed forces, either regular, reserves or Merchant Mariners who have seen duty on legally defined military operations.",No people in the household previously served in UK armed forces,Count,Households,5355
E05000819,Altrincham,Electoral ward,2021-03-21,"Number of people in the household who have previously served in the UK armed forces. This includes those who have served for at least one day in armed forces, either regular, reserves or Merchant Mariners who have seen duty on legally defined military operations.",1 person in the household previously served in UK armed forces,Count,Households,248
E05000819,Altrincham,Electoral ward,2021-03-21,"Number of people in the household who have previously served in the UK armed forces. This includes those who have served for at least one day in armed forces, either regular, reserves or Merchant Mariners who have seen duty on legally defined military operations.",2 people in the household previously served in UK armed forces,Count,Households,5
E05000819,Altrincham,Electoral ward,2021-03-21,"Number of people in the household who have previously served in the UK armed forces. This includes those who have served for at least one day in armed forces, either regular, reserves or Merchant Mariners who have seen duty on legally defined military operations.",3 or more people in the household previously served in UK armed forces,Count,Households,0
E05000820,Ashton upon Mersey,Electoral ward,2021-03-21,"Number of people in the household who have previously served in the UK armed forces. This includes those who have served for at least one day in armed forces, either regular, reserves or Merchant Mariners who have seen duty on legally defined military operations.",No people in the household previously served in UK armed forces,Count,Households,4092
E05000820,Ashton upon Mersey,Electoral ward,2021-03-21,"Number of people in the household who have previously served in the UK armed forces. This includes those who have served for at least one day in armed forces, either regular, reserves or Merchant Mariners who have seen duty on legally defined military operations.",1 person in the household previously served in UK armed forces,Count,Households,229
E05000820,Ashton upon Mersey,Electoral ward,2021-03-21,"Number of people in the household who have previously served in the UK armed forces. This includes those who have served for at least one day in armed forces, either regular, reserves or Merchant Mariners who have seen duty on legally defined military operations.",2 people in the household previously served in UK armed forces,Count,Households,6
E05000820,Ashton upon Mersey,Electoral ward,2021-03-21,"Number of people in the household who have previously served in the UK armed forces. This includes those who have served for at least one day in armed forces, either regular, reserves or Merchant Mariners who have seen duty on legally defined military operations.",3 or more people in the household previously served in UK armed forces,Count,Households,1
E05000821,Bowdon,Electoral ward,2021-03-21,"Number of people in the household who have previously served in the UK armed forces. This includes those who have served for at least one day in armed forces, either regular, reserves or Merchant Mariners who have seen duty on legally defined military operations.",No people in the household previously served in UK armed forces,Count,Households,3519
E05000821,Bowdon,Electoral ward,2021-03-21,"Number of people in the household who have previously served in the UK armed forces. This includes those who have served for at least one day in armed forces, either regular, reserves or Merchant Mariners who have seen duty on legally defined military operations.",1 person in the household previously served in UK armed forces,Count,Households,213
E05000821,Bowdon,Electoral ward,2021-03-21,"Number of people in the household who have previously served in the UK armed forces. This includes those who have served for at least one day in armed forces, either regular, reserves or Merchant Mariners who have seen duty on legally defined military operations.",2 people in the household previously served in UK armed forces,Count,Households,9
E05000821,Bowdon,Electoral ward,2021-03-21,"Number of people in the household who have previously served in the UK armed forces. This includes those who have served for at least one day in armed forces, either regular, reserves or Merchant Mariners who have seen duty on legally defined military operations.",3 or more people in the household previously served in UK armed forces,Count,Households,0
E05000822,Broadheath,Electoral ward,2021-03-21,"Number of people in the household who have previously served in the UK armed forces. This includes those who have served for at least one day in armed forces, either regular, reserves or Merchant Mariners who have seen duty on legally defined military operations.",No people in the household previously served in UK armed forces,Count,Households,5304
E05000822,Broadheath,Electoral ward,2021-03-21,"Number of people in the household who have previously served in the UK armed forces. This includes those who have served for at least one day in armed forces, either regular, reserves or Merchant Mariners who have seen duty on legally defined military operations.",1 person in the household previously served in UK armed forces,Count,Households,258
E05000822,Broadheath,Electoral ward,2021-03-21,"Number of people in the household who have previously served in the UK armed forces. This includes those who have served for at least one day in armed forces, either regular, reserves or Merchant Mariners who have seen duty on legally defined military operations.",2 people in the household previously served in UK armed forces,Count,Households,10
E05000822,Broadheath,Electoral ward,2021-03-21,"Number of people in the household who have previously served in the UK armed forces. This includes those who have served for at least one day in armed forces, either regular, reserves or Merchant Mariners who have seen duty on legally defined military operations.",3 or more people in the household previously served in UK armed forces,Count,Households,0
E05000823,Brooklands,Electoral ward,2021-03-21,"Number of people in the household who have previously served in the UK armed forces. This includes those who have served for at least one day in armed forces, either regular, reserves or Merchant Mariners who have seen duty on legally defined military operations.",No people in the household previously served in UK armed forces,Count,Households,3952
E05000823,Brooklands,Electoral ward,2021-03-21,"Number of people in the household who have previously served in the UK armed forces. This includes those who have served for at least one day in armed forces, either regular, reserves or Merchant Mariners who have seen duty on legally defined military operations.",1 person in the household previously served in UK armed forces,Count,Households,243
E05000823,Brooklands,Electoral ward,2021-03-21,"Number of people in the household who have previously served in the UK armed forces. This includes those who have served for at least one day in armed forces, either regular, reserves or Merchant Mariners who have seen duty on legally defined military operations.",2 people in the household previously served in UK armed forces,Count,Households,7
E05000823,Brooklands,Electoral ward,2021-03-21,"Number of people in the household who have previously served in the UK armed forces. This includes those who have served for at least one day in armed forces, either regular, reserves or Merchant Mariners who have seen duty on legally defined military operations.",3 or more people in the household previously served in UK armed forces,Count,Households,1
E05000824,Bucklow-St Martins,Electoral ward,2021-03-21,"Number of people in the household who have previously served in the UK armed forces. This includes those who have served for at least one day in armed forces, either regular, reserves or Merchant Mariners who have seen duty on legally defined military operations.",No people in the household previously served in UK armed forces,Count,Households,3890
E05000824,Bucklow-St Martins,Electoral ward,2021-03-21,"Number of people in the household who have previously served in the UK armed forces. This includes those who have served for at least one day in armed forces, either regular, reserves or Merchant Mariners who have seen duty on legally defined military operations.",1 person in the household previously served in UK armed forces,Count,Households,287
E05000824,Bucklow-St Martins,Electoral ward,2021-03-21,"Number of people in the household who have previously served in the UK armed forces. This includes those who have served for at least one day in armed forces, either regular, reserves or Merchant Mariners who have seen duty on legally defined military operations.",2 people in the household previously served in UK armed forces,Count,Households,7
E05000824,Bucklow-St Martins,Electoral ward,2021-03-21,"Number of people in the household who have previously served in the UK armed forces. This includes those who have served for at least one day in armed forces, either regular, reserves or Merchant Mariners who have seen duty on legally defined military operations.",3 or more people in the household previously served in UK armed forces,Count,Households,0
E05000825,Clifford,Electoral ward,2021-03-21,"Number of people in the household who have previously served in the UK armed forces. This includes those who have served for at least one day in armed forces, either regular, reserves or Merchant Mariners who have seen duty on legally defined military operations.",No people in the household previously served in UK armed forces,Count,Households,5083
E05000825,Clifford,Electoral ward,2021-03-21,"Number of people in the household who have previously served in the UK armed forces. This includes those who have served for at least one day in armed forces, either regular, reserves or Merchant Mariners who have seen duty on legally defined military operations.",1 person in the household previously served in UK armed forces,Count,Households,124
E05000825,Clifford,Electoral ward,2021-03-21,"Number of people in the household who have previously served in the UK armed forces. This includes those who have served for at least one day in armed forces, either regular, reserves or Merchant Mariners who have seen duty on legally defined military operations.",2 people in the household previously served in UK armed forces,Count,Households,0
E05000825,Clifford,Electoral ward,2021-03-21,"Number of people in the household who have previously served in the UK armed forces. This includes those who have served for at least one day in armed forces, either regular, reserves or Merchant Mariners who have seen duty on legally defined military operations.",3 or more people in the household previously served in UK armed forces,Count,Households,0
E05000826,Davyhulme East,Electoral ward,2021-03-21,"Number of people in the household who have previously served in the UK armed forces. This includes those who have served for at least one day in armed forces, either regular, reserves or Merchant Mariners who have seen duty on legally defined military operations.",No people in the household previously served in UK armed forces,Count,Households,3707
E05000826,Davyhulme East,Electoral ward,2021-03-21,"Number of people in the household who have previously served in the UK armed forces. This includes those who have served for at least one day in armed forces, either regular, reserves or Merchant Mariners who have seen duty on legally defined military operations.",1 person in the household previously served in UK armed forces,Count,Households,275
E05000826,Davyhulme East,Electoral ward,2021-03-21,"Number of people in the household who have previously served in the UK armed forces. This includes those who have served for at least one day in armed forces, either regular, reserves or Merchant Mariners who have seen duty on legally defined military operations.",2 people in the household previously served in UK armed forces,Count,Households,3
E05000826,Davyhulme East,Electoral ward,2021-03-21,"Number of people in the household who have previously served in the UK armed forces. This includes those who have served for at least one day in armed forces, either regular, reserves or Merchant Mariners who have seen duty on legally defined military operations.",3 or more people in the household previously served in UK armed forces,Count,Households,0
E05000827,Davyhulme West,Electoral ward,2021-03-21,"Number of people in the household who have previously served in the UK armed forces. This includes those who have served for at least one day in armed forces, either regular, reserves or Merchant Mariners who have seen duty on legally defined military operations.",No people in the household previously served in UK armed forces,Count,Households,3827
E05000827,Davyhulme West,Electoral ward,2021-03-21,"Number of people in the household who have previously served in the UK armed forces. This includes those who have served for at least one day in armed forces, either regular, reserves or Merchant Mariners who have seen duty on legally defined military operations.",1 person in the household previously served in UK armed forces,Count,Households,271
E05000827,Davyhulme West,Electoral ward,2021-03-21,"Number of people in the household who have previously served in the UK armed forces. This includes those who have served for at least one day in armed forces, either regular, reserves or Merchant Mariners who have seen duty on legally defined military operations.",2 people in the household previously served in UK armed forces,Count,Households,10
E05000827,Davyhulme West,Electoral ward,2021-03-21,"Number of people in the household who have previously served in the UK armed forces. This includes those who have served for at least one day in armed forces, either regular, reserves or Merchant Mariners who have seen duty on legally defined military operations.",3 or more people in the household previously served in UK armed forces,Count,Households,0
E05000828,Flixton,Electoral ward,2021-03-21,"Number of people in the household who have previously served in the UK armed forces. This includes those who have served for at least one day in armed forces, either regular, reserves or Merchant Mariners who have seen duty on legally defined military operations.",No people in the household previously served in UK armed forces,Count,Households,4296
E05000828,Flixton,Electoral ward,2021-03-21,"Number of people in the household who have previously served in the UK armed forces. This includes those who have served for at least one day in armed forces, either regular, reserves or Merchant Mariners who have seen duty on legally defined military operations.",1 person in the household previously served in UK armed forces,Count,Households,301
E05000828,Flixton,Electoral ward,2021-03-21,"Number of people in the household who have previously served in the UK armed forces. This includes those who have served for at least one day in armed forces, either regular, reserves or Merchant Mariners who have seen duty on legally defined military operations.",2 people in the household previously served in UK armed forces,Count,Households,7
E05000828,Flixton,Electoral ward,2021-03-21,"Number of people in the household who have previously served in the UK armed forces. This includes those who have served for at least one day in armed forces, either regular, reserves or Merchant Mariners who have seen duty on legally defined military operations.",3 or more people in the household previously served in UK armed forces,Count,Households,0
E05000829,Gorse Hill,Electoral ward,2021-03-21,"Number of people in the household who have previously served in the UK armed forces. This includes those who have served for at least one day in armed forces, either regular, reserves or Merchant Mariners who have seen duty on legally defined military operations.",No people in the household previously served in UK armed forces,Count,Households,4858
E05000829,Gorse Hill,Electoral ward,2021-03-21,"Number of people in the household who have previously served in the UK armed forces. This includes those who have served for at least one day in armed forces, either regular, reserves or Merchant Mariners who have seen duty on legally defined military operations.",1 person in the household previously served in UK armed forces,Count,Households,202
E05000829,Gorse Hill,Electoral ward,2021-03-21,"Number of people in the household who have previously served in the UK armed forces. This includes those who have served for at least one day in armed forces, either regular, reserves or Merchant Mariners who have seen duty on legally defined military operations.",2 people in the household previously served in UK armed forces,Count,Households,5
E05000829,Gorse Hill,Electoral ward,2021-03-21,"Number of people in the household who have previously served in the UK armed forces. This includes those who have served for at least one day in armed forces, either regular, reserves or Merchant Mariners who have seen duty on legally defined military operations.",3 or more people in the household previously served in UK armed forces,Count,Households,0
E05000830,Hale Barns,Electoral ward,2021-03-21,"Number of people in the household who have previously served in the UK armed forces. This includes those who have served for at least one day in armed forces, either regular, reserves or Merchant Mariners who have seen duty on legally defined military operations.",No people in the household previously served in UK armed forces,Count,Households,3596
E05000830,Hale Barns,Electoral ward,2021-03-21,"Number of people in the household who have previously served in the UK armed forces. This includes those who have served for at least one day in armed forces, either regular, reserves or Merchant Mariners who have seen duty on legally defined military operations.",1 person in the household previously served in UK armed forces,Count,Households,220
E05000830,Hale Barns,Electoral ward,2021-03-21,"Number of people in the household who have previously served in the UK armed forces. This includes those who have served for at least one day in armed forces, either regular, reserves or Merchant Mariners who have seen duty on legally defined military operations.",2 people in the household previously served in UK armed forces,Count,Households,4
E05000830,Hale Barns,Electoral ward,2021-03-21,"Number of people in the household who have previously served in the UK armed forces. This includes those who have served for at least one day in armed forces, either regular, reserves or Merchant Mariners who have seen duty on legally defined military operations.",3 or more people in the household previously served in UK armed forces,Count,Households,0
