name,managed,contact,telephone,email,website,area_code,area_name,lon,lat
Agecroft Cemetery,Salford City Council,Barry Elliss,01616867296,N/A,www.salford.gov.uk/cemeteries,E08000006,Salford,-2.292632,53.509847
Alexandra Park (Manchester),Manchester City Council,John Keys,01618680861,N/A,http://alexandraparkmanchester.org/,E08000003,Manchester,-2.248757,53.451398
Alexandra Park (Wigan),Wigan Metropolitan Borough Council,Michael Fishwick,01942 486 908,N/A,www.wigan.gov.uk,E08000010,Wigan,-2.654577,53.535942
Barlow Hall,Southway Housing Trust,Debbie Wallace,0161 448 4200,N/A,www.southwayhousing.co.uk,E08000003,Manchester,-2.267624,53.428728
Blackleach Country Park,Salford City Council,Annie Surtees,0161 925 1153,N/A,www.salford.gov.uk,E08000006,Salford,-2.398,53.53
Blackley Cemetery & Crematorium,Manchester City Council (Bereavement Services),Rachel Kuehl,0161 227 3201/5,N/A,www.manchester.gov.uk,E08000003,Manchester,-2.234182,53.529702
Bolton Road Park,Bury Council,Michael Bent,0161 253 5917,N/A,www.bury.gov.uk/parks,E08000002,Bury,-2.343955,53.563459
Boothsbank Park,Salford City Council,Annie Surtees,0161 925 1153,N/A,www.salford.gov.uk,E08000006,Salford,-2.411226,53.501583
Burrs Country Park,Bury Council,Graham Schoon,0161 253 5909,N/A,www.bury.gov.uk/parks,E08000002,Bury,-2.304,53.609
Clarence Park,Bury Council,Michael Bent,0161 253 5917,N/A,www.bury.gov.uk/parks,E08000002,Bury,-2.29,53.604
Clifton Country Park,Salford City Council,Annie Surtees,0161 925 1153,N/A,www.salford.gov.uk,E08000006,Salford,-2.346,53.532
Close Park,Bury Council,Michael Bent,0161 253 5917,N/A,www.bury.gov.uk,E08000002,Bury,-2.307,53.565
Davyhulme Park,One Trafford,David Sykes,01616726509,N/A,N/A,E08000009,Trafford,-2.352896,53.453785
Denehurst Park,Rochdale Metropolitan Borough Council,Ian Trickett,01706 922073,N/A,http://www.rochdale.gov.uk/leisure-and-culture/parks-and-countryside/parks-and-open-spaces/Pages/denehurst-park.aspx,E08000005,Rochdale,-2.183074,53.621014
Denzell Gardens and The Devisdale,One Trafford,Dave Rome,0161 672 6515,N/A,www.trafford.gov.uk,E08000009,Trafford,-2.371,53.382
Flixton Gardens,One Trafford,David Sykes,0161 672 6509,N/A,N/A,E08000009,Trafford,-2.383446,53.445963
Gorton Cemetery,Manchester City Council (Bereavement Services),Rachel Kuehl,07966 891945,N/A,www.manchester.gov.uk,E08000003,Manchester,-2.163,53.456
Hare Hill Park,Rochdale Metropolitan Borough Council,Ian Trickett,01706 922073,N/A,http://www.rochdale.gov.uk/,E08000005,Rochdale,-2.098,53.645
