registered_charity_number,charity_company_registration_number,charity_name,charity_type,charity_activities,date_of_registration,charity_contact_address,charity_contact_postcode,charity_contact_phone,charity_contact_email,charity_contact_web
210843,NA,DUKINFIELD BAPTIST CHURCH (TRUST FUNDS HELD ICW ),Other,NA,1965-04-29,"4 Northdown Avenue, Woodley, Stockport",SK6 1LB,01614941704,NA,NA
214927,00738693,THE CHESHIRE WILDLIFE TRUST LIMITED,Charitable company,"Cheshire Wildlife Trust is working towards its vision of ""A Cheshire Region richer in Wildlife by 2020"" and aims is to be Cheshire region's most active and influential wildlife champion.The charity's objectives are to:- stand up for wildlife and the environment;- create and enhance wildlife havens;- inspire people about the natural world;- foster sustainable living.",1963-02-20,"Bickley Hall Farm, Bickley Wood, Malpas",SY14 8EF,01948820728,info@cheshirewt.org.uk,www.cheshirewildlifetrust.co.uk
218087,NA,SHREWSBURY SECULAR CLERGY FUND,Other,The principal aim of the Charity is the care of sick clergy and retired clergy of Shrewsbury Catholic Diocese (who are members of the fund) through financial grants.,1964-01-10,"St. Milburgh, Watling Street North, Church Stretton",SY6 7AR,07590196795,frjonmitchell@me.com,NA
219177,NA,CHESHIRE FREEMASONS' CHARITY,Other,To relieve in cases of need Freemasons of the Province of Cheshire & their dependentsTo make grants to other Masonic CharitiesTo make grants to Non Masonic Charities,1963-06-27,"36 Clay Lane, Timperley, Altrincham",WA15 7AB,0161 980 6090,enquiries@cheshiremasons.co.uk,www.cheshiremasons.co.uk
219215,00326093,MOUNTLANDS TRUST LIMITED,Charitable company,"The operation of ""Lime Tree House"" which provides 24-hour Christian Science nursing care in a homely environment.",1963-11-19,"264 Washway Road, Sale",M33 4RZ,01619737956,limetreehouse@btconnect.com,www.limetreehouse.org.uk
219495,NA,THE BICKHAM HOME,Other,The charity's objects continue to be to maintain the home for the accommodation of elderly residents. The activities remain consistent with the objects of the charity.,1963-06-17,"Bickham House, Green Walk, Bowdon, Altrincham",WA14 2SN,01619282514,holli@bickhamhouse.co.uk,www.bickhamhouse.co.uk
221889,NA,MANCHESTER LOCAL MEDICAL COMMITTEE COMPASSIONATE FUND,Trust,"For the charitable relief of members of the medical profession and their families, and widows of deceased members of the medical profession; any other necessitous persons connected with the medical profession; and for purposes which are charitable in law and related to medicine or the medical profession.",1964-02-13,"Oak House, 47 Graham Street, Manchester",M11 3BB,01612238974,enquiries@manchesterlmc.co.uk,www.manchesterlmc.co.uk
222533,00820660,CHILD ACTION NORTHWEST,Charitable company,"To work with disadvantaged and under privelaged children and young people, their families and communities, to improve their life chances.",1963-10-04,"The Homestead, Whalley Road, Wilpshire, Blackburn, Lancashire",BB1 9LL,01254244700,enquiries@canw.org.uk,www.canw.org.uk
222629,NA,JAMES BRADSHAW CHARITY,Other,The poor of the parishes of Eccles (Salford) and Davyhulme (Manchester),1964-01-22,"7 Eltham Drive, Urmston, Manchester",M41 7NB,01617487857,ianandshirleyartus@virginmedia.com,NA
223367,NA,ROYAL SOCIETY FOR THE PREVENTION OF CRUELTY TO ANIMALS CHESHIRE (ALTRINCHAM) BRANCH,Other,To promote kindness and to prevent or supress cruelty to animals and to do all such laswfull acts as the charity may consider to be conducive or incidental to the attainment of these objectives.,1963-10-29,"5 Dalebrook Road, Sale",M33 3LD,01612862503,rspca.altrincham.cheshire@googlemail.com,http://www.rspca-altrincham-cheshire.org.uk
223413,00709208,THE MANCHESTER ASSOCIATION OF ENGINEERS,Charitable company,"Disemination of engineering knowledge and training by way of lectures, visits and the advancement of the science and practices of engineering.",1964-03-17,"151 Marsland Road, Sale",M33 3WE,01612258218,normaandrews65@gmail.com,www.mae.uk.com
224667,NA,LANCASHIRE COUNTY NURSING TRUST,Other,"The objects of the charity is to benefit sick needy persons resident within Lancs, Gr. Manchr, S. Cumbria, Liverpl and Sefton with up to 20% of the net yearly income being available for the benefit of retired district nursing staff who have worked in the same area. There is no restriction on the overall amount to benefit the sick needy. Application of amounts is at the discretion of the trustees.",1964-02-14,"Plumpton House, Great Plumpton, Preston",PR4 3NE,01772673618,hadyngigg@yahoo.co.uk,www.LCNT.org.uk
226024,NA,THE MAYOR'S LAND CHARITY,Other,General charitable purposes,1964-02-20,"83 Stamford Road, Bowdon, Altrincham",WA14 2JJ,01619281894,STAMFORD83@AOL.COM,NA
226413,NA,TRAFFORD MENCAP,Other,a)The relief of people with a learning disability in particular by provision of help and support for them and for their families dependents and carers.b)To provide or assist in the provision of facilities for the recreation or other leisure time occupation for people with a learning disability.,1964-07-02,"Trafford Mencap, The Rowans, Altrincham, Altrincham, Cheshire",WA14 1LL,01619285678,therowans100@gmail.com,
227319,NA,THE HIGH LEE HOUSE TRUST,Other,"To carry out charitable work principally within the Borough of Trafford, and in particular, the advancement of education, the furtherance of health and the relief of poverty, distress and sickness and to promote support for charitable objectives where so ever they are located.",1963-11-08,"67 Temple Road, Sale",M33 2FQ,01619624239,NA,NA
