name,address,postcode,type,email,website,area_name,area_code,lon,lat
Altrincham Library,"2 Pott Street, Altrincham",WA14 1AH,Local authority run library,altrincham.library@trafford.gov.uk,https://www.trafford.gov.uk/residents/leisure-and-lifestyle/libraries/libraries-in-trafford/altrincham-library.aspx,Trafford,E08000009,-2.352156600534233,53.38705468210445
Coppice Library,"Coppice Avenue, Sale",M33 4ND,Partnership run library,coppice.library@trafford.gov.uk,https://www.trafford.gov.uk/residents/leisure-and-lifestyle/libraries/libraries-in-trafford/coppice-library.aspx,Trafford,E08000009,-2.351126,53.414091
Hale Library,"159c Ashley Road, Hale",WA15 9SF,Local authority run library,hale.library@trafford.gov.uk,https://www.trafford.gov.uk/residents/leisure-and-lifestyle/libraries/libraries-in-trafford/hale-library.aspx,Trafford,E08000009,-2.346787676607757,53.377938323905504
Lostock Library,"Selby Road, Stretford",M32 9PL,Lostock High School run library,achilds@lostock.trafford.sch.uk,https://www.trafford.gov.uk/residents/leisure-and-lifestyle/libraries/libraries-in-trafford/lostock-library.aspx,Trafford,E08000009,-2.330413,53.454859
Old Trafford Library at Limelight,"1 St Brides Way, Old Trafford",M16 9NW,Local authority run library,oldtrafford.library@trafford.gov.uk,https://www.trafford.gov.uk/residents/leisure-and-lifestyle/libraries/libraries-in-trafford/old-trafford.aspx,Trafford,E08000009,-2.261906,53.461415
Partington Library and Wellbeing Centre,"91 Central Road, Partington",M31 4FY,Local authority run library,partington.library@trafford.gov.uk,https://www.trafford.gov.uk/residents/leisure-and-lifestyle/libraries/libraries-in-trafford/partington-library.aspx,Trafford,E08000009,-2.425432,53.417677
Sale Library,"Sale Waterside, Sale",M33 7ZF,Local authority run library,sale.library@trafford.gov.uk,https://www.trafford.gov.uk/residents/leisure-and-lifestyle/libraries/libraries-in-trafford/sale-library.aspx,Trafford,E08000009,-2.31987,53.42533
Stretford Library,"Kingsway, Stretford",M32 8AP,Local authority run library,stretford.library@trafford.gov.uk,https://www.trafford.gov.uk/residents/leisure-and-lifestyle/libraries/libraries-in-trafford/stretford-library.aspx,Trafford,E08000009,-2.312512,53.44607
Timperley Library,"405 Stockport Road, Timperley",WA15 7XR,Local authority run library,timperley.library@trafford.gov.uk,https://www.trafford.gov.uk/residents/leisure-and-lifestyle/libraries/libraries-in-trafford/timperley-library.aspx,Trafford,E08000009,-2.316245371300329,53.3982585279669
Trafford Local Studies Centre,"Sale Waterside, Sale",M33 7ZF,Local authority run library,trafflocals@trafford.gov.uk,https://www.trafford.gov.uk/residents/leisure-and-lifestyle/libraries/Local-Studies/Trafford-Local-Studies.aspx,Trafford,E08000009,-2.319808,53.425528
Trafford Town Hall Library,"Ground Floor, Trafford Town Hall, Talbot Road, Stretford",M32 0TH,Local authority run library,libraries@trafford.gov.uk,https://www.trafford.gov.uk/residents/leisure-and-lifestyle/libraries/libraries-in-trafford/town-hall-library.aspx,Trafford,E08000009,-2.287278,53.45874
Urmston Library,"Unit 34, Golden Way, Urmston",M41 0NA,Local authority run library,urmston.library@trafford.gov.uk,https://www.trafford.gov.uk/residents/leisure-and-lifestyle/libraries/libraries-in-trafford/urmston-library.aspx,Trafford,E08000009,-2.35352,53.449577
Woodsend Library,"Woodsend Road, Flixton",M41 8GN,Local authority run library,urmston.library@trafford.gov.uk,https://www.trafford.gov.uk/residents/leisure-and-lifestyle/libraries/libraries-in-trafford/woodsend-library.aspx,Trafford,E08000009,-2.393166,53.453354
