name,address,postcode,type,email,website,area_name,area_code,lon,lat
Blackrod Library,"Blackrod Library, Church Street, Blackrod, Bolton",BL6 5EQ,Local authority run library,blackrod.library@bolton.gov.uk,http://www.bolton.gov.uk/website/pages/Blackrodlibrary.aspx,Bolton,E08000001,-2.58651,53.594458
Bolton Central Library,"Bolton Library and Museum Services, Central Library, Le Mans Crescent, Bolton",BL1 1SE,Local authority run library,central.library@bolton.gov.uk,http://www.bolton.gov.uk/website/pages/CentralLibrary.aspx,Bolton,E08000001,-2.431294,53.577385
Breightmet Library,"Breightmet Library, Breightmet Health Centre, Breightmet Fold Lane, Bolton",BL2 6NT,Local authority run library,breightmet.library@bolton.gov.uk,http://www.bolton.gov.uk/website/pages/BreightmetLibrary.aspx,Bolton,E08000001,-2.384175,53.582084
Bromley Cross Library,"Bromley Cross Library, The Crescent, Bromley Cross, Bolton",BL7 9JU,Local authority run library,bromley.cross.library@bolton.gov.uk,http://www.bolton.gov.uk/website/pages/BromleyCrossLibrary.aspx,Bolton,E08000001,-2.418717,53.617076
Farnworth Library,"Farnworth Library, Market Street, Farnworth, Bolton",BL4 7PG,Local authority run library,farnworth.library@bolton.gov.uk,http://www.bolton.gov.uk/website/pages/FarnworthLibrary.aspx,Bolton,E08000001,-2.396753,53.551411
Halliwell UCAN neighbourhood collection,"Halliwell UCAN, Hatfield Road, Bolton",BL1 3BU,Local authority run library,halliwell.ucan@bolton.gov.uk,http://www.bolton.gov.uk/website/pages/Neighbourhoodcollections.aspx,Bolton,E08000001,-2.450036,53.587304
Harwood Library,"Harwood Library, Gate Fold, Harwood, Bolton",BL2 3HN,Local authority run library,harwood.library@bolton.gov.uk,http://www.bolton.gov.uk/website/pages/HarwoodLibrary.aspx,Bolton,E08000001,-2.39661,53.604769
Heaton neighbourhood collection,"Heaton Children's Centre, New Hall Lane, Bolton",BL1 5LF,Local authority run library,heatonandlostockchildrenscentre@bolton.gov.uk,http://www.bolton.gov.uk/website/pages/HeatonandLostockChildrensCentre.aspx,Bolton,E08000001,-2.464722,53.585017
High Street Library,"High Street Library, High Street, Bolton",BL3 6SZ,Local authority run library,high.street.library@bolton.gov.uk,http://www.bolton.gov.uk/website/pages/HighStreetLibrary.aspx,Bolton,E08000001,-2.439397,53.567224
Horwich Library,"Horwich Library, Jones Street, Horwich, Bolton",BL6 7AJ,Local authority run library,horwich.library@bolton.gov.uk,http://www.bolton.gov.uk/website/pages/HorwichLibrary.aspx,Bolton,E08000001,-2.549202,53.601853
Little Lever Library,"Little Lever Library, Coronation Square, Little Lever, Bolton",BL3 1LP,Local authority run library,littlelever.library@bolton.gov.uk,http://www.bolton.gov.uk/website/pages/LittleLeverLibrary.aspx,Bolton,E08000001,-2.369129,53.561495
Oldhams neighbourhood collection,"Oldhams Children's Centre, Forfar Street, Bolton",BL1 6RN,Local authority run library,oldhamschildrenscentre@bolton.gov.uk,http://www.bolton.gov.uk/website/pages/OldhamsChildrensCentre.aspx,Bolton,E08000001,-2.438884,53.604884
Tonge UCAN neighbourhood collection,"Tonge UCAN, Tonge Moor Road, Bolton",BL2 2LE,Local authority run library,tonge.ucancentre@boltonathome.org.uk,http://www.bolton.gov.uk/website/pages/Neighbourhoodcollections.aspx,Bolton,E08000001,-2.412196,53.591431
Westhoughton Library,"Westhoughton Library, Library Street, Westhoughton, Bolton",BL5 3AT,Local authority run library,westhoughton.library@bolton.gov.uk,http://www.bolton.gov.uk/website/pages/WesthoughtonLibrary.aspx,Bolton,E08000001,-2.520505,53.549004
Bury Library,"Manchester Road, Bury",BL9 0DG,Local authority run library,bury.lib@bury.gov.uk,https://www.bury.gov.uk/index.aspx?articleid=10923,Bury,E08000002,-2.298964,53.591667
Prestwich Library and Adult Learning Centre,"Longfield Centre, Prestwich",M25 1AY,Local authority run library,prestwich.lib@bury.gov.uk,https://www.bury.gov.uk/index.aspx?articleid=10929,Bury,E08000002,-2.283949,53.533088
Radcliffe Library,"Stand Lane, Radcliffe",M26 1NW,Local authority run library,radcliffe.lib@bury.gov.uk,https://www.bury.gov.uk/index.aspx?articleid=10930,Bury,E08000002,-2.323167,53.558096
Ramsbottom Library and Adult Learning Centre,"Carr Street, Ramsbottom",BL0 9AE,Local authority run library,ramsbottom.lib@bury.gov.uk,https://www.bury.gov.uk/index.aspx?articleid=10931,Bury,E08000002,-2.319554,53.64897
Abraham Moss Library,"Crescent Road, Crumpsall",M8 5UF,Local authority run library,crumpsall.library@manchester.gov.uk,https://secure.manchester.gov.uk/directory_record/270312/abraham_moss_library,Manchester,E08000003,-2.235655,53.512405
Arcadia library and leisure centre (Levenshulme),"Yew Tree Avenue, Levenshulme",M19 3PH,Local authority run library,levenshulmelibrary@manchester.gov.uk,https://secure.manchester.gov.uk/directory_record/270313/arcadia_library_and_leisure_centre_levenshulme,Manchester,E08000003,-2.192994,53.446066
Avenue Library and Learning Centre,"Victoria Avenue East, Blackley",M9 6HW,Local authority run library,avenuelibrary@manchester.gov.uk,https://secure.manchester.gov.uk/directory_record/270314/avenue_library_and_learning_centre,Manchester,E08000003,-2.207643,53.532545
Barlow Moor Community Library,"23 Merseybank Avenue, Chorlton",M21 7NT,Community run library,NA,https://secure.manchester.gov.uk/directory_record/270315/barlow_moor_community_library,Manchester,E08000003,-2.263039,53.423355
Beswick Library,"60 Grey Mare Lane, Beswick",M11 3DS,Local authority run library,beswicklibrary@manchester.gov.uk,https://secure.manchester.gov.uk/directory_record/270316/beswick_library,Manchester,E08000003,-2.196603,53.477968
Brooklands Library,"Moor Road, Wythenshawe",M23 9BP,Local authority run library,brooklandslibrary@manchester.gov.uk,https://secure.manchester.gov.uk/directory_record/270317/brooklands_library,Manchester,E08000003,-2.296316,53.401595
"Burnage Library, Activity and Information Hub","Burnage Lane, Burnage",M19 1EW,Community run library,info@burnageactivityhub.org.uk,https://secure.manchester.gov.uk/directory_record/270318/burnage_library_activity_and_information_hub,Manchester,E08000003,-2.200433,53.43018
Central library,"St Peters Square, City Centre",M2 5PD,Local authority run library,libraries@manchester.gov.uk,https://secure.manchester.gov.uk/directory_record/270319/central_library,Manchester,E08000003,-2.244594,53.477944
Chorlton Library,"Manchester Road, Chorlton",M21 9PN,Local authority run library,chorltonlibrary@manchester.gov.uk,https://secure.manchester.gov.uk/directory_record/270320/chorlton_library,Manchester,E08000003,-2.279043,53.444269
City Library,"St Peters Square, City Centre",M2 5PD,Local authority run library,libraries@manchester.gov.uk,https://secure.manchester.gov.uk/directory_record/270321/city_library,Manchester,E08000003,-2.279043,53.444269
Didsbury Library,"692 Wilmslow Road, Didsbury",M20 2DN,Local authority run library,didsburylibrary@manchester.gov.uk,https://secure.manchester.gov.uk/directory_record/270322/didsbury_library,Manchester,E08000003,-2.232326,53.418177
Fallowfield Community Library,"The Place at Platt Lane, Platt Lane",M14 7FB,Community run library,NA,https://secure.manchester.gov.uk/directory_record/270323/fallowfield_community_library,Manchester,E08000003,-2.237369,53.44684
Forum Library Wythenshawe,"Forum Square, Wythenshawe",M22 5RX,Local authority run library,forumlibrary@manchester.gov.uk,https://secure.manchester.gov.uk/directory_record/270324/forum_library_wythenshawe,Manchester,E08000003,-2.265017,53.379925
Gorton Library,"Garratt Way, Gorton",M18 8HE,Local authority run library,gortonlibrary@manchester.gov.uk,https://secure.manchester.gov.uk/directory_record/270325/gorton_library,Manchester,E08000003,-2.174334,53.462904
Hulme High Street Library,"Leisure Centre, Hulme High Street",M15 5NN,Local authority run library,hulmelibrary@manchester.gov.uk,https://secure.manchester.gov.uk/directory_record/270326/hulme_high_street_library,Manchester,E08000003,-2.247522,53.460644
Longsight Library and Learning Centre,"519 Stockport Road, Longsight",M12 4NE,Local authority run library,longsightlibrary@manchester.gov.uk,https://secure.manchester.gov.uk/directory_record/270328/longsight_library_and_learning_centre,Manchester,E08000003,-2.200953,53.457817
Miles Platting Community Library,"Victoria Mill Community Centre, Lower Vickers Street, Miles Platting",M40 7LJ,Community run library,NA,https://secure.manchester.gov.uk/directory_record/270329/miles_platting_community_library,Manchester,E08000003,-2.216231,53.489003
