name,address,postcode,lad16nm,lat,lon,precision
Lime Square Medical Centre,"Lime Square, Ashton Old Road, Manchester",M11 1DA,Manchester,53.473553,-2.16383572006355,Address and postcode
ABL Health Limited,"71 Redgate Way, Farnworth, Bolton",BL4 0JL,Bolton,53.5514114,-2.4302746,Address and postcode
Nuffield Health Wellbeing Centre Manchester,"East Pavilion, Harbour City, Salford",M50 3SP,Salford,53.47342435,-2.29065360149572,Address and postcode
Huntley Mount Medical Centre,"Huntley Mount Road, Bury",BL9 6JA,Bury,53.5994559,-2.2784019,Address and postcode
Samedaydoctor Manchester Clinic,"28 Queen Street, Manchester",M2 5HX,Manchester,53.5503708,-2.1826819,Address and postcode
Manchester Orthopaedic Clinical Services,"19 Ellesmere Road, Eccles, Manchester",M30 9JY,Salford,53.4909856,-2.3414617,Address and postcode
Skin Medical Manchester,"20 St Ann's Square, Manchester",M2 7HG,Manchester,53.4821188,-2.24565441765453,Address and postcode
Doctorcall Manchester,"2-4 Exchange Street, St Ann's Square, Manchester",M2 7HA,Manchester,53.4826759,-2.2453511,Address and postcode
Willowbank Surgery,"1 Church Lane, Harpurhey, Manchester",M9 4WH,Manchester,53.5076458,-2.2030025,Address and postcode
MASTA Travel Clinic - Manchester,"STA Manchester, Unit 6, Barton Arcade, 556 Deansgate, Manchester",M3 2BW,Manchester,53.482192,-2.2467648,Address and postcode
Seven Brooks Medical Centre,"21 Church Street, Atherton, Manchester",M46 9DE,Wigan,53.5244284,-2.4895036,Address and postcode
Laserase Bolton Limited,"71 Redgate Way, Farnworth, Bolton",BL4 0JL,Bolton,53.5514114,-2.4302746,Address and postcode
Jarvis Medical Practice - GPCC,"137 Glodwick Road, Oldham",OL4 1YN,Oldham,53.5393286,-2.0964783,Address and postcode
Little Lever Health Centre,"Mytham Road, Little Lever, Bolton",BL3 1JF,Bolton,53.5584125,-2.3696775,Address and postcode
Nuffield Health Manchester Printworks Fitness and Wellbeing Centre,"The Printworks, 27 Withy Grove, Manchester",M4 2BS,Manchester,53.48525,-2.24085913819246,Address and postcode
Ultima Vitality,"718A Wilmslow Road, Manchester",M20 2DW,Manchester,53.4104004,-2.220794,Address and postcode
Thornley House Medical Centre,"Thornley Street, Hyde",SK14 1JY,Tameside,53.4466005,-2.0751408,Address and postcode
THMG Manchester Clinic,"The Chambers, Police Street, Manchester",M2 7LQ,Manchester,53.48087995,-2.24751641078131,Address and postcode
Hollinwood Medical Practice,"1 Clive Street, Oldham",OL8 3TR,Oldham,53.5220613,-2.1288004,Address and postcode
Lees Medical Practice,"Athens Way, Lees, Oldham",OL4 3BP,Oldham,53.5391693,-2.0750728,Address and postcode
Shevington Surgery,"Houghton   Lane, Shavington, Wigan",WN6 8ET,Wigan,53.5712623,-2.6990971,Address and postcode
Seven Brooks Medical Centre,"21 Church Street, Atherton, Wigan",M46 9DE,Wigan,53.5244284,-2.4895036,Address and postcode
Pemberton Surgery,"Sherwood Drive, Wigan",WN5 9QX,Wigan,53.5396615,-2.6695947,Address and postcode
NE Consultancy,"223-225 Stockport Road, Guide Bridge, Ashton Under Lyne",OL7 0NT,Tameside,53.3965436,-2.0761548,Address and postcode
Oaklands Hospital,"19 Lancaster Road, Salford",M6 8AQ,Salford,53.5023289,-2.3223937,Address and postcode
Bryn Cross Surgery,"246 Wigan Road, Ashton In Makerfield, Wigan",WN4 0AR,Wigan,53.500573,-2.6474967,Address and postcode
10 St John Street,"10 St John Street, Manchester",M3 4DY,Manchester,53.4775961,-2.2506185,Address and postcode
BL Medical Practice,"Woodley Health Centre, Hyde Road, Stockport",SK6 1ND,Stockport,53.4263337,-2.09967573633122,Address and postcode
Face & Eye,"2 Gibwood Road, Manchester",M22 4BT,Manchester,53.4044234,-2.2658112,Address and postcode
Ashton Medical Centre,"120 Wigan Road, Ashton In Makerfield, Wigan",WN4 9SU,Wigan,53.5037947,-2.6508941,Address and postcode
Braithwaite Road Surgery,"36 Braithwaite Road, Lowton, Warrington",WA3 2HY,Wigan,53.4762033,-2.5743963,Address and postcode
Astley General Practice,"391A Manchester Road, Astley, Tyldesley, Manchester",M29 7BY,Wigan,53.5138629,-2.453336,Address and postcode
3D Medical Centre,"200-202 Deane Road, Bolton",BL3 5DP,Bolton,53.5737478,-2.4390497,Address and postcode
Bolton General Practice,"Marsden House, Marsden Road, Bolton",BL1 2AY,Bolton,53.5788811,-2.4345517,Address and postcode
The Heights General Practice,"355 Bolton Road, Salford",M6 7NJ,Salford,53.4983165,-2.3037954,Address and postcode
Bolton Medical Centre,"21 Rupert Street, Bolton",BL3 6PY,Bolton,53.565711,-2.431713,Address and postcode
Beehive Surgery,"106-108 Crescent Road, Bolton",BL3 2JR,Bolton,53.5615231,-2.4152366,Address and postcode
HR Healthcare Ltd,"The Office, Waters Meeting, Britannia Way, Bolton",BL2 2HH,Bolton,53.593424038617,-2.4212446397283,Address and postcode
Fernclough Surgery,"Unit 1, Tavistock Square, Harpurhey, Machester",M9 5RD,Manchester,53.4914204,-2.2406022,Address and postcode
Deane Medical Centre,"155-157 Deane Road, Bolton",BL3 5AH,Bolton,53.5737478,-2.4390497,Address and postcode
Heaton Medical Centre,"2 Lucy Street, Bolton",BL1 5PU,Bolton,53.5880765,-2.4685914,Address and postcode
Primrose Surgery,"59 Old Crofts Bank, Urmston, Manchester",M41 7AB,Trafford,53.4560471,-2.3574841,Address and postcode
Cheetham Hill Medical Centre,"244 Cheetham Hill Road, Manchester",M8 8AU,Manchester,53.508326,-2.2418833,Address and postcode
The Neville Family Medical Centre,"25 Old Market Street, Blackley, Manchester",M9 8DX,Manchester,53.5229786,-2.2205224,Address and postcode
Direct Medicare UK Limited,"Bodmin Road Health Centre, Bodmin Road, Sale",M33 5JH,Trafford,53.4275267,-2.3518554,Address and postcode
Ashton 7 Day Access Hub,"Ashton Primary Care Centre, 193 Old Street, Ashton-Under-Lyne",OL6 7SR,Tameside,53.4862502,-2.0990245,Address and postcode
Cheetham Hill Medical Centre,"244 Cheetham Hill Road, Cheetham Hill, Manchester",M8 8UP,Manchester,53.508326,-2.2418833,Address and postcode
North Manchester General Hospital-Outpatients A,"Delaunays Road, Manchester",M8 5RB,Manchester,53.5192402,-2.2307467,Address and postcode
Hazeldene Medical Centre,"97 Moston Lane East, New Moston, Manchester",M40 3HD,Manchester,53.5230835,-2.1687319,Address and postcode
New Islington Medical Practice Ancoats Primary Care Centre,"Old Mill Street, Ancoats, Manchester",M4 6EE,Manchester,53.481141,-2.223772,Address and postcode
Integrated Care Centre,"New Radcliffe Street, Oldham",OL1 1NL,Oldham,53.5434029,-2.1180263,Address and postcode
Royton Health & Wellbeing Centre,"Park Street, Royton, Oldham",OL2 6QW,Oldham,53.5661153,-2.1214348,Address and postcode
Keppel Building,"Ashton Road West, Failsworth, Oldham",M35 0AD,Oldham,53.5085823,-2.1568532,Address and postcode
New Islington Medical Practice,"Old Mill Street, Ancoats, Manchester",M4 6EE,Manchester,53.481141,-2.223772,Address and postcode
CuRx Health Limited,"109-111 Windermere Road, Middleton, Manchester",M24 5WF,Rochdale,53.5566237,-2.223116,Address and postcode
Jolly Medical Centre,"72 Crescent Road, Manchester",M8 9NT,Manchester,53.5122344,-2.244259,Address and postcode
Werneth Medical Practice,"76A Windsor Road, Oldham",OL8 4AL,Oldham,53.535914,-2.1283467,Address and postcode
Beacon Medical Services Group Limited,"828 Wilmslow Road, Didsbury, Manchester",M20 2RN,Manchester,53.4104004,-2.220794,Address and postcode
Newlands Medical Centre,"315 Chorley New Road, Bolton",BL1 5BP,Bolton,53.5819871,-2.4425043,Address and postcode
Crown Clinic Limited,"Ground Floor, Global House, Bailey Lane, Manchester Airport, Manchester",M90 4AB,Manchester,53.36897145,-2.2395254214988,Address and postcode
Springfield Medical Centre,"384 Liverpool Road, Eccles, Manchester",M30 8QD,Salford,53.4801122,-2.3619443,Address and postcode
Springfield Surgery,"24-28 Commercial Road, Hazel Grove, Stockport",SK7 4AA,Stockport,53.38241905,-2.12220820894765,Address and postcode
Woodley Village Surgery,"Hyde Road, Woodley, Stockport",SK6 1ND,Stockport,53.4245533,-2.1037892,Address and postcode
Brookdale Surgery,"202 Droylsden Road, Manchester",M40 1NZ,Manchester,53.4991378,-2.1734367,Address and postcode
The Pike Practice,"Market Place, Mossley, Ashton Under Lyne",OL5 0HE,Tameside,53.4556755,-2.0116044,Address and postcode
Halliwell Health Centre,"Lindfield Drive, Bolton",BL1 3RG,Bolton,53.5889012,-2.4320626,Address and postcode
Ambulatory Illness in Stepping Hill Emergency Department,"Stepping Hill Hospital, Poplar Grove, Stockport",SK2 7JE,Stockport,53.38440275,-2.13318436654347,Address and postcode
John Street Medical Practice,"1 John Street, Oldham",OL8 1DF,Oldham,53.5402284,-2.1195791,Address and postcode
The Village Medical Practice,"High Street, Shaw, Oldham",OL2 8ST,Oldham,53.5749625,-2.096125,Address and postcode
Westleigh Medical Centre,"4-12 Westleigh Lane, Leigh",WN7 5JE,Wigan,53.5149349,-2.5284846,Address and postcode
Pikes Lane Centre,"Deane Road, Bolton",BL3 5HP,Bolton,53.5737478,-2.4390497,Address and postcode
The Private Clinic Limited - Manchester,"25 St John Street, Manchester",M3 4DT,Manchester,53.4775961,-2.2506185,Address and postcode
The Village Medical Centre,"Peel Street, Littleborough",OL15 8AQ,Rochdale,53.6427504,-2.0975932,Address and postcode
BMI The Alexandra Hospital,"Mill Lane, Cheadle",SK8 2PX,Stockport,53.3973397,-2.2190913,Address and postcode
The Hospital Group-Abbey Pines,"192 Altrincham Road, Manchester",M22 4RZ,Manchester,53.3963983,-2.2563818,Address and postcode
Town Hall Surgery,"112 King Street, Dukinfield",SK16 4LD,Tameside,53.4806191,-2.0941041,Address and postcode
Kirkholt Medical Practice,"Queens Drive, Rochdale",OL11 2NP,Rochdale,53.5983213,-2.1640683,Address and postcode
Birtle View Medical Practice,"George Street, Heywood",OL10 4PW,Rochdale,53.594435,-2.2278224,Address and postcode
The Kingsway Practice,"285A Kingsway, Rochdale",OL16 4AT,Rochdale,53.6067798,-2.1368671,Address and postcode
Cornerstone Surgery,"469-471 Chorley Old Road, Bolton",BL1 6AH,Bolton,53.5884813,-2.4578103,Address and postcode
Diet UK Bolton,"Newlands Centre, 315 Chorley New Road, Bolton",BL1 5BP,Bolton,53.5044371,-2.463871,Address and postcode
Brooks Bar Medical Centre,"162-164 Chorlton Road, Manchester",M16 7WW,Trafford,53.4622503,-2.258081,Address and postcode
The Birches Medical Centre,"Polefield Road, Prestwich, Manchester",M25 2GN,Bury,53.5394806,-2.2717249,Address and postcode
Manchester,"66-68 Bridge Street, Manchester",M3 2RJ,Manchester,53.4809557,-2.2488243,Address and postcode
Slag Lane Medical Centre,"216 Slag Lane, Lowton, Warrington",WA3 2EZ,Wigan,53.481237,-2.567806,Address and postcode
Droylsden Road Family Practice,"125 Droylsden Road, Manchester",M40 1NT,Manchester,53.5021644,-2.1791923,Address and postcode
Hawkley Brook Medical Practice,"Chandler House, Poolstock Lane, Wigan",WN3 5HL,Wigan,53.4741945,-2.5674187,Address and postcode
Heald Green HC 2,"Finney Lane, Heald Green, Cheadle",SK8 3JD,Stockport,53.3708861,-2.2389137,Address and postcode
Whitley Road Medical Centre,"1 Whitley Road, Manchester",M40 7QH,Manchester,53.4943307,-2.2217733,Address and postcode
Windermere Road Surgery,"109-111 Windermere Road, Middleton, Manchester",M24 5WF,Rochdale,53.5566237,-2.223116,Address and postcode
West Gorton Medical Centre,"2 Clowes Street, Manchester",M12 5JE,Manchester,53.4692365,-2.1937753,Address and postcode
Durnford Medical Centre,"113 Long Street, Middleton, Manchester",M24 6DL,Rochdale,53.5526867,-2.1966197,Address and postcode
Ashworth Street Surgery,"85 Spotland Road, Rochdale",OL12 6RT,Rochdale,53.6207722,-2.1737839,Address and postcode
Phoenix Centre,"Pine Street, Heywood",OL10 1DT,Rochdale,53.5918991,-2.217525,Address and postcode
Dr Carlos Xavier & Partners,"208C Newton Road, Lowton, Warrington",WA3 2AQ,Wigan,53.4674815,-2.5681026,Address and postcode
Woodlands Medical Practice,"9 Maple Road, Brooklands, Manchester",M23 9RL,Manchester,53.4067193,-2.3111651,Address and postcode
Victoria Mill Medical Practice,"Victoria Mill, 10 Lower Vickers Street, Manchester",M40 7LH,Manchester,53.4878138,-2.2418244,Address and postcode
Charlestown Medical Practice,"Charlestown Road, Manchester",M9 7ED,Manchester,53.522506,-2.2074125000000002,Address and postcode
Manchester Private Hospital,"New Court, Regents Place, 2 Windsor Street, Salford",M5 4HB,Salford,53.479005813275,-2.2785481982105,Address and postcode
Dr Harjit Singh,"28 Barton Lane, Eccles, Manchester",M30 0TU,Salford,53.4785386,-2.3468981,Address and postcode
Dr Rajesh Saraf,"Moorside Medical Centre, 681 Ripponden Road, Oldham",OL1 4JU,Oldham,53.56294155,-2.07501396298035,Address and postcode
Dr Kiren Kaur,"Moorside Medical Centre, 681 Ripponden Road, Oldham",OL1 4JU,Oldham,53.56294155,-2.07501396298035,Address and postcode
Dr Alistair (Medical Services) Limited,"Kid Glove House, Kid Glove Road, Golborne",WA3 3GS,Wigan,53.4790471,-2.5962938,Address and postcode
Dr Mohammad Khan,"152a Manchester Road East, Little Hulton, Manchester",M38 9LQ,Salford,53.5284164,-2.4166091,Address and postcode
Dr Suvajit Chatterjee,"32 Brinnington Road, Vernon Park, Stockport",SK1 2EX,Stockport,53.417152,-2.1454117,Address and postcode
Dr Christina Mary Greenhough,"187 Manchester Road, Mossley, Ashton Under Lyne",OL5 9AB,Tameside,53.5293857,-2.0269787,Address and postcode
Dr Afzal Hussain,"110 Walmersley Road, Bury",BL9 6DX,Bury,53.6201962,-2.2959445,Address and postcode
Dr Samir Sadik,"1 Dunkerley Street, Ashton Under Lyne",OL7 9EJ,Tameside,53.4989374,-2.104006,Address and postcode
Dr Syed Rizvi,"274 Barlow Moor Road, Chorlton-cum-Hardy, Manchester",M21 8HA,Manchester,53.4320165,-2.2695249,Address and postcode
Rochdale Road Medical Centre,"48a Rochdale Road, Middleton, Manchester",M24 2PU,Rochdale,53.5689247,-2.1794025,Address and postcode
Salford Health Matters Community Interest Company,"94 Littleton Road, Salford",M7 3SE,Salford,53.5007517,-2.2779429,Address and postcode
Dr Joann Amin,"The Willows, Lords Avenue, Salford, Salford",M5 5JR,Salford,53.4342661,-2.280781,Address and postcode
Donneybrook Medical Centre,"Clarendon Street, Hyde",SK14 2AH,Tameside,53.4200701,-2.1587487,Address and postcode
Dr Richard Clare,"The Surgery, 12 Derbyshire Road South, Sale",M33 3JP,Trafford,53.4169284,-2.3101255,Address and postcode
Dr Sally Johnston,"34 Riddings Road, Timperley, Altrincham",WA15 6BP,Trafford,53.404496,-2.3312536,Address and postcode
Dr Rachel Tomalin,"20 Meyer Street, Cale Green, Stockport",SK3 8JE,Stockport,53.3971617,-2.1576417,Address and postcode
Gloucester House Medical Centre,"17 Station Road, Urmston, Manchester",M41 9JS,Trafford,53.4472438,-2.3528523,Address and postcode
Dr Chandra Khatri,"The Surgery, High Street, Tyldesley, Manchester",M29 8AL,Wigan,53.5775377,-2.4167596,Address and postcode
Dr Anoop Sahal,"94 Navigation Road, Altrincham",WA14 1LL,Trafford,53.3963587,-2.3456413,Address and postcode
Dr Syed Shah,"145 Elliot Street, Tyldesley, Manchester",M29 8FL,Wigan,53.5958121,-2.4493643,Address and postcode
Dr Ugo Umeadi,"131 Cleggs Lane, Little Hulton, Manchester",M38 9RS,Salford,53.5351196,-2.4193239,Address and postcode
Dr Krishna Khatri,"10 Higher Green Lane, Astley, Tyldesley, Manchester",M29 7HG,Wigan,53.5007796,-2.4481994,Address and postcode
Dr Peter Chadwick,"The Surgery, Primary Care Resource Centre, Burnage Lane, Manchester",M19 1EW,Manchester,53.4926319,-2.2254696,Address and postcode
Leela Ltd,"The Strand, Rochdale",OL11 2JG,Rochdale,53.5936795,-2.1560646,Address and postcode
Dr Chidananda Barua,"Frederick Street, Farnworth, Bolton",BL4 9AH,Bolton,53.5460211,-2.3957932,Address and postcode
Woodbank Surgery,"2 Hunstanton Drive, Brandlesholme, Bury",BL8 1EG,Bury,53.6051106,-2.3068986,Address and postcode
Shakespeare Surgery,"Chandler House, Worsley Mesnes Health Centre, Poolstock Lane, Wigan",WN3 5HL,Wigan,53.4741945,-2.5674187,Address and postcode
Dr Mahendra Patel,"Shay Lane, Hale Barns, Altrincham",WA15 8NZ,Trafford,53.372763,-2.3145377,Address and postcode
Droylsden Medical Practice,"1-3 Albion Drive, Droylsden, Manchester",M43 7NP,Tameside,53.4872593,-2.1456609,Address and postcode
