area_code,area_name,geography,period,indicator,gender_identity,measure,unit,value
E02001259,Trafford 001,Middle-layer Super Output Area,2021-03-21,Gender identity of usual residents (voluntary question only asked of people aged 16 years and over),Gender identity the same as sex registered at birth,Count,Persons,8414
E02001259,Trafford 001,Middle-layer Super Output Area,2021-03-21,Gender identity of usual residents (voluntary question only asked of people aged 16 years and over),Gender identity different from sex registered at birth but no specific identity given,Count,Persons,40
E02001259,Trafford 001,Middle-layer Super Output Area,2021-03-21,Gender identity of usual residents (voluntary question only asked of people aged 16 years and over),Trans woman,Count,Persons,27
E02001259,Trafford 001,Middle-layer Super Output Area,2021-03-21,Gender identity of usual residents (voluntary question only asked of people aged 16 years and over),Trans man,Count,Persons,13
E02001259,Trafford 001,Middle-layer Super Output Area,2021-03-21,Gender identity of usual residents (voluntary question only asked of people aged 16 years and over),All other gender identities,Count,Persons,17
E02001259,Trafford 001,Middle-layer Super Output Area,2021-03-21,Gender identity of usual residents (voluntary question only asked of people aged 16 years and over),Not answered,Count,Persons,712
E02001260,Trafford 002,Middle-layer Super Output Area,2021-03-21,Gender identity of usual residents (voluntary question only asked of people aged 16 years and over),Gender identity the same as sex registered at birth,Count,Persons,5890
E02001260,Trafford 002,Middle-layer Super Output Area,2021-03-21,Gender identity of usual residents (voluntary question only asked of people aged 16 years and over),Gender identity different from sex registered at birth but no specific identity given,Count,Persons,4
E02001260,Trafford 002,Middle-layer Super Output Area,2021-03-21,Gender identity of usual residents (voluntary question only asked of people aged 16 years and over),Trans woman,Count,Persons,2
E02001260,Trafford 002,Middle-layer Super Output Area,2021-03-21,Gender identity of usual residents (voluntary question only asked of people aged 16 years and over),Trans man,Count,Persons,4
E02001260,Trafford 002,Middle-layer Super Output Area,2021-03-21,Gender identity of usual residents (voluntary question only asked of people aged 16 years and over),All other gender identities,Count,Persons,6
E02001260,Trafford 002,Middle-layer Super Output Area,2021-03-21,Gender identity of usual residents (voluntary question only asked of people aged 16 years and over),Not answered,Count,Persons,245
E02001261,Trafford 003,Middle-layer Super Output Area,2021-03-21,Gender identity of usual residents (voluntary question only asked of people aged 16 years and over),Gender identity the same as sex registered at birth,Count,Persons,6493
E02001261,Trafford 003,Middle-layer Super Output Area,2021-03-21,Gender identity of usual residents (voluntary question only asked of people aged 16 years and over),Gender identity different from sex registered at birth but no specific identity given,Count,Persons,20
E02001261,Trafford 003,Middle-layer Super Output Area,2021-03-21,Gender identity of usual residents (voluntary question only asked of people aged 16 years and over),Trans woman,Count,Persons,12
