site_name,site_area_hectares,site_area_square_metres,designation_date,risk_survey_reference,lon,lat
Ashton upon Mersey,  4.4625455,44625.455,1976-05-04,9014,-2.343639303400225,53.433071381792075
Goose Green,  0.3234115,3234.115,1973-02-04,9023,-2.350211562951662,53.38544092454435
Ashley Heath, 20.6627402,206627.402,1974-07-04,9013,-2.3493824521562736,53.37171558390412
Barton-upon-Irwell,  3.5363129,35363.129,1976-02-01,9015,-2.353342090471862,53.4736051987522
Bowdon, 68.5612192,685612.192,1973-02-06,9016,-2.3590323582335198,53.37746630954767
Brogden Grove,  0.7294362,7294.362,1976-05-04,9017,-2.3302814656595014,53.41960963786397
Dunham Town, 15.7353664,157353.664,1975-07-01,9018,-2.3932261801162853,53.386382506074014
Dunham Woodhouses,  6.6532452,66532.452,1975-07-29,9019,-2.4149138323534056,53.38848799410233
Empress,  6.6672537,66672.537,1995-11-21,9020,-2.2685693511115947,53.4659290693278
Flixton,  3.1020667,31020.667,1975-07-01,9021,-2.3826752684857304,53.44201319213736
George Street,  1.3900414,13900.414,1987-03-12,9022,-2.351042254156471,53.38660948427727
Hale Station, 10.1814940,101814.94,1986-08-14,9024,-2.3477038117310722,53.377868524137725
Linotype Housing Estate,  7.5714461,75714.461,1985-07-04,9025,-2.356983786213128,53.39547516697959
Longford, 28.7845431,287845.431,1996-09-25,9026,-2.2904989877017394,53.44831326515078
Old Market Place, 16.2526971,162526.971,1973-02-08,9028,-2.3522186984883375,53.38886304315118
Sandiway,  3.7462147,37462.147,1975-12-02,9030,-2.352613354967557,53.39287478283016
South Hale,168.2643102,1682643.102,1986-02-25,9031,-2.327393868657985,53.370309915267185
Stamford New Road,  4.7674161,47674.161,1987-06-16,9032,-2.349517750203606,53.38651693254643
Devisdale,141.0022102,1410022.102,1974-07-04,9029,-2.3678108418600328,53.383695273759585
The Downs, 19.6630780,196630.78,1973-02-08,9027,-2.354373418700116,53.383191061793795
Warburton Village,  5.0183899,50183.899,1975-07-29,9033,-2.454849395076066,53.40203601317174
