area_code,area_name,geography,period,indicator,student_status,measure,unit,value
E05000819,Altrincham,Electoral ward,2021-03-21,"Whether a person aged 5 years and over was in full-time education on Census Day, 21 March 2021. This includes schoolchildren and adults in full-time education. Schoolchildren and students in full-time education studying away from home are treated as usually resident at their term-time address",Student,Count,Persons,2563
E05000819,Altrincham,Electoral ward,2021-03-21,"Whether a person aged 5 years and over was in full-time education on Census Day, 21 March 2021. This includes schoolchildren and adults in full-time education. Schoolchildren and students in full-time education studying away from home are treated as usually resident at their term-time address",Not a student,Count,Persons,9610
E05000820,Ashton upon Mersey,Electoral ward,2021-03-21,"Whether a person aged 5 years and over was in full-time education on Census Day, 21 March 2021. This includes schoolchildren and adults in full-time education. Schoolchildren and students in full-time education studying away from home are treated as usually resident at their term-time address",Student,Count,Persons,1936
E05000820,Ashton upon Mersey,Electoral ward,2021-03-21,"Whether a person aged 5 years and over was in full-time education on Census Day, 21 March 2021. This includes schoolchildren and adults in full-time education. Schoolchildren and students in full-time education studying away from home are treated as usually resident at their term-time address",Not a student,Count,Persons,7817
E05000821,Bowdon,Electoral ward,2021-03-21,"Whether a person aged 5 years and over was in full-time education on Census Day, 21 March 2021. This includes schoolchildren and adults in full-time education. Schoolchildren and students in full-time education studying away from home are treated as usually resident at their term-time address",Student,Count,Persons,1829
E05000821,Bowdon,Electoral ward,2021-03-21,"Whether a person aged 5 years and over was in full-time education on Census Day, 21 March 2021. This includes schoolchildren and adults in full-time education. Schoolchildren and students in full-time education studying away from home are treated as usually resident at their term-time address",Not a student,Count,Persons,6949
E05000822,Broadheath,Electoral ward,2021-03-21,"Whether a person aged 5 years and over was in full-time education on Census Day, 21 March 2021. This includes schoolchildren and adults in full-time education. Schoolchildren and students in full-time education studying away from home are treated as usually resident at their term-time address",Student,Count,Persons,3145
E05000822,Broadheath,Electoral ward,2021-03-21,"Whether a person aged 5 years and over was in full-time education on Census Day, 21 March 2021. This includes schoolchildren and adults in full-time education. Schoolchildren and students in full-time education studying away from home are treated as usually resident at their term-time address",Not a student,Count,Persons,10248
E05000823,Brooklands,Electoral ward,2021-03-21,"Whether a person aged 5 years and over was in full-time education on Census Day, 21 March 2021. This includes schoolchildren and adults in full-time education. Schoolchildren and students in full-time education studying away from home are treated as usually resident at their term-time address",Student,Count,Persons,2135
E05000823,Brooklands,Electoral ward,2021-03-21,"Whether a person aged 5 years and over was in full-time education on Census Day, 21 March 2021. This includes schoolchildren and adults in full-time education. Schoolchildren and students in full-time education studying away from home are treated as usually resident at their term-time address",Not a student,Count,Persons,7798
