area_code,area_name,geography,period,indicator,student_status,measure,unit,value
E01006109,Trafford 001A,Lower-layer Super Output Area,2021-03-21,"Whether a person aged 5 years and over was in full-time education on Census Day, 21 March 2021. This includes schoolchildren and adults in full-time education. Schoolchildren and students in full-time education studying away from home are treated as usually resident at their term-time address",Student,Count,Persons,255
E01006109,Trafford 001A,Lower-layer Super Output Area,2021-03-21,"Whether a person aged 5 years and over was in full-time education on Census Day, 21 March 2021. This includes schoolchildren and adults in full-time education. Schoolchildren and students in full-time education studying away from home are treated as usually resident at their term-time address",Not a student,Count,Persons,821
E01006110,Trafford 001B,Lower-layer Super Output Area,2021-03-21,"Whether a person aged 5 years and over was in full-time education on Census Day, 21 March 2021. This includes schoolchildren and adults in full-time education. Schoolchildren and students in full-time education studying away from home are treated as usually resident at their term-time address",Student,Count,Persons,467
E01006110,Trafford 001B,Lower-layer Super Output Area,2021-03-21,"Whether a person aged 5 years and over was in full-time education on Census Day, 21 March 2021. This includes schoolchildren and adults in full-time education. Schoolchildren and students in full-time education studying away from home are treated as usually resident at their term-time address",Not a student,Count,Persons,1269
E01006111,Trafford 001C,Lower-layer Super Output Area,2021-03-21,"Whether a person aged 5 years and over was in full-time education on Census Day, 21 March 2021. This includes schoolchildren and adults in full-time education. Schoolchildren and students in full-time education studying away from home are treated as usually resident at their term-time address",Student,Count,Persons,544
E01006111,Trafford 001C,Lower-layer Super Output Area,2021-03-21,"Whether a person aged 5 years and over was in full-time education on Census Day, 21 March 2021. This includes schoolchildren and adults in full-time education. Schoolchildren and students in full-time education studying away from home are treated as usually resident at their term-time address",Not a student,Count,Persons,1109
E01006112,Trafford 001D,Lower-layer Super Output Area,2021-03-21,"Whether a person aged 5 years and over was in full-time education on Census Day, 21 March 2021. This includes schoolchildren and adults in full-time education. Schoolchildren and students in full-time education studying away from home are treated as usually resident at their term-time address",Student,Count,Persons,542
E01006112,Trafford 001D,Lower-layer Super Output Area,2021-03-21,"Whether a person aged 5 years and over was in full-time education on Census Day, 21 March 2021. This includes schoolchildren and adults in full-time education. Schoolchildren and students in full-time education studying away from home are treated as usually resident at their term-time address",Not a student,Count,Persons,1355
E01006188,Trafford 001F,Lower-layer Super Output Area,2021-03-21,"Whether a person aged 5 years and over was in full-time education on Census Day, 21 March 2021. This includes schoolchildren and adults in full-time education. Schoolchildren and students in full-time education studying away from home are treated as usually resident at their term-time address",Student,Count,Persons,466
E01006188,Trafford 001F,Lower-layer Super Output Area,2021-03-21,"Whether a person aged 5 years and over was in full-time education on Census Day, 21 March 2021. This includes schoolchildren and adults in full-time education. Schoolchildren and students in full-time education studying away from home are treated as usually resident at their term-time address",Not a student,Count,Persons,1397
E01034000,Trafford 001G,Lower-layer Super Output Area,2021-03-21,"Whether a person aged 5 years and over was in full-time education on Census Day, 21 March 2021. This includes schoolchildren and adults in full-time education. Schoolchildren and students in full-time education studying away from home are treated as usually resident at their term-time address",Student,Count,Persons,331
