id,name,address,postcode,ward_code,ward_name,la_code,la_name,lon,lat
4706,Ashton-Upon-Mersey United Reformed Church,"20 Whitefield Road, Sale",M33 6NZ,E05000820,Ashton upon Mersey,E08000009,Trafford,-2.32931,53.42824
4593,Park Road Academy Primary School,"Frieston Road, Timperley",WA14 5AP,E05000822,Broadheath,E08000009,Trafford,-2.340089,53.40608
4482,Moss Park Junior School,"Moss Park Road, Stretford",M32 9HR,E05000836,Stretford,E08000009,Trafford,-2.322583,53.448149
4570,Heyes Lane Primary School,"Crofton Avenue, Timperley",WA15 6BZ,E05000837,Timperley,E08000009,Trafford,-2.325453,53.406058
4472,St Matthews Hall - Horrocks Room,"Chapel Lane, Stretford",M32 9AJ,E05000836,Stretford,E08000009,Trafford,-2.311646,53.443362
4557,Oldfield Brow Primary School,"Taylor Road, Altrincham",WA14 4LE,E05000819,Altrincham,E08000009,Trafford,-2.377778,53.391774
4565,St Vincents Catholic Primary School,"Junior Department, Orchard Road, Altrincham",WA15 8EU,E05000819,Altrincham,E08000009,Trafford,-2.344485,53.389771
4614,St Lukes Church,"Vicarage Lane, Bowdon",WA14 3BJ,E05000821,Bowdon,E08000009,Trafford,-2.361832,53.371491
4661,St Francis Church Hall,"Budworth Road, Sale",M33 2RP,E05000835,Sale Moor,E08000009,Trafford,-2.297843,53.415739
4747,Christ Church,"Thorley Lane, Timperley",WA15 7AN,E05000830,Hale Barns,E08000009,Trafford,-2.316835,53.390046
4648,Brooklands Primary School,"Woodbourne Road, Sale",M33 3SY,E05000823,Brooklands,E08000009,Trafford,-2.326637,53.413426
4529,Davyhulme Primary School,"Canterbury Road, Davyhulme",M41 0RX,E05000826,Davyhulme East,E08000009,Trafford,-2.351148,53.453966
4549,Sale West Conference Centre,"Room 3, Manor Avenue, Sale",M33 5JX,E05000824,Bucklow-St Martins,E08000009,Trafford,-2.354017,53.425967
4598,2ND Timperley Scout HQ,"Heyes Drive, Timperley",WA15 6ED,E05000839,Village,E08000009,Trafford,-2.322666,53.401509
4573,Holy Cross Church Hall,"Park Road, Timperley",WA15 6QG,E05000837,Timperley,E08000009,Trafford,-2.332331,53.40266
4628,The Parish Room,"Bent Lane, Warburton",WA13 9TQ,E05000821,Bowdon,E08000009,Trafford,-2.445414,53.399028
4707,St Mary Magdalene with Sale West Community Church,"44 Moss Lane, Sale",M33 6GD,E05000820,Ashton upon Mersey,E08000009,Trafford,-2.33774,53.424738
4578,Altrincham United Reformed Church,"Woodlands Parkway, Timperley, Altrincham",WA15 7QT,E05000837,Timperley,E08000009,Trafford,-2.341551,53.39333
4460,Kings Road Primary School,"Kings Road, Firswood",M16 0GR,E05000832,Longford,E08000009,Trafford,-2.281652,53.453979
4682,Stretford Sports Village Chester Centre,"Great Stone Road, Stretford",M32 0ZS,E05000829,Gorse Hill,E08000009,Trafford,-2.292675,53.458331
4669,Sale Waterside,"1 Waterside, Sale",M33 7ZF,E05000833,Priory,E08000009,Trafford,-2.32,53.425111
4672,Sale Sports Club,"Clarendon Crescent, Sale",M33 2DE,E05000833,Priory,E08000009,Trafford,-2.305251,53.426838
4797,St Joseph`s Parish Centre,"Hope Road, Sale",M33 3BF,E05000833,Priory,E08000009,Trafford,-2.319997,53.422583
4576,Timperley Methodist Church,"Stockport Road, Timperley",WA15 7UG,E05000837,Timperley,E08000009,Trafford,-2.318906,53.397499
4643,The Life Centre,"235 Washway Road, Sale",M33 4BP,E05000823,Brooklands,E08000009,Trafford,-2.336595,53.415061
4684,Gorse Hill Studios,"Cavendish Road, Stretford",M32 0PS,E05000829,Gorse Hill,E08000009,Trafford,-2.300093,53.457413
4597,Mobile Polling Station Broadheath,"Corner of St Andrews Avenue, and Bridge Grove, Timperley",WA15 6LD,E05000822,Broadheath,E08000009,Trafford,-2.338426,53.399424
4468,Longford Park Special School,"74 Cromwell Road, Stretford",M32 8QJ,E05000832,Longford,E08000009,Trafford,-2.294365,53.447952
4507,Flixton Primary School,"Delamere Road, Flixton",M41 5QL,E05000828,Flixton,E08000009,Trafford,-2.378333,53.449209
4723,Carrington Lane Methodist Church,"34 Ennerdale Drive, Sale",M33 5NE,E05000820,Ashton upon Mersey,E08000009,Trafford,-2.34289,53.427016
4655,Sale Moor Community Centre,"Norris Road, Sale",M33 2TN,E05000823,Brooklands,E08000009,Trafford,-2.303598,53.414709
4585,Broadheath Community Hall,"160 Sinderland Road, Altrincham",WA14 5JQ,E05000822,Broadheath,E08000009,Trafford,-2.360126,53.404465
4452,Urmston Leisure Centre,"Bowfell Road, Urmston",M41 5RR,E05000828,Flixton,E08000009,Trafford,-2.370201,53.451021
4456,St Ann's Parish Centre,"Cross Street, Off Chester Road, Stretford",M32 8LF,E05000832,Longford,E08000009,Trafford,-2.303883,53.448297
4504,Shawe Hall Community Centre,"Church Road, Flixton",M41 6HJ,E05000828,Flixton,E08000009,Trafford,-2.37007,53.442682
4561,Altrincham Methodist Church,"Barrington Road, Altrincham",WA14 1HF,E05000819,Altrincham,E08000009,Trafford,-2.349286,53.390378
4538,Carrington Business Park,"Manchester Road, Carrington",M31 4DD,E05000824,Bucklow-St Martins,E08000009,Trafford,-2.400958,53.431219
4794,St Peter`s House,"233 Ashley Road, Hale",WA15 9SS,E05000831,Hale Central,E08000009,Trafford,-2.342116,53.375639
4647,Mobile Polling Station,"Eastway/Walton Road, Sale",M33 4ER,E05000823,Brooklands,E08000009,Trafford,-2.337878,53.408028
4651,Clubhouse Sale Football Club,"Heywood Road, Sale",M33 3WB,E05000823,Brooklands,E08000009,Trafford,-2.321895,53.416915
4606,St Johns Church Hall,"Brooklands Road, Sale",M33 3PB,E05000839,Village,E08000009,Trafford,-2.317693,53.408371
4658,Sale Moor Methodist Church,"Northenden Road, Sale Moor",M33 2PP,E05000835,Sale Moor,E08000009,Trafford,-2.293477,53.419597
4542,Our Lady of Lourdes Catholic Primary,"Lock Lane, Partington",M31 4PJ,E05000824,Bucklow-St Martins,E08000009,Trafford,-2.436427,53.418701
4694,All Saints Church,"Hale Road, Hale Barns",WA15 8SP,E05000830,Hale Barns,E08000009,Trafford,-2.314574,53.369134
4591,Woodheys Park Pavilion,"Kenmore Road/Woodhouse Lane, Sale",M33 4LP,E05000822,Broadheath,E08000009,Trafford,-2.355328,53.409919
4499,Unitarian Church Hall,"Queens Road, Urmston",M41 9HA,E05000838,Urmston,E08000009,Trafford,-2.352896,53.445009
4632,2ND Hale Scout HQ,"Lilac Road, Hale",WA15 8BJ,E05000831,Hale Central,E08000009,Trafford,-2.330278,53.380454
4545,Partington Community Centre,"Central Road, Partington",M31 4FL,E05000824,Bucklow-St Martins,E08000009,Trafford,-2.42617,53.417784
4493,Community Centre,"Humphrey Lane, Urmston",M41 9PT,E05000838,Urmston,E08000009,Trafford,-2.331202,53.45094
4479,Metros Sports and Social Club,"Moss Road, Stretford",M32 0AH,E05000836,Stretford,E08000009,Trafford,-2.310018,53.451213
4687,All Saints Church Hall,"Barton Road, Stretford",M32 9RL,E05000829,Gorse Hill,E08000009,Trafford,-2.322083,53.453689
4665,St Annes Church Hall,"Trinity Road, Sale",M33 3ED,E05000835,Sale Moor,E08000009,Trafford,-2.307114,53.420228
4486,Sevenways Methodist Church,"Barton Road, Stretford",M32 9RD,E05000836,Stretford,E08000009,Trafford,-2.316342,53.449228
4532,Christ Church Hall,"Lostock Road, Urmston",M41 0TD,E05000826,Davyhulme East,E08000009,Trafford,-2.346071,53.45737
4513,Flixton House,"Flixton Road, Flixton",M41 5GJ,E05000828,Flixton,E08000009,Trafford,-2.383185,53.446405
4581,St Albans Hall,"Lindsell Road, West Timperley, Altrincham",WA14 5NX,E05000822,Broadheath,E08000009,Trafford,-2.353799,53.40329
4445,Old Trafford Community Academy,"Malvern Street, Old Trafford",M15 4FL,E05000825,Clifford,E08000009,Trafford,-2.265141,53.465109
4464,Old Trafford Sports Barn,"St Hildas Road, Old Trafford",M16 9PQ,E05000832,Longford,E08000009,Trafford,-2.271909,53.461148
4718,Sale West Community Centre,"Newbury Avenue, Sale",M33 4QW,E05000834,St Mary's,E08000009,Trafford,-2.358027,53.419619
4621,Jubilee Centre,"The Firs, Bowdon",WA14 2TQ,E05000821,Bowdon,E08000009,Trafford,-2.362827,53.378931
4510,Flixton Cricket and Sports Club,"Lawrence Road, Flixton",M41 8UU,E05000828,Flixton,E08000009,Trafford,-2.386736,53.451167
4535,Our Lady and the English Martyrs Parish Centre,"Davyhulme Road, Urmston",M41 7DS,E05000826,Davyhulme East,E08000009,Trafford,-2.360543,53.457255
4496,Urmston Library,"34 Golden Way, Urmston",M41 0NA,E05000838,Urmston,E08000009,Trafford,-2.354722,53.449093
