id,name,address,postcode,ward_code,ward_name,la_code,la_name,lon,lat
4386,Elton Centre,"David Street, Bury",BL8 1SA,E05000673,Elton,E08000002,Bury,-2.316675,53.599001
4423,Mosses Centre,"(Rear of), Cecil Street, Bury",BL9 0SB,E05000672,East,E08000002,Bury,-2.291682,53.590166
4511,Mobile on car park of Blue Bell Hotel,"840 Manchester Road, Bury",BL9 9TP,E05000686,Unsworth,E08000002,Bury,-2.290322,53.56393
4512,Mobile on car park at rear of Cross Keys Hotel,"24 Lilyhill Street, Whitefield",M45 7GZ,E05000677,Pilkington Park,E08000002,Bury,-2.298261,53.5547
4529,Whitefield CP School,"Victoria Avenue, Whitefield",M45 6DP,E05000670,Besses,E08000002,Bury,-2.285499,53.546965
4570,The Croft at St Hildas Church,"Whittaker Lane, Prestwich, Manchester",M25 1HA,E05000684,Sedgley,E08000002,Bury,-2.268138,53.529514
4547,Heaton Park CP School,"Early Years Centre, Cuckoo Lane, Whitefield",M45 6TE,E05000674,Holyrood,E08000002,Bury,-2.2789,53.53952
4508,St Philips Community Centre,"Higher Dean Street, Radcliffe",M26 3TE,E05000680,Radcliffe West,E08000002,Bury,-2.343652,53.562425
4534,Mobile Van on Corner Of,"Heywood Old Road, And Baguley Crescent, Rhodes, Middleton",M24 4QT,E05000674,Holyrood,E08000002,Bury,-2.237747,53.541335
4501,Nursery Building St Johns CEP School,"Johnson Street, Radcliffe",M26 1AW,E05000680,Radcliffe West,E08000002,Bury,-2.324705,53.554799
4373,Affetside Congregational Chapel,"Watling Street, Affetside, Tottington",BL8 3QW,E05000685,Tottington,E08000002,Bury,-2.372261,53.619278
4517,Mobile on car park of Goats Gate Inn,"83 Radcliffe New Road, Whitefield",M45 7QZ,E05000677,Pilkington Park,E08000002,Bury,-2.300593,53.554009
4505,Radcliffe United Reformed Church,"Blackburn Street, Radcliffe, Manchester",M26 3WQ,E05000680,Radcliffe West,E08000002,Bury,-2.328126,53.561828
