name,type,address,postcode,area_name,long,lat
A1 Chip Stop,Takeaway/sandwich shop," 280 Chorley New Road, Horwich, Bolton",BL6 5NY,Bolton,-2.543576,53.593241
A1 Chippy,Takeaway/sandwich shop," 59 Church Street, Westhoughton, Bolton",BL5 3RU,Bolton,-2.525263,53.550475
Allen's Fried Chicken,Takeaway/sandwich shop," 333 Bury Road, Bolton",BL2 6BB,Bolton,-2.40544,53.580711
Andy Joes Chicken Shack,Takeaway/sandwich shop,"Westhoughton Market Hall, 70 Market Street, Westhoughton, Bolton",BL5 3AZ,Bolton,-2.524234,53.54913
Angie Foods Kitchen MX66 LFT,Takeaway/sandwich shop," 53 Redcedar Park, Bolton",BL2 6GJ,Bolton,-2.394209,53.571696
Bake 'N' Butty,Takeaway/sandwich shop,"Stall F13 Ashburner Street Market, Ashburner Street, Bolton",BL1 1TQ,Bolton,-2.432569,53.576498
Bella Pizza,Takeaway/sandwich shop,"Unit 1 Octagon Court, Howell Croft South, Bolton",BL1 1UR,Bolton,-2.430611,53.577
Blackrod Fish and Pizza Bar,Takeaway/sandwich shop," 8 Blackhorse Street, Blackrod, Bolton",BL6 5EW,Bolton,-2.587278,53.59493
Bradshaw Tandoori,Takeaway/sandwich shop," 114 Bradshaw Brow, Bolton",BL2 3DD,Bolton,-2.406826,53.602287
Caesars,Takeaway/sandwich shop," 440 Blackburn Road, Bolton",BL1 8NL,Bolton,-2.432533,53.598062
Chaes Chips,Takeaway/sandwich shop," 121-123 Lea Gate, Bolton",BL2 4BQ,Bolton,-2.39626,53.605244
Chaes Fish And Chips,Takeaway/sandwich shop," 91 Tonge Moor Road, Bolton",BL2 2DL,Bolton,-2.414175,53.58735
Chilli's Pizza,Takeaway/sandwich shop," 113 Market Street, Farnworth, Bolton",BL4 8EX,Bolton,-2.392664,53.548296
China Palace,Takeaway/sandwich shop," 813 Chorley Old Road, Bolton",BL1 5SL,Bolton,-2.476536,53.590246
Chipsrus,Takeaway/sandwich shop," 14 Tonge Old Road, Bolton",BL2 6BH,Bolton,-2.404983,53.580281
Curry King,Takeaway/sandwich shop," 319 Bury Road, Bolton",BL2 6BB,Bolton,-2.40544,53.580711
D & L Sumner Quality Fish & Chips,Takeaway/sandwich shop," 188 Arnold Street, Bolton",BL1 3EX,Bolton,-2.450287,53.592379
Domino's Pizza,Takeaway/sandwich shop," 590-592 Blackburn Road, Bolton",BL1 7AL,Bolton,-2.432378,53.602188
Domino's Pizza,Takeaway/sandwich shop," 33 Derby Street, Bolton",BL3 6HE,Bolton,-2.434813,53.572886
Domino's Pizza,Takeaway/sandwich shop," 256 Chorley New Road, Horwich, Bolton",BL6 5NP,Bolton,-2.545783,53.594533
Dragon House,Takeaway/sandwich shop," 103 Longcauseway, Farnworth, Bolton",BL4 9BW,Bolton,-2.395506,53.543928
For the cake of it,Takeaway/sandwich shop," 1 Whitehead Crescent, Stoneclough Radcliffe, Bolton",M26 1EZ,Bolton,-2.363174,53.544937
Francas,Takeaway/sandwich shop," 193 St Georges Road, Bolton",BL1 2PG,Bolton,-2.438059,53.581647
Freshbake,Takeaway/sandwich shop," 70 Market Street, Westhoughton, Bolton",BL5 3AZ,Bolton,-2.524235,53.549131
German Sausage,Takeaway/sandwich shop,"Unit 6 Riverdale Business Park, Hacken Lane, Bolton",BL1 1SJ,Bolton,-2.40213,53.5682578
Golden Harvest,Takeaway/sandwich shop," 155 Chorley New Road, Horwich, Bolton",BL6 5QE,Bolton,-2.550015,53.59811
Golden House,Takeaway/sandwich shop," 5 Derwent Road, Farnworth, Bolton",BL4 0QE,Bolton,-2.42935,53.546417
Greggs,Takeaway/sandwich shop," 64-66 Deansgate, Bolton",BL1 1BG,Bolton,-2.42907,53.579998
Grilleville Express,Takeaway/sandwich shop," 65 Knowsley Street, Bolton",BL1 2AS,Bolton,-2.430859,53.580675
Ian's Fish & Chips Ltd,Takeaway/sandwich shop," 71 Lever Street, Bolton",BL3 2AB,Bolton,-2.424478,53.569319
Indian Ocean,Takeaway/sandwich shop," 79 Market Street, Westhoughton, Bolton",BL5 3AA,Bolton,-2.524201,53.548834
Italiano,Takeaway/sandwich shop," 91 Market Street, Westhoughton, Bolton",BL5 3AA,Bolton,-2.524201,53.548834
Italiano,Takeaway/sandwich shop," 337 Chorley New Road, Horwich, Bolton",BL6 5PP,Bolton,-2.542212,53.592923
