area_code,area_name,geography,period,indicator,ethnic_group,measure,unit,value
E08000001,Bolton,Local authority,2021-03-21,The ethnic group that the person completing the census feels they belong to,"Asian, Asian British or Asian Welsh: Bangladeshi",Frequency,Persons,985
E08000001,Bolton,Local authority,2021-03-21,The ethnic group that the person completing the census feels they belong to,"Asian, Asian British or Asian Welsh: Chinese",Frequency,Persons,1123
E08000001,Bolton,Local authority,2021-03-21,The ethnic group that the person completing the census feels they belong to,"Asian, Asian British or Asian Welsh: Indian",Frequency,Persons,26238
E08000001,Bolton,Local authority,2021-03-21,The ethnic group that the person completing the census feels they belong to,"Asian, Asian British or Asian Welsh: Pakistani",Frequency,Persons,27897
E08000001,Bolton,Local authority,2021-03-21,The ethnic group that the person completing the census feels they belong to,"Asian, Asian British or Asian Welsh: Other Asian",Frequency,Persons,3353
E08000001,Bolton,Local authority,2021-03-21,The ethnic group that the person completing the census feels they belong to,"Black, Black British, Black Welsh, Caribbean or African: African",Frequency,Persons,9299
E08000001,Bolton,Local authority,2021-03-21,The ethnic group that the person completing the census feels they belong to,"Black, Black British, Black Welsh, Caribbean or African: Caribbean",Frequency,Persons,603
E08000001,Bolton,Local authority,2021-03-21,The ethnic group that the person completing the census feels they belong to,"Black, Black British, Black Welsh, Caribbean or African: Other Black",Frequency,Persons,1336
E08000001,Bolton,Local authority,2021-03-21,The ethnic group that the person completing the census feels they belong to,Mixed or Multiple ethnic groups: White and Asian,Frequency,Persons,2338
E08000001,Bolton,Local authority,2021-03-21,The ethnic group that the person completing the census feels they belong to,Mixed or Multiple ethnic groups: White and Black African,Frequency,Persons,1242
E08000001,Bolton,Local authority,2021-03-21,The ethnic group that the person completing the census feels they belong to,Mixed or Multiple ethnic groups: White and Black Caribbean,Frequency,Persons,1737
E08000001,Bolton,Local authority,2021-03-21,The ethnic group that the person completing the census feels they belong to,Mixed or Multiple ethnic groups: Other Mixed or Multiple ethnic groups,Frequency,Persons,1326
E08000001,Bolton,Local authority,2021-03-21,The ethnic group that the person completing the census feels they belong to,"White: English, Welsh, Scottish, Northern Irish or British",Frequency,Persons,203486
E08000001,Bolton,Local authority,2021-03-21,The ethnic group that the person completing the census feels they belong to,White: Irish,Frequency,Persons,1430
E08000001,Bolton,Local authority,2021-03-21,The ethnic group that the person completing the census feels they belong to,White: Gypsy or Irish Traveller,Frequency,Persons,519
E08000001,Bolton,Local authority,2021-03-21,The ethnic group that the person completing the census feels they belong to,White: Roma,Frequency,Persons,373
E08000001,Bolton,Local authority,2021-03-21,The ethnic group that the person completing the census feels they belong to,White: Other White,Frequency,Persons,7133
E08000001,Bolton,Local authority,2021-03-21,The ethnic group that the person completing the census feels they belong to,Other ethnic group: Arab,Frequency,Persons,1812
E08000001,Bolton,Local authority,2021-03-21,The ethnic group that the person completing the census feels they belong to,Other ethnic group: Any other ethnic group,Frequency,Persons,3730
E08000002,Bury,Local authority,2021-03-21,The ethnic group that the person completing the census feels they belong to,"Asian, Asian British or Asian Welsh: Bangladeshi",Frequency,Persons,480
E08000002,Bury,Local authority,2021-03-21,The ethnic group that the person completing the census feels they belong to,"Asian, Asian British or Asian Welsh: Chinese",Frequency,Persons,1055
E08000002,Bury,Local authority,2021-03-21,The ethnic group that the person completing the census feels they belong to,"Asian, Asian British or Asian Welsh: Indian",Frequency,Persons,1866
E08000002,Bury,Local authority,2021-03-21,The ethnic group that the person completing the census feels they belong to,"Asian, Asian British or Asian Welsh: Pakistani",Frequency,Persons,15148
E08000002,Bury,Local authority,2021-03-21,The ethnic group that the person completing the census feels they belong to,"Asian, Asian British or Asian Welsh: Other Asian",Frequency,Persons,2044
E08000002,Bury,Local authority,2021-03-21,The ethnic group that the person completing the census feels they belong to,"Black, Black British, Black Welsh, Caribbean or African: African",Frequency,Persons,2520
