area_code,area_name,geography,period,indicator,ethnic_diversity,measure,unit,value
E02001259,Trafford 001,Middle-layer Super Output Area,2021-03-21,Diversity in ethnic group of household members in different relationships,One-person household,Frequency,Households,1801
E02001259,Trafford 001,Middle-layer Super Output Area,2021-03-21,Diversity in ethnic group of household members in different relationships,All household members have the same ethnic group,Frequency,Households,2161
E02001259,Trafford 001,Middle-layer Super Output Area,2021-03-21,Diversity in ethnic group of household members in different relationships,Ethnic groups differ between generations but not within partnerships,Frequency,Households,178
E02001259,Trafford 001,Middle-layer Super Output Area,2021-03-21,Diversity in ethnic group of household members in different relationships,Ethnic groups differ within partnerships,Frequency,Households,348
E02001259,Trafford 001,Middle-layer Super Output Area,2021-03-21,Diversity in ethnic group of household members in different relationships,Any other combination of multiple ethnic identities,Frequency,Households,275
E02001260,Trafford 002,Middle-layer Super Output Area,2021-03-21,Diversity in ethnic group of household members in different relationships,One-person household,Frequency,Households,738
E02001260,Trafford 002,Middle-layer Super Output Area,2021-03-21,Diversity in ethnic group of household members in different relationships,All household members have the same ethnic group,Frequency,Households,2045
E02001260,Trafford 002,Middle-layer Super Output Area,2021-03-21,Diversity in ethnic group of household members in different relationships,Ethnic groups differ between generations but not within partnerships,Frequency,Households,50
E02001260,Trafford 002,Middle-layer Super Output Area,2021-03-21,Diversity in ethnic group of household members in different relationships,Ethnic groups differ within partnerships,Frequency,Households,207
E02001260,Trafford 002,Middle-layer Super Output Area,2021-03-21,Diversity in ethnic group of household members in different relationships,Any other combination of multiple ethnic identities,Frequency,Households,35
E02001261,Trafford 003,Middle-layer Super Output Area,2021-03-21,Diversity in ethnic group of household members in different relationships,One-person household,Frequency,Households,1125
E02001261,Trafford 003,Middle-layer Super Output Area,2021-03-21,Diversity in ethnic group of household members in different relationships,All household members have the same ethnic group,Frequency,Households,1892
E02001261,Trafford 003,Middle-layer Super Output Area,2021-03-21,Diversity in ethnic group of household members in different relationships,Ethnic groups differ between generations but not within partnerships,Frequency,Households,153
E02001261,Trafford 003,Middle-layer Super Output Area,2021-03-21,Diversity in ethnic group of household members in different relationships,Ethnic groups differ within partnerships,Frequency,Households,365
E02001261,Trafford 003,Middle-layer Super Output Area,2021-03-21,Diversity in ethnic group of household members in different relationships,Any other combination of multiple ethnic identities,Frequency,Households,128
E02001262,Trafford 004,Middle-layer Super Output Area,2021-03-21,Diversity in ethnic group of household members in different relationships,One-person household,Frequency,Households,841
E02001262,Trafford 004,Middle-layer Super Output Area,2021-03-21,Diversity in ethnic group of household members in different relationships,All household members have the same ethnic group,Frequency,Households,1662
E02001262,Trafford 004,Middle-layer Super Output Area,2021-03-21,Diversity in ethnic group of household members in different relationships,Ethnic groups differ between generations but not within partnerships,Frequency,Households,113
E02001262,Trafford 004,Middle-layer Super Output Area,2021-03-21,Diversity in ethnic group of household members in different relationships,Ethnic groups differ within partnerships,Frequency,Households,298
E02001262,Trafford 004,Middle-layer Super Output Area,2021-03-21,Diversity in ethnic group of household members in different relationships,Any other combination of multiple ethnic identities,Frequency,Households,167
E02001263,Trafford 005,Middle-layer Super Output Area,2021-03-21,Diversity in ethnic group of household members in different relationships,One-person household,Frequency,Households,883
E02001263,Trafford 005,Middle-layer Super Output Area,2021-03-21,Diversity in ethnic group of household members in different relationships,All household members have the same ethnic group,Frequency,Households,2275
E02001263,Trafford 005,Middle-layer Super Output Area,2021-03-21,Diversity in ethnic group of household members in different relationships,Ethnic groups differ between generations but not within partnerships,Frequency,Households,30
E02001263,Trafford 005,Middle-layer Super Output Area,2021-03-21,Diversity in ethnic group of household members in different relationships,Ethnic groups differ within partnerships,Frequency,Households,193
E02001263,Trafford 005,Middle-layer Super Output Area,2021-03-21,Diversity in ethnic group of household members in different relationships,Any other combination of multiple ethnic identities,Frequency,Households,30
E02001264,Trafford 006,Middle-layer Super Output Area,2021-03-21,Diversity in ethnic group of household members in different relationships,One-person household,Frequency,Households,772
E02001264,Trafford 006,Middle-layer Super Output Area,2021-03-21,Diversity in ethnic group of household members in different relationships,All household members have the same ethnic group,Frequency,Households,2070
E02001264,Trafford 006,Middle-layer Super Output Area,2021-03-21,Diversity in ethnic group of household members in different relationships,Ethnic groups differ between generations but not within partnerships,Frequency,Households,85
E02001264,Trafford 006,Middle-layer Super Output Area,2021-03-21,Diversity in ethnic group of household members in different relationships,Ethnic groups differ within partnerships,Frequency,Households,288
E02001264,Trafford 006,Middle-layer Super Output Area,2021-03-21,Diversity in ethnic group of household members in different relationships,Any other combination of multiple ethnic identities,Frequency,Households,85
E02001265,Trafford 007,Middle-layer Super Output Area,2021-03-21,Diversity in ethnic group of household members in different relationships,One-person household,Frequency,Households,950
E02001265,Trafford 007,Middle-layer Super Output Area,2021-03-21,Diversity in ethnic group of household members in different relationships,All household members have the same ethnic group,Frequency,Households,2184
E02001265,Trafford 007,Middle-layer Super Output Area,2021-03-21,Diversity in ethnic group of household members in different relationships,Ethnic groups differ between generations but not within partnerships,Frequency,Households,50
E02001265,Trafford 007,Middle-layer Super Output Area,2021-03-21,Diversity in ethnic group of household members in different relationships,Ethnic groups differ within partnerships,Frequency,Households,169
E02001265,Trafford 007,Middle-layer Super Output Area,2021-03-21,Diversity in ethnic group of household members in different relationships,Any other combination of multiple ethnic identities,Frequency,Households,34
E02001266,Trafford 008,Middle-layer Super Output Area,2021-03-21,Diversity in ethnic group of household members in different relationships,One-person household,Frequency,Households,1150
E02001266,Trafford 008,Middle-layer Super Output Area,2021-03-21,Diversity in ethnic group of household members in different relationships,All household members have the same ethnic group,Frequency,Households,1570
E02001266,Trafford 008,Middle-layer Super Output Area,2021-03-21,Diversity in ethnic group of household members in different relationships,Ethnic groups differ between generations but not within partnerships,Frequency,Households,91
E02001266,Trafford 008,Middle-layer Super Output Area,2021-03-21,Diversity in ethnic group of household members in different relationships,Ethnic groups differ within partnerships,Frequency,Households,220
E02001266,Trafford 008,Middle-layer Super Output Area,2021-03-21,Diversity in ethnic group of household members in different relationships,Any other combination of multiple ethnic identities,Frequency,Households,60
