area_code,area_name,geography,period,indicator,ethnic_diversity,measure,unit,value
E05000819,Altrincham,Electoral ward,2021-03-21,Diversity in ethnic group of household members in different relationships,One-person household,Count,Households,1821
E05000819,Altrincham,Electoral ward,2021-03-21,Diversity in ethnic group of household members in different relationships,All household members have the same ethnic group,Count,Households,3128
E05000819,Altrincham,Electoral ward,2021-03-21,Diversity in ethnic group of household members in different relationships,Ethnic groups differ between generations but not within partnerships,Count,Households,84
E05000819,Altrincham,Electoral ward,2021-03-21,Diversity in ethnic group of household members in different relationships,Ethnic groups differ within partnerships,Count,Households,497
E05000819,Altrincham,Electoral ward,2021-03-21,Diversity in ethnic group of household members in different relationships,Any other combination of multiple ethnic identities,Count,Households,76
E05000820,Ashton upon Mersey,Electoral ward,2021-03-21,Diversity in ethnic group of household members in different relationships,One-person household,Count,Households,1348
E05000820,Ashton upon Mersey,Electoral ward,2021-03-21,Diversity in ethnic group of household members in different relationships,All household members have the same ethnic group,Count,Households,2510
E05000820,Ashton upon Mersey,Electoral ward,2021-03-21,Diversity in ethnic group of household members in different relationships,Ethnic groups differ between generations but not within partnerships,Count,Households,57
E05000820,Ashton upon Mersey,Electoral ward,2021-03-21,Diversity in ethnic group of household members in different relationships,Ethnic groups differ within partnerships,Count,Households,352
E05000820,Ashton upon Mersey,Electoral ward,2021-03-21,Diversity in ethnic group of household members in different relationships,Any other combination of multiple ethnic identities,Count,Households,60
E05000821,Bowdon,Electoral ward,2021-03-21,Diversity in ethnic group of household members in different relationships,One-person household,Count,Households,1038
E05000821,Bowdon,Electoral ward,2021-03-21,Diversity in ethnic group of household members in different relationships,All household members have the same ethnic group,Count,Households,2262
E05000821,Bowdon,Electoral ward,2021-03-21,Diversity in ethnic group of household members in different relationships,Ethnic groups differ between generations but not within partnerships,Count,Households,58
E05000821,Bowdon,Electoral ward,2021-03-21,Diversity in ethnic group of household members in different relationships,Ethnic groups differ within partnerships,Count,Households,335
E05000821,Bowdon,Electoral ward,2021-03-21,Diversity in ethnic group of household members in different relationships,Any other combination of multiple ethnic identities,Count,Households,47
E05000822,Broadheath,Electoral ward,2021-03-21,Diversity in ethnic group of household members in different relationships,One-person household,Count,Households,1394
E05000822,Broadheath,Electoral ward,2021-03-21,Diversity in ethnic group of household members in different relationships,All household members have the same ethnic group,Count,Households,3574
E05000822,Broadheath,Electoral ward,2021-03-21,Diversity in ethnic group of household members in different relationships,Ethnic groups differ between generations but not within partnerships,Count,Households,89
E05000822,Broadheath,Electoral ward,2021-03-21,Diversity in ethnic group of household members in different relationships,Ethnic groups differ within partnerships,Count,Households,422
E05000822,Broadheath,Electoral ward,2021-03-21,Diversity in ethnic group of household members in different relationships,Any other combination of multiple ethnic identities,Count,Households,93
E05000823,Brooklands,Electoral ward,2021-03-21,Diversity in ethnic group of household members in different relationships,One-person household,Count,Households,1106
E05000823,Brooklands,Electoral ward,2021-03-21,Diversity in ethnic group of household members in different relationships,All household members have the same ethnic group,Count,Households,2612
E05000823,Brooklands,Electoral ward,2021-03-21,Diversity in ethnic group of household members in different relationships,Ethnic groups differ between generations but not within partnerships,Count,Households,52
E05000823,Brooklands,Electoral ward,2021-03-21,Diversity in ethnic group of household members in different relationships,Ethnic groups differ within partnerships,Count,Households,379
E05000823,Brooklands,Electoral ward,2021-03-21,Diversity in ethnic group of household members in different relationships,Any other combination of multiple ethnic identities,Count,Households,56
E05000824,Bucklow-St Martins,Electoral ward,2021-03-21,Diversity in ethnic group of household members in different relationships,One-person household,Count,Households,1287
E05000824,Bucklow-St Martins,Electoral ward,2021-03-21,Diversity in ethnic group of household members in different relationships,All household members have the same ethnic group,Count,Households,2559
E05000824,Bucklow-St Martins,Electoral ward,2021-03-21,Diversity in ethnic group of household members in different relationships,Ethnic groups differ between generations but not within partnerships,Count,Households,80
E05000824,Bucklow-St Martins,Electoral ward,2021-03-21,Diversity in ethnic group of household members in different relationships,Ethnic groups differ within partnerships,Count,Households,179
E05000824,Bucklow-St Martins,Electoral ward,2021-03-21,Diversity in ethnic group of household members in different relationships,Any other combination of multiple ethnic identities,Count,Households,79
E05000825,Clifford,Electoral ward,2021-03-21,Diversity in ethnic group of household members in different relationships,One-person household,Count,Households,1840
E05000825,Clifford,Electoral ward,2021-03-21,Diversity in ethnic group of household members in different relationships,All household members have the same ethnic group,Count,Households,2444
E05000825,Clifford,Electoral ward,2021-03-21,Diversity in ethnic group of household members in different relationships,Ethnic groups differ between generations but not within partnerships,Count,Households,200
E05000825,Clifford,Electoral ward,2021-03-21,Diversity in ethnic group of household members in different relationships,Ethnic groups differ within partnerships,Count,Households,411
E05000825,Clifford,Electoral ward,2021-03-21,Diversity in ethnic group of household members in different relationships,Any other combination of multiple ethnic identities,Count,Households,312
E05000826,Davyhulme East,Electoral ward,2021-03-21,Diversity in ethnic group of household members in different relationships,One-person household,Count,Households,1043
E05000826,Davyhulme East,Electoral ward,2021-03-21,Diversity in ethnic group of household members in different relationships,All household members have the same ethnic group,Count,Households,2559
E05000826,Davyhulme East,Electoral ward,2021-03-21,Diversity in ethnic group of household members in different relationships,Ethnic groups differ between generations but not within partnerships,Count,Households,61
