name,points,connection_type,kW,cost,address,postcode,operator,website,email,updated,area_code,area_name,lon,lat
Hopwood Service Station,2,CCS (Type 2 Version of Combined Coupler),50,£0.35/kWh,"800 Rochdale Road, Middleton",M24 2RB,InstaVolt Ltd,http://instavolt.co.uk/,NA,2019-02-18T18:57:00Z,E08000005,Rochdale,-2.175656,53.574602
Hopwood Service Station,2,CHAdeMO,50,£0.35/kWh,"800 Rochdale Road, Middleton",M24 2RB,InstaVolt Ltd,http://instavolt.co.uk/,NA,2019-02-18T18:57:00Z,E08000005,Rochdale,-2.175656,53.574602
River Street Car Park,2,Mennekes (Type 2),7,Free,"River Street Car Park, Rochdale",OL16 1RT,Charge Your Car,http://www.chargeyourcar.org.uk/,admin@chargeyourcar.org.uk,2018-09-19T05:17:00Z,E08000005,Rochdale,-2.15482075449222,53.616221145257
J.W. Lees Brewery,2,Tesla (Model S onwards),22,NA,"Middleton Junction, Manchester, Middleton",M24 2AX,Tesla Motors (Worldwide),http://www.teslamotors.com,NA,2018-10-03T18:17:00Z,E08000005,Rochdale,-2.173266,53.541817
Bobst LTD,8,Mennekes (Type 2),7,Free,"Pennine Business Park, Heywood",OL10 2TL,POD Point (UK),http://www.pod-point.com/,enquiries@pod-point.com,2017-11-09T17:05:00Z,E08000005,Rochdale,-2.232762,53.584575
Lowry Outlet - Salford,2,Mennekes (Type 2),22,£0.30/kWh,"1 Lowry Plaza, Salford",M50 3UB,The GeniePoint Network ( ChargePoint Services ),https://www.geniepoint.co.uk/,GenieSupport@chargepointservices.com,2019-06-17T13:31:00Z,E08000006,Salford,-2.294555,53.471442
Salford Royal Nhs Foundation Trust,2,Mennekes (Type 2),7,Free,"Stott Lane, Salford",M6 8HD,POD Point (UK),http://www.pod-point.com/,enquiries@pod-point.com,2019-05-13T13:18:00Z,E08000006,Salford,-2.324627,53.487668
Media City Multi-Storey Car Park,2,Mennekes (Type 2),22,£0.30/kWh,"Media City, Salford, Greater Manchester",M50 2GT,The GeniePoint Network ( ChargePoint Services ),https://www.geniepoint.co.uk/,GenieSupport@chargepointservices.com,2019-03-24T16:33:00Z,E08000006,Salford,-2.290234,53.475013
Limes Service Station,2,CCS (Type 2 Version of Combined Coupler),50,35p/kWh,"4 Hodge Road, Worsley",M28 3AT,InstaVolt Ltd,http://instavolt.co.uk/,NA,2019-03-21T20:40:00Z,E08000006,Salford,-2.397269,53.523301
Limes Service Station,2,CHAdeMO,50,35p/kWh,"4 Hodge Road, Worsley",M28 3AT,InstaVolt Ltd,http://instavolt.co.uk/,NA,2019-03-21T20:40:00Z,E08000006,Salford,-2.397269,53.523301
MFG Jet Oldfield Road,1,"Mennekes (Type 2, Tethered Connector)",43,£1.00 + £0.30/kWh,"Oldfield Road, Salford",M5 4NE,The GeniePoint Network ( ChargePoint Services ),https://www.geniepoint.co.uk/,GenieSupport@chargepointservices.com,2019-02-15T09:04:00Z,E08000006,Salford,-2.268782,53.477729
MFG Jet Oldfield Road,1,CHAdeMO,50,£1.00 + £0.30/kWh,"Oldfield Road, Salford",M5 4NE,The GeniePoint Network ( ChargePoint Services ),https://www.geniepoint.co.uk/,GenieSupport@chargepointservices.com,2019-02-15T09:04:00Z,E08000006,Salford,-2.268782,53.477729
MFG Jet Oldfield Road,1,CCS (Type 2 Version of Combined Coupler),50,£1.00 + £0.30/kWh,"Oldfield Road, Salford",M5 4NE,The GeniePoint Network ( ChargePoint Services ),https://www.geniepoint.co.uk/,GenieSupport@chargepointservices.com,2019-02-15T09:04:00Z,E08000006,Salford,-2.268782,53.477729
Shell Phoenix,1,CHAdeMO,50,£0.25/kWh,"Regent Road, Salford",M5 4TS,Allego BV,http://www.allego.eu/,info@allego.eu,2019-01-16T16:26:00Z,E08000006,Salford,-2.267784,53.476214
Shell Phoenix,1,CCS (Type 2 Version of Combined Coupler),50,£0.25/kWh,"Regent Road, Salford",M5 4TS,Allego BV,http://www.allego.eu/,info@allego.eu,2019-01-16T16:26:00Z,E08000006,Salford,-2.267784,53.476214
Shell Phoenix,1,"Mennekes (Type 2, Tethered Connector)",43,£0.25/kWh,"Regent Road, Salford",M5 4TS,Allego BV,http://www.allego.eu/,info@allego.eu,2019-01-16T16:26:00Z,E08000006,Salford,-2.267784,53.476214
XQ7,2,Mennekes (Type 2),4,Inclusive; for Polar Plus subscription members only,"XQ7, Taylorson Street south, Salford",M5 3FN,POLAR (UK),http://www.polarnetwork.com/,polarenquiries@chargemasterplc.com,2018-11-21T06:15:00Z,E08000006,Salford,-2.28261,53.467239
Texaco Cromwell Road,2,CCS (Type 2 Version of Combined Coupler),50,£0.35/kWh,"Cromwell Road, Salford",M6 6DA,InstaVolt Ltd,http://instavolt.co.uk/,NA,2018-11-09T14:20:00Z,E08000006,Salford,-2.272373,53.498781
Texaco Cromwell Road,2,CHAdeMO,50,£0.35/kWh,"Cromwell Road, Salford",M6 6DA,InstaVolt Ltd,http://instavolt.co.uk/,NA,2018-11-09T14:20:00Z,E08000006,Salford,-2.272373,53.498781
Novotel Manchester West Hotel,1,CCS (Type 2 Version of Combined Coupler),50,£0.108/kWh; for Polar Plus subscription members only,"Worsley Brow, Manchester",M28 2YA,POLAR (UK),http://www.polarnetwork.com/,polarenquiries@chargemasterplc.com,2019-07-02T04:29:00Z,E08000006,Salford,-2.386566811108537,53.50110276152495
