area_code,area_name,geography,period,indicator,national_identity,measure,unit,value
E08000001,Bolton,Local authority,2021-03-21,National identity,British only identity,Frequency,Persons,174855
E08000001,Bolton,Local authority,2021-03-21,National identity,English only identity,Frequency,Persons,43323
E08000001,Bolton,Local authority,2021-03-21,National identity,English and British only identity,Frequency,Persons,43301
E08000001,Bolton,Local authority,2021-03-21,National identity,Welsh only identity,Frequency,Persons,418
E08000001,Bolton,Local authority,2021-03-21,National identity,Welsh and British only identity,Frequency,Persons,199
E08000001,Bolton,Local authority,2021-03-21,National identity,Scottish only identity,Frequency,Persons,802
E08000001,Bolton,Local authority,2021-03-21,National identity,Scottish and British only identity,Frequency,Persons,316
E08000001,Bolton,Local authority,2021-03-21,National identity,Northern Irish only identity,Frequency,Persons,294
E08000001,Bolton,Local authority,2021-03-21,National identity,Northern Irish and British only identity,Frequency,Persons,106
E08000001,Bolton,Local authority,2021-03-21,National identity,Cornish only identity,Frequency,Persons,5
E08000001,Bolton,Local authority,2021-03-21,National identity,Cornish and British only identity,Frequency,Persons,4
E08000001,Bolton,Local authority,2021-03-21,National identity,Any other combination of only UK identities,Frequency,Persons,239
E08000001,Bolton,Local authority,2021-03-21,National identity,Irish only identity,Frequency,Persons,962
E08000001,Bolton,Local authority,2021-03-21,National identity,Irish and at least one UK identity,Frequency,Persons,145
E08000001,Bolton,Local authority,2021-03-21,National identity,Other identity only,Frequency,Persons,27155
E08000001,Bolton,Local authority,2021-03-21,National identity,Other identity and at least one UK identity,Frequency,Persons,3842
E08000002,Bury,Local authority,2021-03-21,National identity,British only identity,Frequency,Persons,115132
E08000002,Bury,Local authority,2021-03-21,National identity,English only identity,Frequency,Persons,31004
E08000002,Bury,Local authority,2021-03-21,National identity,English and British only identity,Frequency,Persons,29582
E08000002,Bury,Local authority,2021-03-21,National identity,Welsh only identity,Frequency,Persons,421
E08000002,Bury,Local authority,2021-03-21,National identity,Welsh and British only identity,Frequency,Persons,183
E08000002,Bury,Local authority,2021-03-21,National identity,Scottish only identity,Frequency,Persons,785
E08000002,Bury,Local authority,2021-03-21,National identity,Scottish and British only identity,Frequency,Persons,330
E08000002,Bury,Local authority,2021-03-21,National identity,Northern Irish only identity,Frequency,Persons,378
E08000002,Bury,Local authority,2021-03-21,National identity,Northern Irish and British only identity,Frequency,Persons,120
E08000002,Bury,Local authority,2021-03-21,National identity,Cornish only identity,Frequency,Persons,4
E08000002,Bury,Local authority,2021-03-21,National identity,Cornish and British only identity,Frequency,Persons,1
E08000002,Bury,Local authority,2021-03-21,National identity,Any other combination of only UK identities,Frequency,Persons,245
E08000002,Bury,Local authority,2021-03-21,National identity,Irish only identity,Frequency,Persons,1197
E08000002,Bury,Local authority,2021-03-21,National identity,Irish and at least one UK identity,Frequency,Persons,211
E08000002,Bury,Local authority,2021-03-21,National identity,Other identity only,Frequency,Persons,12109
