area_code,area_name,geography,period,indicator,national_identity,measure,unit,value
E02001259,Trafford 001,Middle-layer Super Output Area,2021-03-21,National identity,British only identity,Count,Persons,7746
E02001259,Trafford 001,Middle-layer Super Output Area,2021-03-21,National identity,English only identity,Count,Persons,544
E02001259,Trafford 001,Middle-layer Super Output Area,2021-03-21,National identity,English and British only identity,Count,Persons,773
E02001259,Trafford 001,Middle-layer Super Output Area,2021-03-21,National identity,Welsh only identity,Count,Persons,42
E02001259,Trafford 001,Middle-layer Super Output Area,2021-03-21,National identity,Welsh and British only identity,Count,Persons,13
E02001259,Trafford 001,Middle-layer Super Output Area,2021-03-21,National identity,Scottish only identity,Count,Persons,39
E02001259,Trafford 001,Middle-layer Super Output Area,2021-03-21,National identity,Scottish and British only identity,Count,Persons,14
E02001259,Trafford 001,Middle-layer Super Output Area,2021-03-21,National identity,Northern Irish only identity,Count,Persons,11
E02001259,Trafford 001,Middle-layer Super Output Area,2021-03-21,National identity,Northern Irish and British only identity,Count,Persons,11
E02001259,Trafford 001,Middle-layer Super Output Area,2021-03-21,National identity,Cornish only identity,Count,Persons,3
E02001259,Trafford 001,Middle-layer Super Output Area,2021-03-21,National identity,Cornish and British only identity,Count,Persons,0
E02001259,Trafford 001,Middle-layer Super Output Area,2021-03-21,National identity,Any other combination of only UK identities,Count,Persons,19
E02001259,Trafford 001,Middle-layer Super Output Area,2021-03-21,National identity,Irish only identity,Count,Persons,106
E02001259,Trafford 001,Middle-layer Super Output Area,2021-03-21,National identity,Irish and at least one UK identity,Count,Persons,20
E02001259,Trafford 001,Middle-layer Super Output Area,2021-03-21,National identity,Other identity only,Count,Persons,2026
E02001259,Trafford 001,Middle-layer Super Output Area,2021-03-21,National identity,Other identity and at least one UK identity,Count,Persons,352
E02001260,Trafford 002,Middle-layer Super Output Area,2021-03-21,National identity,British only identity,Count,Persons,4535
E02001260,Trafford 002,Middle-layer Super Output Area,2021-03-21,National identity,English only identity,Count,Persons,1349
E02001260,Trafford 002,Middle-layer Super Output Area,2021-03-21,National identity,English and British only identity,Count,Persons,1195
