site_id,site_name,facility_type,access_type,facility_areas_on_site,street,town,postcode,telephone,email,website,nursery,first_aid_room,cycle_park,car_park,car_park_capacity,disability_parking,disability_finding_reaching_entrance,disability_reception_area,disability_activity_area,disability_social_areas,disability_spectator_areas,disability_doorways,disability_emergency_exits,disability_toilets,disability_changing_facilities,disability_notes,ward_code,ward_name,msoa_code,lsoa_code,oa_code,lon,lat,site_last_updated_date
1043459,A S E Club,Sports halls,Sports Club / Community Association,1,High Bank,Altrincham,WA14 4NS,0161 928 1765,NA,NA,No,No,No,Yes,9,Yes,Yes,No,No,Yes,No,Yes,Yes,No,No,NA,E05015239,Altrincham,E02001283,E01006075,E00030782,-2.351755,53.38898,2025-06-20
1042903,Abbotsfield Park,Outdoor tennis courts,Free Public Access,3,Lime Avenue,Flixton,M41 5DE,0333 003 5865,NA,https://traffordleisure.co.uk/,No,No,No,No,0,No,Yes,No,Yes,No,No,No,No,No,No,NA,E05015259,Urmston,E02001268,E01006197,E00031418,-2.367051,53.44766,2025-03-28
30005894,Abbotsford Preparatory School,Artificial grass pitches,Private Use,1,Flixton Road,Manchester,M41 5PR,0161 748 3261,secretary@abbotsfordprepschool.co.uk,http://www.abbotsfordprepschool.co.uk/,No,No,No,Yes,20,No,Yes,Yes,No,No,No,Yes,Yes,No,No,NA,E05015246,Flixton,E02001268,E01006129,E00031044,-2.372167,53.44855,2024-10-25
30003071,Acre Hall Primary School,Grass pitches,Private Use,5,Irlam Road,Manchester,M41 6NA,0161 748 4356,admin@acrehall.trafford.sch.uk,http://www.acrehall.trafford.sch.uk/home,Yes,No,Yes,Yes,20,Yes,Yes,Yes,Yes,No,No,Yes,Yes,Yes,Yes,NA,E05015245,Davyhulme,E02001265,E01006126,E00031022,-2.394123,53.44884,2024-10-14
30003071,Acre Hall Primary School,Sports halls,Private Use,1,Irlam Road,Manchester,M41 6NA,0161 748 4356,admin@acrehall.trafford.sch.uk,http://www.acrehall.trafford.sch.uk/home,Yes,No,Yes,Yes,20,Yes,Yes,Yes,Yes,No,No,Yes,Yes,Yes,Yes,NA,E05015245,Davyhulme,E02001265,E01006126,E00031022,-2.394123,53.44884,2024-10-14
30003658,Afc Urmston Meadowside,Grass pitches,Sports Club / Community Association,11,Davyhulme Road,Manchester,M41 8QA,NA,club.secretary@urmstonmeds.co.uk,http://urmstonmeds.co.uk/,No,No,No,Yes,20,Yes,Yes,No,No,No,No,No,Yes,No,No,NA,E05015245,Davyhulme,E02001263,E01006124,E00031036,-2.384999,53.4577,2025-06-02
6010749,All Saints Catholic Primary School,Grass pitches,Private Use,3,Cedar Road,Sale,M33 5NW,0161 962 1288,admin@allsaints.trafford.sch.uk,http://www.allsaints.trafford.sch.uk,Yes,No,No,Yes,15,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,No,NA,E05015244,Bucklow-St Martins,E02001271,E01006169,E00031254,-2.351588,53.43066,2025-02-12
1011332,Altrincham And District Athletic Club,Athletics,Pay and Play,2,Grove Lane,Altrincham,WA15 7UF,07977 047182,altrinchamac@fsnet.co.uk,https://altrincham-athletics.co.uk/,No,No,No,Yes,40,Yes,Yes,No,Yes,No,No,Yes,Yes,Yes,Yes,Track Not Suitable for Wheelchair Users,E05015257,Timperley Central,E02001281,E01006192,E00031401,-2.321361,53.39849,2024-12-17
30010903,Altrincham Ce Primary School,Grass pitches,Private Use,4,Townfield Road,Altrincham,WA14 4DS,0161 928 7288,altrinchamce.admin@trafford.gov.uk,https://www.altrinchamceprimaryschool.co.uk/,No,No,Yes,No,0,No,Yes,Yes,Yes,No,No,Yes,Yes,Yes,No,NA,E05015239,Altrincham,E02001283,E01006075,E00030782,-2.353269,53.3903,2024-09-13
1008949,Altrincham College,Artificial grass pitches,Sports Club / Community Association,2,Green Lane,Altrincham,WA15 8QW,0161 980 7173,headteacher@altrinchamcollege.com,http://www.altrinchamcollege.com,No,Yes,Yes,Yes,100,Yes,Yes,Yes,Yes,No,No,Yes,Yes,Yes,Yes,Gym Upstairs.,E05015249,Hale Barns & Timperley South,E02001284,E01006140,E00031077,-2.324081,53.38405,2025-07-25
