Courts,Floodlit,SiteID,SiteName,ThoroughfareName,PostTown,PostCode,Latitude,Longitude,TelNumber,Email,Website,CarParkExist,NumCarPark,CyclePark,NurseryFlag,FirstAid,DisabilityExist,DisabilityNotes,RecLastChkdDate
4,1,1001039,David Lloyd Club (Manchester),Barton Embankment,Manchester,M17 8RH,53.469923,-2.35997,0161 749 2000,mship.manchester@davidlloyd.co.uk,http://www.davidlloyd.co.uk,Yes,359,Yes,Yes,No,Yes,NA,30-05-2018
4,0,1002636,Ashton On Mersey Health & Fitness Centre,Cecil Avenue,Sale,M33 5BP,53.419491,-2.340015,0161 976 5970,info@aomfitness.co.uk,http://www.aomfitness.co.uk,Yes,80,Yes,No,No,Yes,NA,11-09-2018
4,0,1002639,Partington Sports Village,Chapel Lane,Manchester,M31 4ES,53.413337,-2.428383,0161 777 4222,kelly.cooke@traffordleisure.co.uk,http://www.traffordleisure.co.uk,Yes,25,No,No,Yes,Yes,Hoist,30-01-2018
4,0,1040932,Flixton Cricket And Sports Club,Lawrence Road,Manchester,M41 8UU,53.4521,-2.387694,0161 748 2546,info@flixtoncricketandsportsclub.com,http://flixtoncricketandsportsclub.com/,Yes,74,Yes,No,Yes,Yes,NA,23-11-2017
3,0,1042903,Abbotsfield Park,Chassen Road,Manchester,M41 5DH,53.447392,-2.370141,079122 80894,andy.hilton@traffordleisure.co.uk,http://www.traffordleisure.co.uk,No,0,No,No,Don't know,Yes,NA,22-08-2018
8,0,1043161,Longford Park,Edge Lane,Manchester,M21 9JY,53.446901,-2.292593,079122 80894,andy.hilton@traffordleisure.co.uk,http://www.traffordleisure.co.uk,No,0,No,No,No,Yes,NA,22-08-2018
3,0,1043162,Davyhulme Park,Canterbury Road,Manchester,M41 0RX,53.454035,-2.35121,07912 280894,andy.hilton@traffordleisure.co.uk,http://www.traffordleisure.co.uk,No,0,No,No,No,Yes,NA,22-08-2018
3,0,1043164,Pickering Lodge,Moss Lane,Altrincham,WA15 6LE,53.398205,-2.334236,07912 280894,andy.hilton@traffordleisure.co.uk,http://trafford.gov.uk/residents/leisure-and-lifestyle/parks-and-open-spaces/parks-in-trafford/pickering-lodge.aspx,Yes,10,No,No,No,Yes,NA,22-08-2018
4,0,1043165,John Leigh Park,The Mount,Altrincham,WA14 4DX,53.391806,-2.355018,07912280894,andy.hilton@traffordleisure.co.uk,http://www.trafforddirectory.co.uk/kb5/trafford/fsd/service.page?id=YAk_GhgYMnc,No,0,No,No,No,Yes,NA,22-08-2018
5,1,1043816,Hale Barns Tennis Club,Chapel Lane,Altrincham,WA15 0AQ,53.366077,-2.314641,07971 248887,christine.silk@btopenworld.com,http://www.hbtc.org.uk,Yes,20,No,Don't know,No,Yes,NA,22-05-2018
6,1,1044482,Heyes Grove Tennis Club,Lindsgate Drive,Altrincham,WA15 6RB,53.399418,-2.323706,0161 980 8932,enquiries@heyesgrovetennis.com,http://www.heyesgrovetennis.com,Yes,30,No,No,No,Yes,NA,18-05-2018
4,0,1201410,The Grammar,Marlborough Road,Altrincham,WA14 2RW,53.376494,-2.351317,0161 929 1078,thegrammarteam@traffordleisure.co.uk,http://www.traffordleisure.co.uk,Yes,100,Yes,No,No,Yes,NA,03-01-2018
4,0,1201454,Broadoak School,Warburton Lane,Manchester,M31 4BU,53.413413,-2.429873,0161 776 1977,office@broadoak.trafford.sch.uk,http://broadoakschool.thedeantrust.co.uk/,Yes,100,Yes,No,Yes,Yes,NA,05-09-2018
4,0,1201500,North Cestrian School,Dunham Road,Altrincham,WA14 4AJ,53.388228,-2.355929,0161 928 1856,office@northcestrian.co.uk,http://www.ncgs.co.uk,Yes,30,Yes,No,Yes,Yes,NA,14-09-2018
