site_id,site_name,facility_type,access_type,pitches_on_site,indoor_pitches,artificial_sports_lighting_pitches,street,town,postcode,telephone,email,website,nursery,first_aid_room,cycle_park,car_park,car_park_capacity,disability_parking,disability_finding_reaching_entrance,disability_reception_area,disability_activity_area,disability_social_areas,disability_spectator_areas,disability_doorways,disability_emergency_exits,disability_toilets,disability_changing_facilities,disability_notes,ward_code,ward_name,msoa_code,lsoa_code,oa_code,lon,lat,site_last_updated_date
1002636,Ashton On Mersey Health And Fitness Centre,Artificial grass pitches,Pay and Play,1,0,0,Cecil Avenue,Sale,M33 5BP,0161 976 5970,info@aomfitness.co.uk,http://www.thedeantrust.co.uk/fitness-leisure,No,Yes,Yes,Yes,100,Yes,Yes,Yes,Yes,No,Yes,Yes,Yes,Yes,Yes,NA,E05015252,Manor,E02001274,E01006152,E00031176,-2.340016,53.41951,2025-05-12
1002639,Partington Sports Village,Artificial grass pitches,Pay and Play,2,0,2,Chapel Lane,Manchester,M31 4ES,0161 777 4222,NA,https://traffordleisure.co.uk/centres/partington/,No,Yes,Yes,Yes,75,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Hoist,E05015244,Bucklow-St Martins,E02001275,E01006105,E00030943,-2.428382,53.41335,2024-08-02
1002640,Sale Grammar School,Artificial grass pitches,Sports Club / Community Association,1,0,1,Marsland Road,Sale,M33 3NH,0161 973 3217,facilitesmanager@salegrammar.co.uk,http://www.salegrammar.co.uk,No,Yes,Yes,Yes,100,Yes,Yes,Yes,Yes,No,No,Yes,Yes,Yes,Yes,NA,E05015254,Sale Central,E02001273,E01006162,E00031226,-2.315028,53.41813,2025-06-02
1002643,Walton Park Indoor Football Centre,Artificial grass pitches,Pay and Play,3,1,0,Raglan Road,Sale,M33 4AW,0161 962 0159,centremanager@wpifc.org.uk,http://www.wpifc.org.uk,No,No,Yes,Yes,100,Yes,Yes,No,Yes,No,No,Yes,Yes,Yes,Yes,NA,E05015243,Brooklands,E02001279,E01006101,E00030899,-2.329782,53.41452,2025-03-24
1008949,Altrincham College,Artificial grass pitches,Sports Club / Community Association,2,0,0,Green Lane,Altrincham,WA15 8QW,0161 980 7173,headteacher@altrinchamcollege.com,http://www.altrinchamcollege.com,No,Yes,Yes,Yes,100,Yes,Yes,Yes,Yes,No,No,Yes,Yes,Yes,Yes,Gym Upstairs.,E05015249,Hale Barns & Timperley South,E02001284,E01006140,E00031077,-2.324081,53.38405,2025-07-25
1018749,Old Trafford Sports Barn,Artificial grass pitches,Sports Club / Community Association,1,0,1,St Hildas Road,Old Trafford,M16 9PQ,0161 749 2570,info@traffordleisure.co.uk,https://traffordleisure.co.uk/centres/sports-barn/,No,No,No,Yes,25,No,Yes,Yes,Yes,No,No,Yes,Yes,Yes,Yes,NA,E05015253,Old Trafford,E02001259,E01034001,E00181583,-2.273094,53.46046,2025-05-28
1042252,Fives Trafford,Artificial grass pitches,Pay and Play,8,0,1,Trafford Way,Manchester,M41 7JA,0161 441 4280,info@football5s.com,https://www.football5s.com/trafford/,No,No,Yes,Yes,300,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,NA,E05015251,Lostock & Barton,E02001260,E01006121,E00030982,-2.362873,53.46774,2024-12-09
1044325,Broomwood Park,Artificial grass pitches,Free Public Access,1,0,1,Mainwood Road,Altrincham,WA15 7JU,0161 912 5504,access.trafford@trafford.gov.uk,https://www.trafford.gov.uk,No,No,Yes,Yes,20,Yes,No,No,Yes,No,No,No,No,No,No,NA,E05015257,Timperley Central,E02001280,E01006207,E00031457,-2.30596,53.39191,2024-10-02
1044454,Partington Central Academy,Artificial grass pitches,Private Use,1,0,0,Central Road,Manchester,M31 4FL,0161 775 2937,Office@partingtoncentralacademy.co.uk,http://partingtoncentralacademy.co.uk/,Yes,Yes,Yes,Yes,40,Yes,Yes,Yes,Yes,No,No,Yes,Yes,Yes,No,NA,E05015244,Bucklow-St Martins,E02001275,E01006104,E00030934,-2.426585,53.41719,2025-01-14
1103377,Altrincham Grammar School For Girls (Sixth Form Centre),Artificial grass pitches,Sports Club / Community Association,2,0,0,Green Courts,Bowdon,WA14 2SR,0161 912 5912,sixthformadmin@aggs.bright-futures.co.uk,http://www.aggs.trafford.sch.uk,No,No,Yes,Yes,9,Yes,Yes,Yes,Yes,No,No,Yes,Yes,No,No,NA,E05015241,Bowdon,E02001285,E01006082,E00030829,-2.36534,53.38112,2024-12-09
