site_id,site_name,facility_type,access_type,stations_on_site,street,town,postcode,telephone,email,website,nursery,first_aid_room,cycle_park,car_park,car_park_capacity,disability_parking,disability_finding_reaching_entrance,disability_reception_area,disability_activity_area,disability_social_areas,disability_spectator_areas,disability_doorways,disability_emergency_exits,disability_toilets,disability_changing_facilities,disability_notes,ward_code,ward_name,msoa_code,lsoa_code,oa_code,lon,lat,site_last_updated_date
1001039,David Lloyd (Manchester Trafford City),Health and fitness gyms,Registered Membership use,360,Barton Embankment,Manchester,M17 8RH,0161 749 2000,manchester@davidlloyd.co.uk,http://www.davidlloyd.co.uk,Yes,No,Yes,Yes,359,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,NA,E05015251,Lostock & Barton,E02001260,E01006121,E00030982,-2.359969,53.46994,2025-04-02
1002524,Stretford Sports Village (Chester Centre),Health and fitness gyms,Pay and Play,85,Great Stone Road,Manchester,M32 0ZS,0161 875 1414,info@traffordleisure.co.uk,https://traffordleisure.co.uk/centres/stretford-sports-village/,No,Yes,Yes,Yes,120,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,NA,E05015247,Gorse Hill & Cornbrook,E02001261,E01006186,E00181713,-2.292846,53.45835,2025-02-18
1002635,Move Altrincham,Health and fitness gyms,Pay and Play,55,Oakfield Road,Altrincham,WA15 8EW,0161 926 3255,info@traffordleisure.co.uk,https://twmove.co.uk/centres/move-altrincham/,No,No,Yes,Yes,90,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Pool Hoist,E05015239,Altrincham,E02001282,E01006194,E00031382,-2.345719,53.38823,2025-05-08
1002636,Ashton On Mersey Health And Fitness Centre,Health and fitness gyms,Pay and Play,32,Cecil Avenue,Sale,M33 5BP,0161 976 5970,info@aomfitness.co.uk,http://www.thedeantrust.co.uk/fitness-leisure,No,Yes,Yes,Yes,100,Yes,Yes,Yes,Yes,No,Yes,Yes,Yes,Yes,Yes,NA,E05015252,Manor,E02001274,E01006152,E00031176,-2.340016,53.41951,2025-05-12
1002638,Beactive Urmston,Health and fitness gyms,Pay and Play,38,Kingsway Park,Manchester,M41 7FJ,0161 413 3750,info@beactiveurmston.org,https://www.beactiveurmston.org/,No,No,Yes,Yes,350,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,IFI accredited,E05015251,Lostock & Barton,E02001260,E01006121,E00030979,-2.342971,53.45777,2024-08-05
1002639,Partington Sports Village,Health and fitness gyms,Registered Membership use,40,Chapel Lane,Manchester,M31 4ES,0161 777 4222,NA,https://traffordleisure.co.uk/centres/partington/,No,Yes,Yes,Yes,75,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Hoist,E05015244,Bucklow-St Martins,E02001275,E01006105,E00030943,-2.428382,53.41335,2024-08-02
1002641,Sale Leisure Centre,Health and fitness gyms,Registered Membership use,54,Broad Road,Sale,M33 2AL,0161 905 5588,info@traffordleisure.co.uk,http://www.traffordleisure.co.uk,No,Yes,Yes,Yes,120,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,"DDA Compliant, lift, pool hoist",E05015254,Sale Central,E02001273,E01006161,E00031211,-2.315949,53.42467,2024-08-02
1002642,Move Urmston,Health and fitness gyms,Pay and Play,80,Bowfell Road,Manchester,M41 5RR,0161 749 2570,info@traffordleisure.co.uk,http://www.traffordleisure.co.uk/centres/urmston/,No,No,Yes,Yes,104,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Parking: 5 Bays,E05015246,Flixton,E02001268,E01006129,E00031044,-2.370919,53.45042,2025-05-28
1002643,Walton Park Indoor Football Centre,Health and fitness gyms,Pay and Play,35,Raglan Road,Sale,M33 4AW,0161 962 0159,centremanager@wpifc.org.uk,http://www.wpifc.org.uk,No,No,Yes,Yes,100,Yes,Yes,No,Yes,No,No,Yes,Yes,Yes,Yes,NA,E05015243,Brooklands,E02001279,E01006101,E00030899,-2.329782,53.41452,2025-03-24
1002818,Meritor Urmston The M41 Gym,Health and fitness gyms,Registered Membership use,63,Higher Road,Manchester,M41 9AP,07401 454245,info@m41gym.co.uk,https://www.m41gym.co.uk/,No,No,No,Yes,8,No,No,No,No,No,No,No,No,No,No,NA,E05015259,Urmston,E02001267,E01006198,E00031417,-2.349837,53.44846,2024-10-30
