site_id,site_name,facility_type,access_type,facility_areas_on_site,badminton_courts_total,basketball_courts_total,cricket_nets_total,five_a_side_pitches_total,futsal_courts_total,netball_courts_total,volleyball_courts_total,clearance_exists_ball_shuttlecock,gymnastics_trampoline_use,floor_matting,moveable_balance_apparatus,moveable_large_apparatus,moveable_rebound_apparatus,moveable_trampolines,small_apparatus,swinging_and_hanging_apparatus,street,town,postcode,telephone,email,website,nursery,first_aid_room,cycle_park,car_park,car_park_capacity,disability_parking,disability_finding_reaching_entrance,disability_reception_area,disability_activity_area,disability_social_areas,disability_spectator_areas,disability_doorways,disability_emergency_exits,disability_toilets,disability_changing_facilities,disability_notes,ward_code,ward_name,msoa_code,lsoa_code,oa_code,lon,lat,site_last_updated_date
1001039,David Lloyd (Manchester Trafford City),Sports halls,Registered Membership use,1,4,0,0,0,0,0,0,Yes,No,No,No,No,No,No,No,No,Barton Embankment,Manchester,M17 8RH,0161 749 2000,manchester@davidlloyd.co.uk,http://www.davidlloyd.co.uk,Yes,No,Yes,Yes,359,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,NA,E05015251,Lostock & Barton,E02001260,E01006121,E00030982,-2.359969,53.46994,2025-04-02
1002524,Stretford Sports Village (Chester Centre),Sports halls,Pay and Play,2,9,2,0,0,0,2,1,Yes,Not Known,Not Known,Not Known,Not Known,Not Known,Not Known,Not Known,Not Known,Great Stone Road,Manchester,M32 0ZS,0161 875 1414,info@traffordleisure.co.uk,https://traffordleisure.co.uk/centres/stretford-sports-village/,No,Yes,Yes,Yes,120,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,NA,E05015247,Gorse Hill & Cornbrook,E02001261,E01006186,E00181713,-2.292846,53.45835,2025-02-18
1002635,Move Altrincham,Sports halls,Pay and Play,1,4,1,0,0,0,1,1,Yes,No,No,No,No,No,No,No,No,Oakfield Road,Altrincham,WA15 8EW,0161 926 3255,info@traffordleisure.co.uk,https://twmove.co.uk/centres/move-altrincham/,No,No,Yes,Yes,90,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Pool Hoist,E05015239,Altrincham,E02001282,E01006194,E00031382,-2.345719,53.38823,2025-05-08
1002636,Ashton On Mersey Health And Fitness Centre,Sports halls,Sports Club / Community Association,1,5,1,1,0,0,1,2,Yes,Not Known,Not Known,Not Known,Not Known,Not Known,Not Known,Not Known,Not Known,Cecil Avenue,Sale,M33 5BP,0161 976 5970,info@aomfitness.co.uk,http://www.thedeantrust.co.uk/fitness-leisure,No,Yes,Yes,Yes,100,Yes,Yes,Yes,Yes,No,Yes,Yes,Yes,Yes,Yes,NA,E05015252,Manor,E02001274,E01006152,E00031176,-2.340016,53.41951,2025-05-12
1002638,Beactive Urmston,Sports halls,Pay and Play,1,8,1,0,0,0,2,1,Yes,Not Known,Not Known,Not Known,Not Known,Not Known,Not Known,Not Known,Not Known,Kingsway Park,Manchester,M41 7FJ,0161 413 3750,info@beactiveurmston.org,https://www.beactiveurmston.org/,No,No,Yes,Yes,350,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,IFI accredited,E05015251,Lostock & Barton,E02001260,E01006121,E00030979,-2.342971,53.45777,2024-08-05
1002639,Partington Sports Village,Sports halls,Pay and Play,1,6,1,0,0,0,1,1,Yes,Not Known,Not Known,Not Known,Not Known,Not Known,Not Known,Not Known,Not Known,Chapel Lane,Manchester,M31 4ES,0161 777 4222,NA,https://traffordleisure.co.uk/centres/partington/,No,Yes,Yes,Yes,75,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Hoist,E05015244,Bucklow-St Martins,E02001275,E01006105,E00030943,-2.428382,53.41335,2024-08-02
1002640,Sale Grammar School,Sports halls,Sports Club / Community Association,2,4,1,2,0,0,1,1,Yes,Not Known,Not Known,Not Known,Not Known,Not Known,Not Known,Not Known,Not Known,Marsland Road,Sale,M33 3NH,0161 973 3217,facilitesmanager@salegrammar.co.uk,http://www.salegrammar.co.uk,No,Yes,Yes,Yes,100,Yes,Yes,Yes,Yes,No,No,Yes,Yes,Yes,Yes,NA,E05015254,Sale Central,E02001273,E01006162,E00031226,-2.315028,53.41813,2025-06-02
1002641,Sale Leisure Centre,Sports halls,Pay and Play,1,5,1,0,0,0,1,1,Yes,Not Known,Not Known,Not Known,Not Known,Not Known,Not Known,Not Known,Not Known,Broad Road,Sale,M33 2AL,0161 905 5588,info@traffordleisure.co.uk,http://www.traffordleisure.co.uk,No,Yes,Yes,Yes,120,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,"DDA Compliant, lift, pool hoist",E05015254,Sale Central,E02001273,E01006161,E00031211,-2.315949,53.42467,2024-08-02
1002642,Move Urmston,Sports halls,Pay and Play,1,5,1,0,0,0,1,1,Yes,Not Known,Not Known,Not Known,Not Known,Not Known,Not Known,Not Known,Not Known,Bowfell Road,Manchester,M41 5RR,0161 749 2570,info@traffordleisure.co.uk,http://www.traffordleisure.co.uk/centres/urmston/,No,No,Yes,Yes,104,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Parking: 5 Bays,E05015246,Flixton,E02001268,E01006129,E00031044,-2.370919,53.45042,2025-05-28
1002643,Walton Park Indoor Football Centre,Sports halls,Pay and Play,1,0,0,0,0,0,0,0,Yes,Not Known,Not Known,Not Known,Not Known,Not Known,Not Known,Not Known,Not Known,Raglan Road,Sale,M33 4AW,0161 962 0159,centremanager@wpifc.org.uk,http://www.wpifc.org.uk,No,No,Yes,Yes,100,Yes,Yes,No,Yes,No,No,Yes,Yes,Yes,Yes,NA,E05015243,Brooklands,E02001279,E01006101,E00030899,-2.329782,53.41452,2025-03-24
