site_id,site_name,facility_type,access_type,pools_on_site,lanes_total,accessible_pool_entry_system,diving_boards,moveable_floor,street,town,postcode,telephone,email,website,nursery,first_aid_room,cycle_park,car_park,car_park_capacity,disability_parking,disability_finding_reaching_entrance,disability_reception_area,disability_activity_area,disability_social_areas,disability_spectator_areas,disability_doorways,disability_emergency_exits,disability_toilets,disability_changing_facilities,disability_notes,ward_code,ward_name,msoa_code,lsoa_code,oa_code,lon,lat,site_last_updated_date
1001039,David Lloyd (Manchester Trafford City),Swimming pools,Registered Membership use,4,6,Not Known,No,No,Barton Embankment,Manchester,M17 8RH,0161 749 2000,manchester@davidlloyd.co.uk,http://www.davidlloyd.co.uk,Yes,No,Yes,Yes,359,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,NA,E05015251,Lostock & Barton,E02001260,E01006121,E00030982,-2.359969,53.46994,2025-04-02
1002524,Stretford Sports Village (Chester Centre),Swimming pools,Pay and Play,2,6,Not Known,No,No,Great Stone Road,Manchester,M32 0ZS,0161 875 1414,info@traffordleisure.co.uk,https://traffordleisure.co.uk/centres/stretford-sports-village/,No,Yes,Yes,Yes,120,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,NA,E05015247,Gorse Hill & Cornbrook,E02001261,E01006186,E00181713,-2.292846,53.45835,2025-02-18
1002635,Move Altrincham,Swimming pools,Pay and Play,2,4,Yes,No,No,Oakfield Road,Altrincham,WA15 8EW,0161 926 3255,info@traffordleisure.co.uk,https://twmove.co.uk/centres/move-altrincham/,No,No,Yes,Yes,90,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Pool Hoist,E05015239,Altrincham,E02001282,E01006194,E00031382,-2.345719,53.38823,2025-05-08
1002639,Partington Sports Village,Swimming pools,Pay and Play,1,4,No,No,No,Chapel Lane,Manchester,M31 4ES,0161 777 4222,NA,https://traffordleisure.co.uk/centres/partington/,No,Yes,Yes,Yes,75,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Hoist,E05015244,Bucklow-St Martins,E02001275,E01006105,E00030943,-2.428382,53.41335,2024-08-02
1002641,Sale Leisure Centre,Swimming pools,Pay and Play,3,11,Not Known,No,No,Broad Road,Sale,M33 2AL,0161 905 5588,info@traffordleisure.co.uk,http://www.traffordleisure.co.uk,No,Yes,Yes,Yes,120,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,"DDA Compliant, lift, pool hoist",E05015254,Sale Central,E02001273,E01006161,E00031211,-2.315949,53.42467,2024-08-02
1002642,Move Urmston,Swimming pools,Pay and Play,2,4,Not Known,No,No,Bowfell Road,Manchester,M41 5RR,0161 749 2570,info@traffordleisure.co.uk,http://www.traffordleisure.co.uk/centres/urmston/,No,No,Yes,Yes,104,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Parking: 5 Bays,E05015246,Flixton,E02001268,E01006129,E00031044,-2.370919,53.45042,2025-05-28
1002890,Marriott Leisure Club (Manchester Airport),Swimming pools,Registered Membership use,1,0,No,No,No,Hale Road,Altrincham,WA15 8XW,0161 904 5050,laura.yates@deltahotels.com,https://www.marriottlifestyle.co.uk/find-a-club,No,No,Yes,Yes,100,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,NA,E05015249,Hale Barns & Timperley South,E02001286,E01006137,E00031071,-2.297828,53.36423,2024-10-15
1007859,Total Fitness (Altrincham),Swimming pools,Registered Membership use,2,3,Not Known,No,No,Lloyd Street,Altrincham,WA14 2SU,0161 925 4500,NA,https://www.totalfitness.co.uk/clubs/altrincham/,No,No,No,Yes,500,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,NA,E05015239,Altrincham,E02001283,E01006076,E00030786,-2.350747,53.38378,2025-04-25
1008718,Everlast Gyms (Sale),Swimming pools,Registered Membership use,1,4,No,No,No,Washway Road,Sale,M33 7QY,0343 777 1133,manager.salefit@everlastgyms.com,https://www.everlastgyms.com/gyms/sale/,No,Yes,Yes,Yes,65,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,NA,E05015240,Ashton upon Mersey,E02001270,E01006150,E00031168,-2.326127,53.42533,2025-04-22
1009265,Mercure Altrincham Bowdon Hotel,Swimming pools,Registered Membership use,1,3,No,No,No,Langham Road,Altrincham,WA14 2HT,0161 928 7121,qlaltrincham@gmail.com,http://www.hotels-altrincham.com,No,Yes,Yes,Yes,200,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,NA,E05015241,Bowdon,E02001285,E01006082,E00030817,-2.352021,53.37761,2024-08-28
1037888,Hale Country Club And Spa,Swimming pools,Registered Membership use,2,0,Not Known,No,No,Clay Lane,Altrincham,WA15 7AF,0161 904 5939,enquiries@halecountryclub.co.uk,http://www.halecountryclub.co.uk,Yes,Yes,Yes,Yes,200,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,NA,E05015249,Hale Barns & Timperley South,E02001281,E01006209,E00031477,-2.312006,53.3877,2024-10-30
1203095,St Ambrose College,Swimming pools,Sports Club / Community Association,1,6,No,No,No,Hale Road,Altrincham,WA15 0HE,0161 694 0111,support@vivifyvenues.com,https://www.vivifyvenues.com/venues/st-ambrose-college,No,Yes,Yes,Yes,100,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,NA,E05015249,Hale Barns & Timperley South,E02001286,E01006135,E00031096,-2.320333,53.37146,2025-08-04
