area_code,area_name,geography,period,indicator,economic_activity_status,measure,unit,value
E01006074,Trafford 025A,Lower-layer Super Output Area,2021-03-21,Economic activity status of usual residents (aged 16 years and over),Does not apply,Count,Persons,381
E01006074,Trafford 025A,Lower-layer Super Output Area,2021-03-21,Economic activity status of usual residents (aged 16 years and over),Economically active (excluding full-time students): In employment: Employee: Part-time,Count,Persons,172
E01006074,Trafford 025A,Lower-layer Super Output Area,2021-03-21,Economic activity status of usual residents (aged 16 years and over),Economically active (excluding full-time students): In employment: Employee: Full-time,Count,Persons,408
E01006074,Trafford 025A,Lower-layer Super Output Area,2021-03-21,Economic activity status of usual residents (aged 16 years and over),Economically active (excluding full-time students): In employment: Self-employed with employees: Part-time,Count,Persons,5
E01006074,Trafford 025A,Lower-layer Super Output Area,2021-03-21,Economic activity status of usual residents (aged 16 years and over),Economically active (excluding full-time students): In employment: Self-employed with employees: Full-time,Count,Persons,18
E01006074,Trafford 025A,Lower-layer Super Output Area,2021-03-21,Economic activity status of usual residents (aged 16 years and over),Economically active (excluding full-time students): In employment: Self-employed without employees: Part-time,Count,Persons,51
E01006074,Trafford 025A,Lower-layer Super Output Area,2021-03-21,Economic activity status of usual residents (aged 16 years and over),Economically active (excluding full-time students): In employment: Self-employed without employees: Full-time,Count,Persons,50
E01006074,Trafford 025A,Lower-layer Super Output Area,2021-03-21,Economic activity status of usual residents (aged 16 years and over),Economically active (excluding full-time students): Unemployed: Seeking work or waiting to start a job already obtained: Available to start working within 2 weeks,Count,Persons,24
E01006074,Trafford 025A,Lower-layer Super Output Area,2021-03-21,Economic activity status of usual residents (aged 16 years and over),Economically active and a full-time student: In employment: Employee: Part-time,Count,Persons,8
E01006074,Trafford 025A,Lower-layer Super Output Area,2021-03-21,Economic activity status of usual residents (aged 16 years and over),Economically active and a full-time student: In employment: Employee: Full-time,Count,Persons,3
E01006074,Trafford 025A,Lower-layer Super Output Area,2021-03-21,Economic activity status of usual residents (aged 16 years and over),Economically active and a full-time student: In employment: Self-employed with employees: Part-time,Count,Persons,0
