area_code,area_name,geography,period,indicator,socio_economic_classification,measure,unit,value
E05000819,Altrincham,Electoral ward,2021-03-21,"National Statistics Socio-economic Classification (NS-SEC) of usual residents, (aged 16 years and over)","L1, L2 and L3 Higher managerial, administrative and professional occupations",Count,Persons,2794
E05000819,Altrincham,Electoral ward,2021-03-21,"National Statistics Socio-economic Classification (NS-SEC) of usual residents, (aged 16 years and over)","L4, L5 and L6 Lower managerial, administrative and professional occupations",Count,Persons,2516
E05000819,Altrincham,Electoral ward,2021-03-21,"National Statistics Socio-economic Classification (NS-SEC) of usual residents, (aged 16 years and over)",L7 Intermediate occupations,Count,Persons,1038
E05000819,Altrincham,Electoral ward,2021-03-21,"National Statistics Socio-economic Classification (NS-SEC) of usual residents, (aged 16 years and over)",L8 and L9 Small employers and own account workers,Count,Persons,933
E05000819,Altrincham,Electoral ward,2021-03-21,"National Statistics Socio-economic Classification (NS-SEC) of usual residents, (aged 16 years and over)",L10 and L11 Lower supervisory and technical occupations,Count,Persons,349
E05000819,Altrincham,Electoral ward,2021-03-21,"National Statistics Socio-economic Classification (NS-SEC) of usual residents, (aged 16 years and over)",L12 Semi-routine occupations,Count,Persons,754
E05000819,Altrincham,Electoral ward,2021-03-21,"National Statistics Socio-economic Classification (NS-SEC) of usual residents, (aged 16 years and over)",L13 Routine occupations,Count,Persons,599
E05000819,Altrincham,Electoral ward,2021-03-21,"National Statistics Socio-economic Classification (NS-SEC) of usual residents, (aged 16 years and over)",L14.1 and L14.2 Never worked and long-term unemployed,Count,Persons,625
E05000819,Altrincham,Electoral ward,2021-03-21,"National Statistics Socio-economic Classification (NS-SEC) of usual residents, (aged 16 years and over)",L15 Full-time students,Count,Persons,546
E05000820,Ashton upon Mersey,Electoral ward,2021-03-21,"National Statistics Socio-economic Classification (NS-SEC) of usual residents, (aged 16 years and over)","L1, L2 and L3 Higher managerial, administrative and professional occupations",Count,Persons,1848
E05000820,Ashton upon Mersey,Electoral ward,2021-03-21,"National Statistics Socio-economic Classification (NS-SEC) of usual residents, (aged 16 years and over)","L4, L5 and L6 Lower managerial, administrative and professional occupations",Count,Persons,2151
E05000820,Ashton upon Mersey,Electoral ward,2021-03-21,"National Statistics Socio-economic Classification (NS-SEC) of usual residents, (aged 16 years and over)",L7 Intermediate occupations,Count,Persons,1009
E05000820,Ashton upon Mersey,Electoral ward,2021-03-21,"National Statistics Socio-economic Classification (NS-SEC) of usual residents, (aged 16 years and over)",L8 and L9 Small employers and own account workers,Count,Persons,756
E05000820,Ashton upon Mersey,Electoral ward,2021-03-21,"National Statistics Socio-economic Classification (NS-SEC) of usual residents, (aged 16 years and over)",L10 and L11 Lower supervisory and technical occupations,Count,Persons,293
E05000820,Ashton upon Mersey,Electoral ward,2021-03-21,"National Statistics Socio-economic Classification (NS-SEC) of usual residents, (aged 16 years and over)",L12 Semi-routine occupations,Count,Persons,694
E05000820,Ashton upon Mersey,Electoral ward,2021-03-21,"National Statistics Socio-economic Classification (NS-SEC) of usual residents, (aged 16 years and over)",L13 Routine occupations,Count,Persons,546
E05000820,Ashton upon Mersey,Electoral ward,2021-03-21,"National Statistics Socio-economic Classification (NS-SEC) of usual residents, (aged 16 years and over)",L14.1 and L14.2 Never worked and long-term unemployed,Count,Persons,519
E05000820,Ashton upon Mersey,Electoral ward,2021-03-21,"National Statistics Socio-economic Classification (NS-SEC) of usual residents, (aged 16 years and over)",L15 Full-time students,Count,Persons,407
E05000821,Bowdon,Electoral ward,2021-03-21,"National Statistics Socio-economic Classification (NS-SEC) of usual residents, (aged 16 years and over)","L1, L2 and L3 Higher managerial, administrative and professional occupations",Count,Persons,2127
E05000821,Bowdon,Electoral ward,2021-03-21,"National Statistics Socio-economic Classification (NS-SEC) of usual residents, (aged 16 years and over)","L4, L5 and L6 Lower managerial, administrative and professional occupations",Count,Persons,1815
E05000821,Bowdon,Electoral ward,2021-03-21,"National Statistics Socio-economic Classification (NS-SEC) of usual residents, (aged 16 years and over)",L7 Intermediate occupations,Count,Persons,704
E05000821,Bowdon,Electoral ward,2021-03-21,"National Statistics Socio-economic Classification (NS-SEC) of usual residents, (aged 16 years and over)",L8 and L9 Small employers and own account workers,Count,Persons,942
E05000821,Bowdon,Electoral ward,2021-03-21,"National Statistics Socio-economic Classification (NS-SEC) of usual residents, (aged 16 years and over)",L10 and L11 Lower supervisory and technical occupations,Count,Persons,164
E05000821,Bowdon,Electoral ward,2021-03-21,"National Statistics Socio-economic Classification (NS-SEC) of usual residents, (aged 16 years and over)",L12 Semi-routine occupations,Count,Persons,393
