area_code,area_name,geography,period,indicator,industry,measure,unit,value
E02001259,Trafford 001,Middle-layer Super Output Area,2021-03-21,Industry worked in by usual residents (aged 16 years and over in employment the week before the census),Does not apply,Count,Persons,6594
E02001259,Trafford 001,Middle-layer Super Output Area,2021-03-21,Industry worked in by usual residents (aged 16 years and over in employment the week before the census),"Crop and animal production, hunting and related service activities",Count,Persons,7
E02001259,Trafford 001,Middle-layer Super Output Area,2021-03-21,Industry worked in by usual residents (aged 16 years and over in employment the week before the census),Forestry and logging,Count,Persons,0
E02001259,Trafford 001,Middle-layer Super Output Area,2021-03-21,Industry worked in by usual residents (aged 16 years and over in employment the week before the census),Fishing and aquaculture,Count,Persons,0
E02001259,Trafford 001,Middle-layer Super Output Area,2021-03-21,Industry worked in by usual residents (aged 16 years and over in employment the week before the census),Mining of coal and lignite,Count,Persons,0
E02001259,Trafford 001,Middle-layer Super Output Area,2021-03-21,Industry worked in by usual residents (aged 16 years and over in employment the week before the census),Extraction of crude petroleum and natural gas,Count,Persons,4
E02001259,Trafford 001,Middle-layer Super Output Area,2021-03-21,Industry worked in by usual residents (aged 16 years and over in employment the week before the census),Mining of metal ores,Count,Persons,0
E02001259,Trafford 001,Middle-layer Super Output Area,2021-03-21,Industry worked in by usual residents (aged 16 years and over in employment the week before the census),Other mining and quarrying,Count,Persons,0
E02001259,Trafford 001,Middle-layer Super Output Area,2021-03-21,Industry worked in by usual residents (aged 16 years and over in employment the week before the census),Mining support service activities,Count,Persons,0
E02001259,Trafford 001,Middle-layer Super Output Area,2021-03-21,Industry worked in by usual residents (aged 16 years and over in employment the week before the census),Manufacture of food products,Count,Persons,44
E02001259,Trafford 001,Middle-layer Super Output Area,2021-03-21,Industry worked in by usual residents (aged 16 years and over in employment the week before the census),Manufacture of beverages,Count,Persons,6
E02001259,Trafford 001,Middle-layer Super Output Area,2021-03-21,Industry worked in by usual residents (aged 16 years and over in employment the week before the census),Manufacture of tobacco products,Count,Persons,0
E02001259,Trafford 001,Middle-layer Super Output Area,2021-03-21,Industry worked in by usual residents (aged 16 years and over in employment the week before the census),Manufacture of textiles,Count,Persons,5
E02001259,Trafford 001,Middle-layer Super Output Area,2021-03-21,Industry worked in by usual residents (aged 16 years and over in employment the week before the census),Manufacture of wearing apparel,Count,Persons,46
E02001259,Trafford 001,Middle-layer Super Output Area,2021-03-21,Industry worked in by usual residents (aged 16 years and over in employment the week before the census),Manufacture of leather and related products,Count,Persons,2
E02001259,Trafford 001,Middle-layer Super Output Area,2021-03-21,Industry worked in by usual residents (aged 16 years and over in employment the week before the census),"Manufacture of wood and of products of wood and cork, except furniture; manufacture of articles of straw and plaiting materials",Count,Persons,1
E02001259,Trafford 001,Middle-layer Super Output Area,2021-03-21,Industry worked in by usual residents (aged 16 years and over in employment the week before the census),Manufacture of paper and paper products,Count,Persons,1
E02001259,Trafford 001,Middle-layer Super Output Area,2021-03-21,Industry worked in by usual residents (aged 16 years and over in employment the week before the census),Printing and reproduction of recorded media,Count,Persons,6
E02001259,Trafford 001,Middle-layer Super Output Area,2021-03-21,Industry worked in by usual residents (aged 16 years and over in employment the week before the census),Manufacture of coke and refined petroleum products,Count,Persons,0
E02001259,Trafford 001,Middle-layer Super Output Area,2021-03-21,Industry worked in by usual residents (aged 16 years and over in employment the week before the census),Manufacture of chemicals and chemical products,Count,Persons,2
E02001259,Trafford 001,Middle-layer Super Output Area,2021-03-21,Industry worked in by usual residents (aged 16 years and over in employment the week before the census),Manufacture of basic pharmaceutical products and pharmaceutical preparations,Count,Persons,10
E02001259,Trafford 001,Middle-layer Super Output Area,2021-03-21,Industry worked in by usual residents (aged 16 years and over in employment the week before the census),Manufacture of rubber and plastic products,Count,Persons,7
E02001259,Trafford 001,Middle-layer Super Output Area,2021-03-21,Industry worked in by usual residents (aged 16 years and over in employment the week before the census),Manufacture of other non-metallic mineral products,Count,Persons,2
E02001259,Trafford 001,Middle-layer Super Output Area,2021-03-21,Industry worked in by usual residents (aged 16 years and over in employment the week before the census),Manufacture of basic metals,Count,Persons,3
E02001259,Trafford 001,Middle-layer Super Output Area,2021-03-21,Industry worked in by usual residents (aged 16 years and over in employment the week before the census),"Manufacture of fabricated metal products, except machinery and equipment",Count,Persons,3
E02001259,Trafford 001,Middle-layer Super Output Area,2021-03-21,Industry worked in by usual residents (aged 16 years and over in employment the week before the census),"Manufacture of computer, electrical and optical products",Count,Persons,13
E02001259,Trafford 001,Middle-layer Super Output Area,2021-03-21,Industry worked in by usual residents (aged 16 years and over in employment the week before the census),Manufacture of electrical equipment,Count,Persons,3
E02001259,Trafford 001,Middle-layer Super Output Area,2021-03-21,Industry worked in by usual residents (aged 16 years and over in employment the week before the census),Manufacture of machinery and equipment not otherwise specified,Count,Persons,3
E02001259,Trafford 001,Middle-layer Super Output Area,2021-03-21,Industry worked in by usual residents (aged 16 years and over in employment the week before the census),"Manufacture of motor vehicles, trailers and semi-trailers",Count,Persons,5
E02001259,Trafford 001,Middle-layer Super Output Area,2021-03-21,Industry worked in by usual residents (aged 16 years and over in employment the week before the census),Manufacture of other transport equipment,Count,Persons,3
E02001259,Trafford 001,Middle-layer Super Output Area,2021-03-21,Industry worked in by usual residents (aged 16 years and over in employment the week before the census),Manufacture of furniture,Count,Persons,11
E02001259,Trafford 001,Middle-layer Super Output Area,2021-03-21,Industry worked in by usual residents (aged 16 years and over in employment the week before the census),Other Manufacturing,Count,Persons,23
E02001259,Trafford 001,Middle-layer Super Output Area,2021-03-21,Industry worked in by usual residents (aged 16 years and over in employment the week before the census),Repair and installation of machinery and equipment,Count,Persons,4
