area_code,area_name,geography,period,indicator,socio_economic_classification,measure,unit,value
E01006074,Trafford 025A,Lower-layer Super Output Area,2021-03-21,"National Statistics Socio-economic Classification (NS-SEC) of usual residents, (aged 16 years and over)",Does not apply,Count,Persons,381
E01006074,Trafford 025A,Lower-layer Super Output Area,2021-03-21,"National Statistics Socio-economic Classification (NS-SEC) of usual residents, (aged 16 years and over)","L1, L2 and L3: Higher managerial, administrative and professional occupations",Count,Persons,250
E01006074,Trafford 025A,Lower-layer Super Output Area,2021-03-21,"National Statistics Socio-economic Classification (NS-SEC) of usual residents, (aged 16 years and over)","L4, L5 and L6: Lower managerial, administrative and professional occupations",Count,Persons,251
E01006074,Trafford 025A,Lower-layer Super Output Area,2021-03-21,"National Statistics Socio-economic Classification (NS-SEC) of usual residents, (aged 16 years and over)",L7: Intermediate occupations,Count,Persons,135
E01006074,Trafford 025A,Lower-layer Super Output Area,2021-03-21,"National Statistics Socio-economic Classification (NS-SEC) of usual residents, (aged 16 years and over)",L8 and L9: Small employers and own account workers,Count,Persons,130
E01006074,Trafford 025A,Lower-layer Super Output Area,2021-03-21,"National Statistics Socio-economic Classification (NS-SEC) of usual residents, (aged 16 years and over)",L10 and L11: Lower supervisory and technical occupations,Count,Persons,56
E01006074,Trafford 025A,Lower-layer Super Output Area,2021-03-21,"National Statistics Socio-economic Classification (NS-SEC) of usual residents, (aged 16 years and over)",L12: Semi-routine occupations,Count,Persons,124
E01006074,Trafford 025A,Lower-layer Super Output Area,2021-03-21,"National Statistics Socio-economic Classification (NS-SEC) of usual residents, (aged 16 years and over)",L13: Routine occupations,Count,Persons,121
E01006074,Trafford 025A,Lower-layer Super Output Area,2021-03-21,"National Statistics Socio-economic Classification (NS-SEC) of usual residents, (aged 16 years and over)",L14.1 and L14.2: Never worked and long-term unemployed,Count,Persons,110
E01006074,Trafford 025A,Lower-layer Super Output Area,2021-03-21,"National Statistics Socio-economic Classification (NS-SEC) of usual residents, (aged 16 years and over)",L15: Full-time students,Count,Persons,83
E01006075,Trafford 025B,Lower-layer Super Output Area,2021-03-21,"National Statistics Socio-economic Classification (NS-SEC) of usual residents, (aged 16 years and over)",Does not apply,Count,Persons,354
E01006075,Trafford 025B,Lower-layer Super Output Area,2021-03-21,"National Statistics Socio-economic Classification (NS-SEC) of usual residents, (aged 16 years and over)","L1, L2 and L3: Higher managerial, administrative and professional occupations",Count,Persons,554
E01006075,Trafford 025B,Lower-layer Super Output Area,2021-03-21,"National Statistics Socio-economic Classification (NS-SEC) of usual residents, (aged 16 years and over)","L4, L5 and L6: Lower managerial, administrative and professional occupations",Count,Persons,472
E01006075,Trafford 025B,Lower-layer Super Output Area,2021-03-21,"National Statistics Socio-economic Classification (NS-SEC) of usual residents, (aged 16 years and over)",L7: Intermediate occupations,Count,Persons,158
E01006075,Trafford 025B,Lower-layer Super Output Area,2021-03-21,"National Statistics Socio-economic Classification (NS-SEC) of usual residents, (aged 16 years and over)",L8 and L9: Small employers and own account workers,Count,Persons,170
E01006075,Trafford 025B,Lower-layer Super Output Area,2021-03-21,"National Statistics Socio-economic Classification (NS-SEC) of usual residents, (aged 16 years and over)",L10 and L11: Lower supervisory and technical occupations,Count,Persons,55
