area_code,area_name,geography,period,indicator,religion,measure,unit,value
E02001259,Trafford 001,Middle-layer Super Output Area,2021-03-21,Religious affiliation,Christian,Count,Persons,3043
E02001259,Trafford 001,Middle-layer Super Output Area,2021-03-21,Religious affiliation,Buddhist,Count,Persons,48
E02001259,Trafford 001,Middle-layer Super Output Area,2021-03-21,Religious affiliation,Hindu,Count,Persons,93
E02001259,Trafford 001,Middle-layer Super Output Area,2021-03-21,Religious affiliation,Jewish,Count,Persons,10
E02001259,Trafford 001,Middle-layer Super Output Area,2021-03-21,Religious affiliation,Muslim,Count,Persons,4527
E02001259,Trafford 001,Middle-layer Super Output Area,2021-03-21,Religious affiliation,Sikh,Count,Persons,283
E02001259,Trafford 001,Middle-layer Super Output Area,2021-03-21,Religious affiliation,Other religion: Alevi,Count,Persons,0
E02001259,Trafford 001,Middle-layer Super Output Area,2021-03-21,Religious affiliation,No religion: Agnostic,Count,Persons,7
E02001259,Trafford 001,Middle-layer Super Output Area,2021-03-21,Religious affiliation,No religion: Atheist,Count,Persons,1
E02001259,Trafford 001,Middle-layer Super Output Area,2021-03-21,Religious affiliation,No religion: Free Thinker,Count,Persons,0
E02001259,Trafford 001,Middle-layer Super Output Area,2021-03-21,Religious affiliation,No religion: Humanist,Count,Persons,3
E02001259,Trafford 001,Middle-layer Super Output Area,2021-03-21,Religious affiliation,No religion: No religion,Count,Persons,2930
E02001259,Trafford 001,Middle-layer Super Output Area,2021-03-21,Religious affiliation,No religion: Realist,Count,Persons,0
E02001259,Trafford 001,Middle-layer Super Output Area,2021-03-21,Religious affiliation,Other religion: Animism,Count,Persons,2
E02001259,Trafford 001,Middle-layer Super Output Area,2021-03-21,Religious affiliation,Other religion: Baha'i,Count,Persons,1
E02001259,Trafford 001,Middle-layer Super Output Area,2021-03-21,Religious affiliation,Other religion: Believe in God,Count,Persons,0
E02001259,Trafford 001,Middle-layer Super Output Area,2021-03-21,Religious affiliation,Other religion: Brahma Kumari,Count,Persons,0
E02001259,Trafford 001,Middle-layer Super Output Area,2021-03-21,Religious affiliation,Other religion: Chinese Religion,Count,Persons,0
E02001259,Trafford 001,Middle-layer Super Output Area,2021-03-21,Religious affiliation,Other religion: Church of All Religion,Count,Persons,0
E02001259,Trafford 001,Middle-layer Super Output Area,2021-03-21,Religious affiliation,Other religion: Confucianist,Count,Persons,0
E02001259,Trafford 001,Middle-layer Super Output Area,2021-03-21,Religious affiliation,Other religion: Deist,Count,Persons,0
E02001259,Trafford 001,Middle-layer Super Output Area,2021-03-21,Religious affiliation,Other religion: Druid,Count,Persons,0
E02001259,Trafford 001,Middle-layer Super Output Area,2021-03-21,Religious affiliation,Other religion: Druze,Count,Persons,1
E02001259,Trafford 001,Middle-layer Super Output Area,2021-03-21,Religious affiliation,Other religion: Eckankar,Count,Persons,0
E02001259,Trafford 001,Middle-layer Super Output Area,2021-03-21,Religious affiliation,Other religion: Heathen,Count,Persons,0
E02001259,Trafford 001,Middle-layer Super Output Area,2021-03-21,Religious affiliation,Other religion: Jain,Count,Persons,3
E02001259,Trafford 001,Middle-layer Super Output Area,2021-03-21,Religious affiliation,Other religion: Mixed Religion,Count,Persons,1
E02001259,Trafford 001,Middle-layer Super Output Area,2021-03-21,Religious affiliation,Other religion: Mysticism,Count,Persons,0
E02001259,Trafford 001,Middle-layer Super Output Area,2021-03-21,Religious affiliation,Other religion: Native American Church,Count,Persons,0
E02001259,Trafford 001,Middle-layer Super Output Area,2021-03-21,Religious affiliation,Other religion: New Age,Count,Persons,0
E02001259,Trafford 001,Middle-layer Super Output Area,2021-03-21,Religious affiliation,Other religion: Occult,Count,Persons,0
E02001259,Trafford 001,Middle-layer Super Output Area,2021-03-21,Religious affiliation,Other religion: Other religions,Count,Persons,22
E02001259,Trafford 001,Middle-layer Super Output Area,2021-03-21,Religious affiliation,Other religion: Own Belief System,Count,Persons,0
E02001259,Trafford 001,Middle-layer Super Output Area,2021-03-21,Religious affiliation,Other religion: Pagan,Count,Persons,16
E02001259,Trafford 001,Middle-layer Super Output Area,2021-03-21,Religious affiliation,Other religion: Pantheism,Count,Persons,0
E02001259,Trafford 001,Middle-layer Super Output Area,2021-03-21,Religious affiliation,Other religion: Rastafarian,Count,Persons,4
E02001259,Trafford 001,Middle-layer Super Output Area,2021-03-21,Religious affiliation,Other religion: Ravidassia,Count,Persons,0
E02001259,Trafford 001,Middle-layer Super Output Area,2021-03-21,Religious affiliation,Other religion: Reconstructionist,Count,Persons,0
E02001259,Trafford 001,Middle-layer Super Output Area,2021-03-21,Religious affiliation,Other religion: Satanism,Count,Persons,3
E02001259,Trafford 001,Middle-layer Super Output Area,2021-03-21,Religious affiliation,Other religion: Scientology,Count,Persons,0
E02001259,Trafford 001,Middle-layer Super Output Area,2021-03-21,Religious affiliation,Other religion: Shamanism,Count,Persons,0
E02001259,Trafford 001,Middle-layer Super Output Area,2021-03-21,Religious affiliation,Other religion: Shintoism,Count,Persons,0
E02001259,Trafford 001,Middle-layer Super Output Area,2021-03-21,Religious affiliation,Other religion: Spiritual,Count,Persons,14
E02001259,Trafford 001,Middle-layer Super Output Area,2021-03-21,Religious affiliation,Other religion: Spiritualist,Count,Persons,4
E02001259,Trafford 001,Middle-layer Super Output Area,2021-03-21,Religious affiliation,Other religion: Taoist,Count,Persons,1
E02001259,Trafford 001,Middle-layer Super Output Area,2021-03-21,Religious affiliation,Other religion: Theism,Count,Persons,2
E02001259,Trafford 001,Middle-layer Super Output Area,2021-03-21,Religious affiliation,Other religion: Thelemite,Count,Persons,0
E02001259,Trafford 001,Middle-layer Super Output Area,2021-03-21,Religious affiliation,Other religion: Traditional African Religion,Count,Persons,0
E02001259,Trafford 001,Middle-layer Super Output Area,2021-03-21,Religious affiliation,Other religion: Unification Church,Count,Persons,3
E02001259,Trafford 001,Middle-layer Super Output Area,2021-03-21,Religious affiliation,Other religion: Universalist,Count,Persons,0
E02001259,Trafford 001,Middle-layer Super Output Area,2021-03-21,Religious affiliation,Other religion: Valmiki,Count,Persons,0
E02001259,Trafford 001,Middle-layer Super Output Area,2021-03-21,Religious affiliation,Other religion: Vodun,Count,Persons,0
E02001259,Trafford 001,Middle-layer Super Output Area,2021-03-21,Religious affiliation,Other religion: Wicca,Count,Persons,1
E02001259,Trafford 001,Middle-layer Super Output Area,2021-03-21,Religious affiliation,Other religion: Witchcraft,Count,Persons,0
E02001259,Trafford 001,Middle-layer Super Output Area,2021-03-21,Religious affiliation,Other religion: Yazidi,Count,Persons,0
E02001259,Trafford 001,Middle-layer Super Output Area,2021-03-21,Religious affiliation,Other religion: Zoroastrian,Count,Persons,1
E02001259,Trafford 001,Middle-layer Super Output Area,2021-03-21,Religious affiliation,Religion not stated,Count,Persons,697
E02001260,Trafford 002,Middle-layer Super Output Area,2021-03-21,Religious affiliation,Christian,Count,Persons,4348
E02001260,Trafford 002,Middle-layer Super Output Area,2021-03-21,Religious affiliation,Buddhist,Count,Persons,20
E02001260,Trafford 002,Middle-layer Super Output Area,2021-03-21,Religious affiliation,Hindu,Count,Persons,75
E02001260,Trafford 002,Middle-layer Super Output Area,2021-03-21,Religious affiliation,Jewish,Count,Persons,10
E02001260,Trafford 002,Middle-layer Super Output Area,2021-03-21,Religious affiliation,Muslim,Count,Persons,184
E02001260,Trafford 002,Middle-layer Super Output Area,2021-03-21,Religious affiliation,Sikh,Count,Persons,36
E02001260,Trafford 002,Middle-layer Super Output Area,2021-03-21,Religious affiliation,Other religion: Alevi,Count,Persons,0
E02001260,Trafford 002,Middle-layer Super Output Area,2021-03-21,Religious affiliation,No religion: Agnostic,Count,Persons,2
E02001260,Trafford 002,Middle-layer Super Output Area,2021-03-21,Religious affiliation,No religion: Atheist,Count,Persons,2
