area_code,area_name,geography,period,indicator,household_religion,measure,unit,value
E05000819,Altrincham,Electoral ward,2021-03-21,"Classifies households by whether members identify with the same religion, no religion, did not answer the question, or a combination of these options",One-person household,Count,Households,1821
E05000819,Altrincham,Electoral ward,2021-03-21,"Classifies households by whether members identify with the same religion, no religion, did not answer the question, or a combination of these options",Multi-person household: No people stated their religion,Count,Households,81
E05000819,Altrincham,Electoral ward,2021-03-21,"Classifies households by whether members identify with the same religion, no religion, did not answer the question, or a combination of these options",Multi-person household: Same religion (at least one person has stated a religion but the household may include people who did not state their religion),Count,Households,1747
E05000819,Altrincham,Electoral ward,2021-03-21,"Classifies households by whether members identify with the same religion, no religion, did not answer the question, or a combination of these options",Multi-person household: No religion (household may include people who did not state their religion),Count,Households,1130
E05000819,Altrincham,Electoral ward,2021-03-21,"Classifies households by whether members identify with the same religion, no religion, did not answer the question, or a combination of these options",Multi-person household: Same religion and no religion (household may include people who did not state their religion),Count,Households,766
E05000819,Altrincham,Electoral ward,2021-03-21,"Classifies households by whether members identify with the same religion, no religion, did not answer the question, or a combination of these options",Multi-person household: At least two different religions stated (household may include people with no religion and who did not state their religion),Count,Households,63
E05000820,Ashton upon Mersey,Electoral ward,2021-03-21,"Classifies households by whether members identify with the same religion, no religion, did not answer the question, or a combination of these options",One-person household,Count,Households,1348
E05000820,Ashton upon Mersey,Electoral ward,2021-03-21,"Classifies households by whether members identify with the same religion, no religion, did not answer the question, or a combination of these options",Multi-person household: No people stated their religion,Count,Households,57
E05000820,Ashton upon Mersey,Electoral ward,2021-03-21,"Classifies households by whether members identify with the same religion, no religion, did not answer the question, or a combination of these options",Multi-person household: Same religion (at least one person has stated a religion but the household may include people who did not state their religion),Count,Households,1351
E05000820,Ashton upon Mersey,Electoral ward,2021-03-21,"Classifies households by whether members identify with the same religion, no religion, did not answer the question, or a combination of these options",Multi-person household: No religion (household may include people who did not state their religion),Count,Households,859
E05000820,Ashton upon Mersey,Electoral ward,2021-03-21,"Classifies households by whether members identify with the same religion, no religion, did not answer the question, or a combination of these options",Multi-person household: Same religion and no religion (household may include people who did not state their religion),Count,Households,671
E05000820,Ashton upon Mersey,Electoral ward,2021-03-21,"Classifies households by whether members identify with the same religion, no religion, did not answer the question, or a combination of these options",Multi-person household: At least two different religions stated (household may include people with no religion and who did not state their religion),Count,Households,42
E05000821,Bowdon,Electoral ward,2021-03-21,"Classifies households by whether members identify with the same religion, no religion, did not answer the question, or a combination of these options",One-person household,Count,Households,1038
E05000821,Bowdon,Electoral ward,2021-03-21,"Classifies households by whether members identify with the same religion, no religion, did not answer the question, or a combination of these options",Multi-person household: No people stated their religion,Count,Households,69
E05000821,Bowdon,Electoral ward,2021-03-21,"Classifies households by whether members identify with the same religion, no religion, did not answer the question, or a combination of these options",Multi-person household: Same religion (at least one person has stated a religion but the household may include people who did not state their religion),Count,Households,1506
E05000821,Bowdon,Electoral ward,2021-03-21,"Classifies households by whether members identify with the same religion, no religion, did not answer the question, or a combination of these options",Multi-person household: No religion (household may include people who did not state their religion),Count,Households,500
E05000821,Bowdon,Electoral ward,2021-03-21,"Classifies households by whether members identify with the same religion, no religion, did not answer the question, or a combination of these options",Multi-person household: Same religion and no religion (household may include people who did not state their religion),Count,Households,569
E05000821,Bowdon,Electoral ward,2021-03-21,"Classifies households by whether members identify with the same religion, no religion, did not answer the question, or a combination of these options",Multi-person household: At least two different religions stated (household may include people with no religion and who did not state their religion),Count,Households,61
E05000822,Broadheath,Electoral ward,2021-03-21,"Classifies households by whether members identify with the same religion, no religion, did not answer the question, or a combination of these options",One-person household,Count,Households,1394
E05000822,Broadheath,Electoral ward,2021-03-21,"Classifies households by whether members identify with the same religion, no religion, did not answer the question, or a combination of these options",Multi-person household: No people stated their religion,Count,Households,89
E05000822,Broadheath,Electoral ward,2021-03-21,"Classifies households by whether members identify with the same religion, no religion, did not answer the question, or a combination of these options",Multi-person household: Same religion (at least one person has stated a religion but the household may include people who did not state their religion),Count,Households,2133
E05000822,Broadheath,Electoral ward,2021-03-21,"Classifies households by whether members identify with the same religion, no religion, did not answer the question, or a combination of these options",Multi-person household: No religion (household may include people who did not state their religion),Count,Households,1072
E05000822,Broadheath,Electoral ward,2021-03-21,"Classifies households by whether members identify with the same religion, no religion, did not answer the question, or a combination of these options",Multi-person household: Same religion and no religion (household may include people who did not state their religion),Count,Households,828
E05000822,Broadheath,Electoral ward,2021-03-21,"Classifies households by whether members identify with the same religion, no religion, did not answer the question, or a combination of these options",Multi-person household: At least two different religions stated (household may include people with no religion and who did not state their religion),Count,Households,54
E05000823,Brooklands,Electoral ward,2021-03-21,"Classifies households by whether members identify with the same religion, no religion, did not answer the question, or a combination of these options",One-person household,Count,Households,1106
E05000823,Brooklands,Electoral ward,2021-03-21,"Classifies households by whether members identify with the same religion, no religion, did not answer the question, or a combination of these options",Multi-person household: No people stated their religion,Count,Households,71
E05000823,Brooklands,Electoral ward,2021-03-21,"Classifies households by whether members identify with the same religion, no religion, did not answer the question, or a combination of these options",Multi-person household: Same religion (at least one person has stated a religion but the household may include people who did not state their religion),Count,Households,1522
E05000823,Brooklands,Electoral ward,2021-03-21,"Classifies households by whether members identify with the same religion, no religion, did not answer the question, or a combination of these options",Multi-person household: No religion (household may include people who did not state their religion),Count,Households,777
E05000823,Brooklands,Electoral ward,2021-03-21,"Classifies households by whether members identify with the same religion, no religion, did not answer the question, or a combination of these options",Multi-person household: Same religion and no religion (household may include people who did not state their religion),Count,Households,686
E05000823,Brooklands,Electoral ward,2021-03-21,"Classifies households by whether members identify with the same religion, no religion, did not answer the question, or a combination of these options",Multi-person household: At least two different religions stated (household may include people with no religion and who did not state their religion),Count,Households,41
E05000824,Bucklow-St Martins,Electoral ward,2021-03-21,"Classifies households by whether members identify with the same religion, no religion, did not answer the question, or a combination of these options",One-person household,Count,Households,1287
E05000824,Bucklow-St Martins,Electoral ward,2021-03-21,"Classifies households by whether members identify with the same religion, no religion, did not answer the question, or a combination of these options",Multi-person household: No people stated their religion,Count,Households,63
E05000824,Bucklow-St Martins,Electoral ward,2021-03-21,"Classifies households by whether members identify with the same religion, no religion, did not answer the question, or a combination of these options",Multi-person household: Same religion (at least one person has stated a religion but the household may include people who did not state their religion),Count,Households,1256
E05000824,Bucklow-St Martins,Electoral ward,2021-03-21,"Classifies households by whether members identify with the same religion, no religion, did not answer the question, or a combination of these options",Multi-person household: No religion (household may include people who did not state their religion),Count,Households,919
E05000824,Bucklow-St Martins,Electoral ward,2021-03-21,"Classifies households by whether members identify with the same religion, no religion, did not answer the question, or a combination of these options",Multi-person household: Same religion and no religion (household may include people who did not state their religion),Count,Households,626
E05000824,Bucklow-St Martins,Electoral ward,2021-03-21,"Classifies households by whether members identify with the same religion, no religion, did not answer the question, or a combination of these options",Multi-person household: At least two different religions stated (household may include people with no religion and who did not state their religion),Count,Households,34
E05000825,Clifford,Electoral ward,2021-03-21,"Classifies households by whether members identify with the same religion, no religion, did not answer the question, or a combination of these options",One-person household,Count,Households,1840
E05000825,Clifford,Electoral ward,2021-03-21,"Classifies households by whether members identify with the same religion, no religion, did not answer the question, or a combination of these options",Multi-person household: No people stated their religion,Count,Households,107
E05000825,Clifford,Electoral ward,2021-03-21,"Classifies households by whether members identify with the same religion, no religion, did not answer the question, or a combination of these options",Multi-person household: Same religion (at least one person has stated a religion but the household may include people who did not state their religion),Count,Households,1931
E05000825,Clifford,Electoral ward,2021-03-21,"Classifies households by whether members identify with the same religion, no religion, did not answer the question, or a combination of these options",Multi-person household: No religion (household may include people who did not state their religion),Count,Households,799
E05000825,Clifford,Electoral ward,2021-03-21,"Classifies households by whether members identify with the same religion, no religion, did not answer the question, or a combination of these options",Multi-person household: Same religion and no religion (household may include people who did not state their religion),Count,Households,480
E05000825,Clifford,Electoral ward,2021-03-21,"Classifies households by whether members identify with the same religion, no religion, did not answer the question, or a combination of these options",Multi-person household: At least two different religions stated (household may include people with no religion and who did not state their religion),Count,Households,50
E05000826,Davyhulme East,Electoral ward,2021-03-21,"Classifies households by whether members identify with the same religion, no religion, did not answer the question, or a combination of these options",One-person household,Count,Households,1043
E05000826,Davyhulme East,Electoral ward,2021-03-21,"Classifies households by whether members identify with the same religion, no religion, did not answer the question, or a combination of these options",Multi-person household: No people stated their religion,Count,Households,60
E05000826,Davyhulme East,Electoral ward,2021-03-21,"Classifies households by whether members identify with the same religion, no religion, did not answer the question, or a combination of these options",Multi-person household: Same religion (at least one person has stated a religion but the household may include people who did not state their religion),Count,Households,1466
E05000826,Davyhulme East,Electoral ward,2021-03-21,"Classifies households by whether members identify with the same religion, no religion, did not answer the question, or a combination of these options",Multi-person household: No religion (household may include people who did not state their religion),Count,Households,755
E05000826,Davyhulme East,Electoral ward,2021-03-21,"Classifies households by whether members identify with the same religion, no religion, did not answer the question, or a combination of these options",Multi-person household: Same religion and no religion (household may include people who did not state their religion),Count,Households,634
E05000826,Davyhulme East,Electoral ward,2021-03-21,"Classifies households by whether members identify with the same religion, no religion, did not answer the question, or a combination of these options",Multi-person household: At least two different religions stated (household may include people with no religion and who did not state their religion),Count,Households,27
E05000827,Davyhulme West,Electoral ward,2021-03-21,"Classifies households by whether members identify with the same religion, no religion, did not answer the question, or a combination of these options",One-person household,Count,Households,1006
E05000827,Davyhulme West,Electoral ward,2021-03-21,"Classifies households by whether members identify with the same religion, no religion, did not answer the question, or a combination of these options",Multi-person household: No people stated their religion,Count,Households,61
E05000827,Davyhulme West,Electoral ward,2021-03-21,"Classifies households by whether members identify with the same religion, no religion, did not answer the question, or a combination of these options",Multi-person household: Same religion (at least one person has stated a religion but the household may include people who did not state their religion),Count,Households,1566
E05000827,Davyhulme West,Electoral ward,2021-03-21,"Classifies households by whether members identify with the same religion, no religion, did not answer the question, or a combination of these options",Multi-person household: No religion (household may include people who did not state their religion),Count,Households,733
E05000827,Davyhulme West,Electoral ward,2021-03-21,"Classifies households by whether members identify with the same religion, no religion, did not answer the question, or a combination of these options",Multi-person household: Same religion and no religion (household may include people who did not state their religion),Count,Households,717
E05000827,Davyhulme West,Electoral ward,2021-03-21,"Classifies households by whether members identify with the same religion, no religion, did not answer the question, or a combination of these options",Multi-person household: At least two different religions stated (household may include people with no religion and who did not state their religion),Count,Households,25
E05000828,Flixton,Electoral ward,2021-03-21,"Classifies households by whether members identify with the same religion, no religion, did not answer the question, or a combination of these options",One-person household,Count,Households,1392
E05000828,Flixton,Electoral ward,2021-03-21,"Classifies households by whether members identify with the same religion, no religion, did not answer the question, or a combination of these options",Multi-person household: No people stated their religion,Count,Households,62
E05000828,Flixton,Electoral ward,2021-03-21,"Classifies households by whether members identify with the same religion, no religion, did not answer the question, or a combination of these options",Multi-person household: Same religion (at least one person has stated a religion but the household may include people who did not state their religion),Count,Households,1623
E05000828,Flixton,Electoral ward,2021-03-21,"Classifies households by whether members identify with the same religion, no religion, did not answer the question, or a combination of these options",Multi-person household: No religion (household may include people who did not state their religion),Count,Households,791
