period,area_code,area_name,geography,gender,all_ages,aged_0_to_15,aged_16_to_64,aged_65_and_over,0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31,32,33,34,35,36,37,38,39,40,41,42,43,44,45,46,47,48,49,50,51,52,53,54,55,56,57,58,59,60,61,62,63,64,65,66,67,68,69,70,71,72,73,74,75,76,77,78,79,80,81,82,83,84,85,86,87,88,89,90
2018-06-30,E01006091,Trafford 019A,LSOA,Female,1436,351,976,109,16,23,24,22,24,24,25,26,18,20,27,22,20,27,21,12,12,10,12,10,9,10,6,17,13,9,14,25,18,17,24,23,24,50,34,29,38,31,30,39,32,22,32,31,19,21,26,23,29,18,14,17,18,19,17,14,20,11,11,20,21,9,12,8,8,12,12,3,13,11,5,4,5,4,6,5,6,2,5,0,2,3,3,1,1,1,0,0,0,0,5
2018-06-30,E01006091,Trafford 019A,LSOA,Male,1353,391,863,99,25,19,22,19,36,26,29,30,22,24,27,24,31,17,20,20,22,10,12,9,12,12,6,15,15,11,17,21,15,18,18,23,29,26,24,21,17,30,19,30,25,25,27,30,24,25,18,15,19,20,19,23,16,14,21,16,11,15,9,10,11,10,10,10,8,7,11,4,6,6,11,9,4,4,6,2,4,4,3,1,9,4,0,0,0,0,0,0,1,1,2
2018-06-30,E01006091,Trafford 019A,LSOA,Persons,2789,742,1839,208,41,42,46,41,60,50,54,56,40,44,54,46,51,44,41,32,34,20,24,19,21,22,12,32,28,20,31,46,33,35,42,46,53,76,58,50,55,61,49,69,57,47,59,61,43,46,44,38,48,38,33,40,34,33,38,30,31,26,20,30,32,19,22,18,16,19,23,7,19,17,16,13,9,8,12,7,10,6,8,1,11,7,3,1,1,1,0,0,1,1,7
2018-06-30,E01006092,Trafford 019B,LSOA,Female,761,181,509,71,12,7,11,9,17,8,14,10,13,15,11,11,18,9,9,7,9,9,8,9,14,9,11,11,14,11,6,15,8,13,9,12,12,14,14,13,8,9,10,16,8,8,16,14,11,9,5,13,10,8,14,10,14,12,10,12,8,7,8,5,7,8,8,10,10,4,2,4,6,5,2,8,9,1,3,4,1,3,5,2,0,3,0,1,1,1,1,1,0,2,2
2018-06-30,E01006092,Trafford 019B,LSOA,Male,645,208,386,51,17,16,13,13,7,11,11,12,12,13,21,21,14,10,8,9,6,8,6,6,4,5,10,11,10,10,13,12,11,9,8,10,15,11,18,8,16,21,11,6,7,5,5,3,7,6,8,7,9,7,5,8,4,4,10,6,6,2,5,1,6,5,6,4,5,7,1,4,3,5,1,7,3,3,3,2,1,2,1,3,1,1,0,1,0,0,0,0,0,1,1
2018-06-30,E01006092,Trafford 019B,LSOA,Persons,1406,389,895,122,29,23,24,22,24,19,25,22,25,28,32,32,32,19,17,16,15,17,14,15,18,14,21,22,24,21,19,27,19,22,17,22,27,25,32,21,24,30,21,22,15,13,21,17,18,15,13,20,19,15,19,18,18,16,20,18,14,9,13,6,13,13,14,14,15,11,3,8,9,10,3,15,12,4,6,6,2,5,6,5,1,4,0,2,1,1,1,1,0,3,3
2018-06-30,E01006095,Trafford 019C,LSOA,Female,890,194,543,153,16,17,18,11,6,12,12,10,12,13,13,10,11,13,9,11,13,7,11,5,2,8,2,2,4,6,6,9,10,10,10,8,12,14,10,15,15,14,14,21,17,11,13,16,11,17,16,18,16,12,11,11,10,12,13,9,12,10,9,13,10,9,15,13,11,7,6,9,8,9,16,14,8,8,12,5,5,4,6,5,6,1,6,4,2,2,1,1,1,3,4
2018-06-30,E01006095,Trafford 019C,LSOA,Male,911,198,573,140,12,8,11,17,10,9,14,16,17,15,20,6,13,10,12,8,17,13,12,9,9,7,5,8,6,9,4,9,8,13,15,19,10,8,11,18,12,10,17,13,11,11,12,9,15,18,9,21,15,16,17,14,12,13,12,17,17,11,8,13,13,8,8,6,5,10,6,4,7,11,12,7,6,8,5,7,6,7,4,1,9,9,5,0,0,6,4,2,0,3,1
2018-06-30,E01006095,Trafford 019C,LSOA,Persons,1801,392,1116,293,28,25,29,28,16,21,26,26,29,28,33,16,24,23,21,19,30,20,23,14,11,15,7,10,10,15,10,18,18,23,25,27,22,22,21,33,27,24,31,34,28,22,25,25,26,35,25,39,31,28,28,25,22,25,25,26,29,21,17,26,23,17,23,19,16,17,12,13,15,20,28,21,14,16,17,12,11,11,10,6,15,10,11,4,2,8,5,3,1,6,5
2018-06-30,E01006097,Trafford 015A,LSOA,Female,924,156,525,243,5,6,8,9,6,14,8,18,12,13,13,14,2,10,12,6,2,9,6,2,7,6,11,2,13,9,17,10,9,11,17,8,15,15,12,9,13,17,10,13,19,21,12,17,10,13,12,9,9,9,11,10,13,11,8,11,14,6,13,16,10,10,8,6,4,8,9,10,12,5,8,10,12,12,14,11,9,10,10,8,7,13,7,10,6,9,8,7,8,2,18
2018-06-30,E01006097,Trafford 015A,LSOA,Male,1025,235,572,218,12,18,18,13,13,10,18,31,9,15,23,9,14,11,14,7,7,6,1,2,6,12,12,14,14,17,13,14,10,18,10,8,12,22,16,9,9,13,23,16,13,13,10,19,12,17,18,12,7,12,11,9,15,8,14,9,6,14,10,11,5,12,10,14,7,19,12,8,7,10,5,10,7,8,9,7,9,7,15,8,13,10,6,6,10,9,2,4,6,2,9
2018-06-30,E01006097,Trafford 015A,LSOA,Persons,1949,391,1097,461,17,24,26,22,19,24,26,49,21,28,36,23,16,21,26,13,9,15,7,4,13,18,23,16,27,26,30,24,19,29,27,16,27,37,28,18,22,30,33,29,32,34,22,36,22,30,30,21,16,21,22,19,28,19,22,20,20,20,23,27,15,22,18,20,11,27,21,18,19,15,13,20,19,20,23,18,18,17,25,16,20,23,13,16,16,18,10,11,14,4,27
2018-06-30,E01006098,Trafford 014A,LSOA,Female,702,157,379,166,9,3,6,12,8,4,20,11,10,12,10,10,8,12,9,13,6,3,5,6,3,5,7,5,2,2,3,3,2,2,4,4,3,11,16,7,8,7,9,10,12,11,15,24,8,7,9,5,15,13,11,11,13,8,15,11,10,3,5,10,8,7,5,2,8,8,14,12,9,7,7,11,7,7,8,6,3,7,7,6,5,8,6,3,3,2,1,0,5,0,14
2018-06-30,E01006098,Trafford 014A,LSOA,Male,656,167,351,138,7,1,11,9,15,5,15,17,13,14,11,15,12,8,9,5,7,5,6,4,3,11,5,10,7,5,3,5,3,2,6,1,4,8,11,4,8,6,10,17,8,9,6,9,13,7,11,9,12,11,7,11,9,9,6,12,6,7,9,5,5,7,4,5,3,10,9,6,11,5,4,9,10,10,8,3,4,2,4,7,2,3,6,3,1,3,2,2,2,5,7
2018-06-30,E01006098,Trafford 014A,LSOA,Persons,1358,324,730,304,16,4,17,21,23,9,35,28,23,26,21,25,20,20,18,18,13,8,11,10,6,16,12,15,9,7,6,8,5,4,10,5,7,19,27,11,16,13,19,27,20,20,21,33,21,14,20,14,27,24,18,22,22,17,21,23,16,10,14,15,13,14,9,7,11,18,23,18,20,12,11,20,17,17,16,9,7,9,11,13,7,11,12,6,4,5,3,2,7,5,21
2018-06-30,E01006099,Trafford 014B,LSOA,Female,666,136,398,132,6,10,12,5,13,11,8,7,10,9,9,10,8,5,10,3,6,7,5,4,6,5,6,5,5,4,3,5,4,4,4,14,6,14,7,10,11,10,14,13,10,14,12,12,13,4,6,9,12,10,11,9,10,8,15,14,3,11,7,6,4,5,6,5,10,8,6,7,12,7,8,4,6,5,4,3,6,8,4,6,1,6,5,4,3,2,6,2,1,4,4
2018-06-30,E01006099,Trafford 014B,LSOA,Male,636,140,385,111,10,14,8,7,14,6,7,8,7,11,11,6,9,7,11,4,7,7,7,8,0,2,1,5,4,6,4,9,7,6,7,13,10,12,9,8,9,11,9,9,12,13,10,11,12,10,7,10,10,7,10,10,10,9,6,13,9,10,5,5,3,8,3,6,6,6,4,7,3,5,8,8,5,9,5,7,2,1,5,9,6,2,4,1,2,5,1,1,1,0,4
2018-06-30,E01006099,Trafford 014B,LSOA,Persons,1302,276,783,243,16,24,20,12,27,17,15,15,17,20,20,16,17,12,21,7,13,14,12,12,6,7,7,10,9,10,7,14,11,10,11,27,16,26,16,18,20,21,23,22,22,27,22,23,25,14,13,19,22,17,21,19,20,17,21,27,12,21,12,11,7,13,9,11,16,14,10,14,15,12,16,12,11,14,9,10,8,9,9,15,7,8,9,5,5,7,7,3,2,4,8
2018-06-30,E01006102,Trafford 018A,LSOA,Female,761,172,441,148,11,14,8,9,11,15,16,11,9,10,10,10,12,9,8,9,14,8,7,7,4,6,2,4,7,6,7,3,2,3,10,11,11,8,7,10,12,23,12,15,10,11,5,7,15,13,11,9,10,17,8,12,11,9,11,13,8,5,8,10,7,10,9,6,7,4,11,9,5,8,5,11,2,6,9,4,3,4,6,3,7,8,6,2,3,3,6,2,10,1,10
2018-06-30,E01006102,Trafford 018A,LSOA,Male,648,172,373,103,12,12,8,20,13,10,13,9,11,9,8,10,15,10,7,5,9,5,3,5,3,5,6,5,1,5,3,2,2,4,6,9,6,9,7,10,6,11,11,16,8,13,10,13,9,10,8,8,7,5,11,7,18,15,12,12,4,8,4,8,6,6,9,6,7,6,9,7,5,4,4,9,11,3,5,5,3,5,3,4,1,2,1,2,1,2,4,2,2,1,2
2018-06-30,E01006102,Trafford 018A,LSOA,Persons,1409,344,814,251,23,26,16,29,24,25,29,20,20,19,18,20,27,19,15,14,23,13,10,12,7,11,8,9,8,11,10,5,4,7,16,20,17,17,14,20,18,34,23,31,18,24,15,20,24,23,19,17,17,22,19,19,29,24,23,25,12,13,12,18,13,16,18,12,14,10,20,16,10,12,9,20,13,9,14,9,6,9,9,7,8,10,7,4,4,5,10,4,12,2,12
2018-06-30,E01006104,Trafford 017A,LSOA,Female,778,120,465,193,7,8,7,11,8,8,5,13,7,8,11,4,4,9,8,2,5,10,10,7,7,7,10,7,4,9,7,11,11,10,13,11,9,13,12,6,7,6,11,8,5,3,11,8,5,10,5,8,9,13,10,11,9,16,16,13,13,11,11,16,5,8,9,18,11,13,10,8,12,5,11,16,7,5,12,9,10,3,9,4,5,6,7,6,6,5,7,4,2,2,9
2018-06-30,E01006104,Trafford 017A,LSOA,Male,723,140,437,146,6,11,8,5,8,7,8,12,8,11,10,10,11,10,8,7,7,8,6,5,8,9,3,14,8,5,7,8,8,9,4,8,6,7,10,7,8,9,3,6,10,7,6,3,7,5,10,9,16,10,11,7,11,17,14,12,14,11,13,10,10,16,14,8,13,8,6,9,7,6,14,12,5,6,11,6,7,5,2,8,2,4,6,5,5,2,4,1,2,2,1
2018-06-30,E01006104,Trafford 017A,LSOA,Persons,1501,260,902,339,13,19,15,16,16,15,13,25,15,19,21,14,15,19,16,9,12,18,16,12,15,16,13,21,12,14,14,19,19,19,17,19,15,20,22,13,15,15,14,14,15,10,17,11,12,15,15,17,25,23,21,18,20,33,30,25,27,22,24,26,15,24,23,26,24,21,16,17,19,11,25,28,12,11,23,15,17,8,11,12,7,10,13,11,11,7,11,5,4,4,10
2018-06-30,E01006105,Trafford 017B,LSOA,Female,1161,377,685,99,17,24,18,28,25,25,26,14,29,35,25,31,20,24,16,20,15,13,18,10,7,11,7,10,15,10,12,22,17,20,18,20,19,22,18,29,21,20,22,22,17,14,7,15,7,14,11,12,14,17,5,19,18,7,9,15,11,11,15,9,12,9,5,7,7,5,4,10,10,7,3,7,2,5,1,2,3,3,3,3,7,1,4,4,3,2,1,1,2,3,3
2018-06-30,E01006105,Trafford 017B,LSOA,Male,1090,418,588,84,23,17,27,36,30,29,30,29,32,37,25,17,26,24,20,16,11,22,13,10,11,5,9,9,13,6,10,18,7,15,15,13,18,19,16,16,13,16,12,18,8,13,5,11,9,8,9,10,10,15,15,11,17,24,17,14,7,9,15,10,7,8,3,11,7,7,8,5,4,9,5,3,1,7,2,2,2,4,2,3,1,1,2,1,3,4,0,2,3,1,2
