name,alias,cqc_id,tel,address,postcode,area_name,area_code,lat,long
Urmston Group Practice,NA,1-199787408,1617559870,"6 Woodsend Crescent Road, Urmston, Manchester",M41 8AA,Trafford,E08000009,53.452491,-2.394066
Urmston Group Practice,NA,1-199787408,1617559870,"6 Woodsend Crescent Road, Urmston, Manchester",M41 8AA,Trafford,E08000009,53.452491,-2.394066
Urmston Group Practice,NA,1-199787408,1617559870,"6 Woodsend Crescent Road, Urmston, Manchester",M41 8AA,Trafford,E08000009,53.452491,-2.394066
Urmston Group Practice,NA,1-199787408,1617559870,"6 Woodsend Crescent Road, Urmston, Manchester",M41 8AA,Trafford,E08000009,53.452491,-2.394066
Urmston Group Practice,NA,1-199787408,1617559870,"6 Woodsend Crescent Road, Urmston, Manchester",M41 8AA,Trafford,E08000009,53.452491,-2.394066
Urmston Group Practice,NA,1-199787408,1617559870,"6 Woodsend Crescent Road, Urmston, Manchester",M41 8AA,Trafford,E08000009,53.452491,-2.394066
Urmston Group Practice,NA,1-199787408,1617559870,"6 Woodsend Crescent Road, Urmston, Manchester",M41 8AA,Trafford,E08000009,53.452491,-2.394066
Urmston Group Practice,NA,1-199787408,1617559870,"6 Woodsend Crescent Road, Urmston, Manchester",M41 8AA,Trafford,E08000009,53.452491,-2.394066
Urmston Group Practice,NA,1-199787408,1617559870,"6 Woodsend Crescent Road, Urmston, Manchester",M41 8AA,Trafford,E08000009,53.452491,-2.394066
Urmston Group Practice,NA,1-199787408,1617559870,"6 Woodsend Crescent Road, Urmston, Manchester",M41 8AA,Trafford,E08000009,53.452491,-2.394066
Urmston Group Practice,NA,1-199787408,1617559870,"6 Woodsend Crescent Road, Urmston, Manchester",M41 8AA,Trafford,E08000009,53.452491,-2.394066
Urmston Group Practice,NA,1-199787408,1617559870,"6 Woodsend Crescent Road, Urmston, Manchester",M41 8AA,Trafford,E08000009,53.452491,-2.394066
Urmston Group Practice,NA,1-199787408,1617559870,"6 Woodsend Crescent Road, Urmston, Manchester",M41 8AA,Trafford,E08000009,53.452491,-2.394066
Urmston Group Practice,NA,1-199787408,1617559870,"6 Woodsend Crescent Road, Urmston, Manchester",M41 8AA,Trafford,E08000009,53.452491,-2.394066
Urmston Group Practice,NA,1-199787408,1617559870,"6 Woodsend Crescent Road, Urmston, Manchester",M41 8AA,Trafford,E08000009,53.452491,-2.394066
Urmston Group Practice,NA,1-199787408,1617559870,"6 Woodsend Crescent Road, Urmston, Manchester",M41 8AA,Trafford,E08000009,53.452491,-2.394066
Urmston Group Practice,NA,1-199787408,1617559870,"6 Woodsend Crescent Road, Urmston, Manchester",M41 8AA,Trafford,E08000009,53.452491,-2.394066
Urmston Group Practice,NA,1-199787408,1617559870,"6 Woodsend Crescent Road, Urmston, Manchester",M41 8AA,Trafford,E08000009,53.452491,-2.394066
Urmston Group Practice,NA,1-199787408,1617559870,"6 Woodsend Crescent Road, Urmston, Manchester",M41 8AA,Trafford,E08000009,53.452491,-2.394066
Urmston Group Practice,NA,1-199787408,1617559870,"6 Woodsend Crescent Road, Urmston, Manchester",M41 8AA,Trafford,E08000009,53.452491,-2.394066
Urmston Group Practice,NA,1-199787408,1617559870,"6 Woodsend Crescent Road, Urmston, Manchester",M41 8AA,Trafford,E08000009,53.452491,-2.394066
Primrose Surgery,NA,1-199787456,1617472424,"59 Old Crofts Bank, Urmston, Manchester",M41 7AB,Trafford,E08000009,53.456159,-2.357311
Primrose Surgery,NA,1-199787456,1617472424,"59 Old Crofts Bank, Urmston, Manchester",M41 7AB,Trafford,E08000009,53.456159,-2.357311
Primrose Surgery,NA,1-199787456,1617472424,"59 Old Crofts Bank, Urmston, Manchester",M41 7AB,Trafford,E08000009,53.456159,-2.357311
Primrose Surgery,NA,1-199787456,1617472424,"59 Old Crofts Bank, Urmston, Manchester",M41 7AB,Trafford,E08000009,53.456159,-2.357311
Primrose Surgery,NA,1-199787456,1617472424,"59 Old Crofts Bank, Urmston, Manchester",M41 7AB,Trafford,E08000009,53.456159,-2.357311
Primrose Surgery,NA,1-199787456,1617472424,"59 Old Crofts Bank, Urmston, Manchester",M41 7AB,Trafford,E08000009,53.456159,-2.357311
