name,alias,cqc_id,tel,address,postcode,area_name,area_code,lat,long
Lime Square Medical Centre,NA,1-199784675,1613710678,"Lime Square, Ashton Old Road, Manchester",M11 1DA,Manchester,E08000003,53.473649,-2.164901
Lime Square Medical Centre,NA,1-199784675,1613710678,"Lime Square, Ashton Old Road, Manchester",M11 1DA,Manchester,E08000003,53.473649,-2.164901
Lime Square Medical Centre,NA,1-199784675,1613710678,"Lime Square, Ashton Old Road, Manchester",M11 1DA,Manchester,E08000003,53.473649,-2.164901
Lime Square Medical Centre,NA,1-199784675,1613710678,"Lime Square, Ashton Old Road, Manchester",M11 1DA,Manchester,E08000003,53.473649,-2.164901
Lime Square Medical Centre,NA,1-199784675,1613710678,"Lime Square, Ashton Old Road, Manchester",M11 1DA,Manchester,E08000003,53.473649,-2.164901
Lime Square Medical Centre,NA,1-199784675,1613710678,"Lime Square, Ashton Old Road, Manchester",M11 1DA,Manchester,E08000003,53.473649,-2.164901
Lime Square Medical Centre,NA,1-199784675,1613710678,"Lime Square, Ashton Old Road, Manchester",M11 1DA,Manchester,E08000003,53.473649,-2.164901
Lime Square Medical Centre,NA,1-199784675,1613710678,"Lime Square, Ashton Old Road, Manchester",M11 1DA,Manchester,E08000003,53.473649,-2.164901
Lime Square Medical Centre,NA,1-199784675,1613710678,"Lime Square, Ashton Old Road, Manchester",M11 1DA,Manchester,E08000003,53.473649,-2.164901
Lime Square Medical Centre,NA,1-199784675,1613710678,"Lime Square, Ashton Old Road, Manchester",M11 1DA,Manchester,E08000003,53.473649,-2.164901
Lime Square Medical Centre,NA,1-199784675,1613710678,"Lime Square, Ashton Old Road, Manchester",M11 1DA,Manchester,E08000003,53.473649,-2.164901
Lime Square Medical Centre,NA,1-199784675,1613710678,"Lime Square, Ashton Old Road, Manchester",M11 1DA,Manchester,E08000003,53.473649,-2.164901
Lime Square Medical Centre,NA,1-199784675,1613710678,"Lime Square, Ashton Old Road, Manchester",M11 1DA,Manchester,E08000003,53.473649,-2.164901
Lime Square Medical Centre,NA,1-199784675,1613710678,"Lime Square, Ashton Old Road, Manchester",M11 1DA,Manchester,E08000003,53.473649,-2.164901
Lime Square Medical Centre,NA,1-199784675,1613710678,"Lime Square, Ashton Old Road, Manchester",M11 1DA,Manchester,E08000003,53.473649,-2.164901
Lime Square Medical Centre,NA,1-199784675,1613710678,"Lime Square, Ashton Old Road, Manchester",M11 1DA,Manchester,E08000003,53.473649,-2.164901
Lime Square Medical Centre,NA,1-199784675,1613710678,"Lime Square, Ashton Old Road, Manchester",M11 1DA,Manchester,E08000003,53.473649,-2.164901
Lime Square Medical Centre,NA,1-199784675,1613710678,"Lime Square, Ashton Old Road, Manchester",M11 1DA,Manchester,E08000003,53.473649,-2.164901
Lime Square Medical Centre,NA,1-199784675,1613710678,"Lime Square, Ashton Old Road, Manchester",M11 1DA,Manchester,E08000003,53.473649,-2.164901
Lime Square Medical Centre,NA,1-199784675,1613710678,"Lime Square, Ashton Old Road, Manchester",M11 1DA,Manchester,E08000003,53.473649,-2.164901
Lime Square Medical Centre,NA,1-199784675,1613710678,"Lime Square, Ashton Old Road, Manchester",M11 1DA,Manchester,E08000003,53.473649,-2.164901
Lime Square Medical Centre,NA,1-199784675,1613710678,"Lime Square, Ashton Old Road, Manchester",M11 1DA,Manchester,E08000003,53.473649,-2.164901
Lime Square Medical Centre,NA,1-199784675,1613710678,"Lime Square, Ashton Old Road, Manchester",M11 1DA,Manchester,E08000003,53.473649,-2.164901
Lime Square Medical Centre,NA,1-199784675,1613710678,"Lime Square, Ashton Old Road, Manchester",M11 1DA,Manchester,E08000003,53.473649,-2.164901
Lime Square Medical Centre,NA,1-199784675,1613710678,"Lime Square, Ashton Old Road, Manchester",M11 1DA,Manchester,E08000003,53.473649,-2.164901
Lime Square Medical Centre,NA,1-199784675,1613710678,"Lime Square, Ashton Old Road, Manchester",M11 1DA,Manchester,E08000003,53.473649,-2.164901
Lime Square Medical Centre,NA,1-199784675,1613710678,"Lime Square, Ashton Old Road, Manchester",M11 1DA,Manchester,E08000003,53.473649,-2.164901
Lime Square Medical Centre,NA,1-199784675,1613710678,"Lime Square, Ashton Old Road, Manchester",M11 1DA,Manchester,E08000003,53.473649,-2.164901
Lime Square Medical Centre,NA,1-199784675,1613710678,"Lime Square, Ashton Old Road, Manchester",M11 1DA,Manchester,E08000003,53.473649,-2.164901
Lime Square Medical Centre,NA,1-199784675,1613710678,"Lime Square, Ashton Old Road, Manchester",M11 1DA,Manchester,E08000003,53.473649,-2.164901
Lime Square Medical Centre,NA,1-199784675,1613710678,"Lime Square, Ashton Old Road, Manchester",M11 1DA,Manchester,E08000003,53.473649,-2.164901
Lime Square Medical Centre,NA,1-199784675,1613710678,"Lime Square, Ashton Old Road, Manchester",M11 1DA,Manchester,E08000003,53.473649,-2.164901
ABL Health Limited,NA,1-780038013,1204570999,"71 Redgate Way, Farnworth, Bolton",BL4 0JL,Bolton,E08000001,53.550328,-2.429374
